,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Arminia,2,34.0,27,2,0,2,1,28.7,0.25,1.7,0.05,242,552,43.8,1184,177,36.4,35.4,228,53.1,43.6,221,16,7.2,30,0.88,15.2
1,vs Augsburg,1,34.0,39,5,0,7,0,38.1,0.29,-0.9,-0.03,243,571,42.6,1198,157,36.7,36.1,250,52.4,43.6,296,15,5.1,54,1.59,17.2
2,vs Bayern Munich,3,34.0,97,5,1,12,5,86.4,0.33,-10.6,-0.31,271,654,41.4,1007,175,47.2,39.6,341,52.5,44.4,311,13,4.2,24,0.71,13.4
3,vs Bochum,2,34.0,38,4,1,3,1,39.7,0.26,1.7,0.05,259,659,39.3,1233,184,42.6,37.3,250,53.6,43.1,320,18,5.6,40,1.18,16.3
4,vs Dortmund,3,34.0,85,11,1,7,4,63.8,0.34,-21.2,-0.62,249,634,39.3,1117,165,45.0,39.0,234,56.0,47.0,213,14,6.6,33,0.97,15.1
5,vs Eint Frankfurt,3,34.0,45,1,1,11,2,41.7,0.3,-3.3,-0.1,276,656,42.1,1240,117,42.3,37.7,272,48.5,41.7,304,22,7.2,48,1.41,18.3
6,vs Freiburg,2,34.0,58,5,2,9,3,53.7,0.32,-4.3,-0.13,234,554,42.2,1125,147,37.8,35.9,265,48.7,41.9,313,16,5.1,30,0.88,15.6
7,vs Greuther Fürth,3,34.0,28,5,1,4,2,29.9,0.27,1.9,0.06,220,443,49.7,994,148,35.1,35.5,207,45.4,41.0,235,15,6.4,42,1.24,17.4
8,vs Hertha BSC,2,34.0,37,3,1,4,2,31.3,0.24,-5.7,-0.17,204,475,42.9,1079,136,35.6,34.7,227,40.1,38.0,246,21,8.5,35,1.03,16.2
9,vs Hoffenheim,2,34.0,58,0,0,7,3,53.2,0.37,-4.8,-0.14,285,612,46.6,1225,156,39.8,37.4,269,46.1,40.5,359,22,6.1,29,0.85,14.9
10,vs Köln,2,34.0,52,1,0,8,0,51.5,0.34,-0.5,-0.01,306,754,40.6,1096,150,53.1,42.2,315,54.6,44.7,427,35,8.2,33,0.97,16.0
11,vs Leverkusen,3,34.0,80,2,1,6,5,65.7,0.34,-14.3,-0.42,240,509,47.2,915,140,41.5,36.6,237,54.4,45.1,235,16,6.8,27,0.79,14.6
12,vs M'Gladbach,2,34.0,54,5,0,8,0,53.2,0.28,-0.8,-0.02,213,541,39.4,1090,153,40.3,36.6,204,50.0,43.0,185,16,8.6,36,1.06,16.3
13,vs Mainz 05,2,34.0,50,4,1,10,1,50.7,0.32,0.7,0.02,232,625,37.1,1136,163,43.0,39.1,259,52.9,44.3,301,16,5.3,42,1.24,16.2
14,vs RB Leipzig,3,34.0,72,8,3,4,0,70.7,0.38,-1.3,-0.04,237,517,45.8,1096,162,37.4,35.6,240,44.6,40.0,257,19,7.4,45,1.32,15.4
15,vs Stuttgart,2,34.0,41,1,1,6,1,45.7,0.29,4.7,0.14,264,673,39.2,1223,150,41.6,37.5,255,64.3,48.7,246,14,5.7,34,1.0,16.5
16,vs Union Berlin,2,34.0,50,5,0,6,0,48.5,0.3,-1.5,-0.04,251,597,42.0,1154,155,38.0,36.0,242,65.3,50.6,362,25,6.9,32,0.94,15.6
17,vs Wolfsburg,2,34.0,43,3,2,4,1,45.3,0.31,2.3,0.07,226,592,38.2,1085,116,42.9,38.2,237,53.2,45.7,292,26,8.9,30,0.88,15.3
