,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Arminia,2,34.0,53,7,1,7,2,59.8,0.31,6.8,0.2,479,999,47.9,1468,89,54.6,44.3,321,61.7,49.6,329,12,3.6,36,1.06,15.7
1,Augsburg,1,34.0,56,5,1,3,2,52.5,0.32,-3.5,-0.1,261,655,39.8,955,141,48.8,40.5,285,66.3,50.6,308,20,6.5,34,1.0,15.9
2,Bayern Munich,3,34.0,37,2,1,2,1,34.2,0.29,-2.8,-0.08,196,348,56.3,1273,189,25.1,30.2,204,14.2,26.4,230,17,7.4,49,1.44,19.7
3,Bochum,2,34.0,52,5,1,6,4,57.8,0.32,5.8,0.17,594,1232,48.2,1507,111,68.5,48.7,275,72.7,52.0,276,26,9.4,63,1.85,17.9
4,Dortmund,3,34.0,52,6,2,7,2,46.2,0.32,-5.8,-0.17,125,324,38.6,1004,168,24.2,30.3,216,37.5,36.6,224,26,11.6,33,0.97,15.9
5,Eint Frankfurt,3,34.0,49,4,0,4,1,47.9,0.28,-1.1,-0.03,201,633,31.8,1052,153,47.0,37.8,264,52.7,44.8,294,15,5.1,34,1.0,15.6
6,Freiburg,2,34.0,46,2,1,5,1,41.3,0.27,-4.7,-0.14,317,751,42.2,1164,130,47.0,42.3,261,78.2,62.9,304,19,6.3,32,0.94,15.5
7,Greuther Fürth,3,34.0,82,6,1,13,5,66.9,0.35,-15.1,-0.44,268,771,34.8,1145,138,50.1,42.1,274,71.9,53.3,345,23,6.7,38,1.12,15.8
8,Hertha BSC,2,34.0,71,8,1,12,0,65.3,0.36,-5.7,-0.17,241,591,40.8,897,178,44.5,39.0,278,69.1,52.1,349,20,5.7,21,0.62,13.4
9,Hoffenheim,2,34.0,60,2,0,9,1,56.5,0.34,-3.5,-0.1,172,464,37.1,1343,175,30.2,32.4,218,27.1,30.3,281,25,8.9,44,1.29,15.8
10,Köln,2,34.0,49,0,2,7,2,45.3,0.3,-3.7,-0.11,231,482,47.9,1285,133,30.6,33.0,229,38.9,37.6,235,11,4.7,24,0.71,14.7
11,Leverkusen,3,34.0,47,2,2,7,1,47.6,0.29,0.6,0.02,197,492,40.0,1124,180,34.2,33.9,231,46.8,40.1,262,15,5.7,27,0.79,14.8
12,M'Gladbach,2,34.0,61,3,1,6,1,64.1,0.34,3.1,0.09,235,576,40.8,1277,163,36.6,34.8,229,47.6,41.2,263,16,6.1,36,1.06,15.6
13,Mainz 05,2,34.0,45,5,0,4,1,41.7,0.32,-3.3,-0.1,151,449,33.6,822,175,39.9,37.4,255,47.5,42.3,264,25,9.5,49,1.44,17.1
14,RB Leipzig,3,34.0,37,3,0,6,1,36.5,0.31,-0.5,-0.01,156,378,41.3,993,156,30.1,32.4,206,38.3,35.8,226,8,3.5,46,1.35,18.1
15,Stuttgart,2,34.0,59,4,1,9,1,47.8,0.29,-11.2,-0.33,152,314,48.4,861,169,26.4,29.8,278,31.3,31.2,326,16,4.9,33,0.97,15.0
16,Union Berlin,2,34.0,44,2,0,5,4,37.9,0.3,-6.1,-0.18,236,653,36.1,991,143,49.2,40.4,262,63.0,46.9,298,24,8.1,19,0.56,14.1
17,Wolfsburg,2,34.0,54,4,1,6,1,48.3,0.3,-5.7,-0.17,240,506,47.4,1036,160,37.7,35.5,246,46.7,40.8,309,21,6.8,26,0.76,13.9
