,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,Arminia,26,34.0,620,376,309,256,55,196,491,39.9,295,5693,1703,29.9,1769,2592,1332,538,120,2,418,596,1216,883,11
1,Augsburg,26,34.0,632,373,303,244,85,205,567,36.2,362,5628,1642,29.2,1851,2561,1216,596,127,2,469,604,1236,788,8
2,Bayern Munich,30,34.0,620,391,247,264,109,243,549,44.3,306,5029,1774,35.3,1339,2203,1487,490,80,0,410,544,1164,418,12
3,Bochum,28,34.0,673,420,355,239,79,247,573,43.1,326,5673,1736,30.6,1843,2425,1405,559,144,7,415,679,1352,762,7
4,Dortmund,33,34.0,625,404,275,260,90,217,533,40.7,316,5169,1745,33.8,1472,2300,1397,513,93,1,420,512,1137,551,9
5,Eint Frankfurt,27,34.0,668,410,302,272,94,242,621,39.0,379,5957,1903,31.9,1725,2747,1485,593,110,7,483,562,1230,710,8
6,Freiburg,26,34.0,588,340,288,223,77,197,477,41.3,280,4821,1484,30.8,1536,2097,1188,527,146,3,381,515,1103,796,10
7,Greuther Fürth,29,34.0,665,370,312,262,91,251,566,44.3,315,5633,1740,30.9,1765,2589,1279,595,143,1,452,616,1281,757,9
8,Hertha BSC,36,34.0,635,373,345,223,67,233,537,43.4,304,5064,1516,29.9,1887,2220,957,591,116,4,475,538,1173,788,14
9,Hoffenheim,32,34.0,584,365,244,234,106,220,487,45.2,267,5109,1651,32.3,1311,2341,1457,533,98,1,435,455,1039,606,14
10,Köln,26,34.0,654,400,300,251,103,293,703,41.7,410,5703,2000,35.1,1736,2416,1551,569,114,2,455,623,1277,760,11
11,Leverkusen,29,34.0,558,359,297,212,49,210,492,42.7,282,4931,1612,32.7,1738,2160,1033,507,112,0,395,617,1175,626,8
12,M'Gladbach,26,34.0,665,403,303,278,84,258,610,42.3,352,5202,1687,32.4,1589,2390,1223,572,113,2,459,559,1224,636,6
13,Mainz 05,28,34.0,703,417,349,262,92,251,578,43.4,327,5613,1823,32.5,1780,2454,1379,557,108,1,449,593,1296,697,9
14,RB Leipzig,29,34.0,551,327,230,251,70,184,469,39.2,285,5335,1774,33.3,1396,2623,1316,533,92,0,441,529,1080,644,10
15,Stuttgart,34,34.0,590,347,276,255,59,231,528,43.8,297,5277,1646,31.2,1700,2306,1271,588,146,3,442,547,1137,751,7
16,Union Berlin,28,34.0,606,340,320,227,59,237,536,44.2,299,5339,1677,31.4,1731,2445,1163,512,100,1,412,533,1139,753,10
17,Wolfsburg,30,34.0,610,351,325,227,58,208,535,38.9,327,5512,1717,31.2,1843,2401,1268,575,111,1,464,585,1195,763,7
