,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,vs Arminia,26,34.0,829,24.38,626,72,32,43,42,14,83,2.44,62,3,3,5,7,3
1,vs Augsburg,26,34.0,734,21.59,520,64,39,44,51,16,93,2.74,64,4,10,5,7,3
2,vs Bayern Munich,30,34.0,467,13.74,318,46,28,22,28,25,62,1.82,49,3,4,2,2,2
3,vs Bochum,28,34.0,729,21.44,511,78,37,43,33,27,71,2.09,48,8,2,4,6,3
4,vs Dortmund,33,34.0,565,16.62,383,58,27,31,38,28,78,2.29,50,5,6,10,7,0
5,vs Eint Frankfurt,27,34.0,651,19.15,472,61,35,33,35,15,72,2.12,45,6,3,6,9,3
6,vs Freiburg,26,34.0,723,21.26,524,70,34,45,29,21,71,2.09,53,5,4,4,4,1
7,vs Greuther Fürth,29,34.0,773,22.74,566,78,25,50,42,12,125,3.68,81,11,6,12,11,4
8,vs Hertha BSC,36,34.0,704,20.71,490,74,32,35,50,23,114,3.35,78,9,0,12,11,4
9,vs Hoffenheim,32,34.0,639,18.79,435,73,35,40,37,19,86,2.53,55,12,5,7,6,1
10,vs Köln,26,34.0,658,19.35,458,76,32,41,39,12,83,2.44,63,6,4,6,2,2
11,vs Leverkusen,29,34.0,700,20.59,502,62,26,47,32,31,62,1.82,41,2,3,11,3,2
12,vs M'Gladbach,26,34.0,705,20.74,477,85,36,52,38,17,98,2.88,70,7,4,9,6,2
13,vs Mainz 05,28,34.0,555,16.32,399,48,27,28,42,11,66,1.94,42,4,5,8,6,1
14,vs RB Leipzig,29,34.0,525,15.44,373,56,23,37,26,10,51,1.5,31,4,3,10,2,1
15,vs Stuttgart,34,34.0,744,21.88,540,67,40,43,33,21,94,2.76,68,6,6,9,3,2
16,vs Union Berlin,28,34.0,599,17.62,427,70,24,33,33,12,62,1.82,49,4,2,4,2,1
17,vs Wolfsburg,30,34.0,651,19.15,460,73,31,37,38,12,94,2.76,68,5,6,9,6,0
