,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Arminia,26,34.0,512,15.06,358,49,31,29,28,17,37,1.09,27,2,1,4,3,0
1,Augsburg,26,34.0,521,15.32,371,57,17,27,26,23,53,1.56,32,6,2,8,4,1
2,Bayern Munich,30,34.0,1058,31.12,801,84,48,62,37,26,153,4.5,119,13,6,9,4,2
3,Bochum,28,34.0,599,17.62,405,65,26,33,46,24,56,1.65,38,5,3,4,5,1
4,Dortmund,33,34.0,718,21.12,505,65,41,46,44,17,133,3.91,88,7,11,10,12,5
5,Eint Frankfurt,27,34.0,654,19.24,451,84,25,44,34,16,67,1.97,42,7,3,8,6,1
6,Freiburg,26,34.0,697,20.5,467,96,16,53,54,11,90,2.65,56,11,3,8,11,1
7,Greuther Fürth,29,34.0,458,13.47,314,40,33,22,28,21,36,1.06,23,2,1,3,5,2
8,Hertha BSC,36,34.0,554,16.29,368,74,25,32,38,17,51,1.5,28,7,1,4,7,4
9,Hoffenheim,32,34.0,688,20.24,512,59,29,48,23,17,92,2.71,75,2,3,9,0,3
10,Köln,26,34.0,710,20.88,518,76,27,33,32,24,83,2.44,60,7,4,7,2,3
11,Leverkusen,29,34.0,725,21.32,529,58,50,41,32,15,128,3.76,92,5,11,10,7,3
12,M'Gladbach,26,34.0,771,22.68,564,75,26,34,52,20,84,2.47,63,4,2,9,6,0
13,Mainz 05,28,34.0,647,19.03,459,69,21,36,39,23,77,2.26,59,4,4,4,4,2
14,RB Leipzig,29,34.0,691,20.32,492,67,40,38,41,13,122,3.59,83,10,7,8,13,1
15,Stuttgart,34,34.0,710,20.88,492,72,47,47,35,17,68,2.0,41,8,4,10,4,1
16,Union Berlin,28,34.0,594,17.47,432,56,22,43,27,14,72,2.12,46,2,6,11,2,5
17,Wolfsburg,30,34.0,644,18.94,443,65,39,36,50,11,63,1.85,45,2,4,7,5,0
