,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Bayern Munich,17,13,2,2,48,15,33,41,2.41,43.8,17.3,26.5,1.56,17,11,3,3,49,22,27,36,2.12,44.3,19.8,24.5,1.44
1,2,Dortmund,17,13,0,4,52,28,24,39,2.29,36.4,21.3,15.0,0.88,17,9,3,5,33,24,9,30,1.76,26.4,21.9,4.5,0.27
2,3,Leverkusen,17,10,2,5,39,23,16,32,1.88,31.4,21.3,10.1,0.59,17,9,5,3,41,24,17,32,1.88,31.9,21.8,10.1,0.59
3,4,RB Leipzig,17,11,2,4,43,17,26,35,2.06,36.0,18.3,17.7,1.04,17,6,5,6,29,20,9,23,1.35,27.4,23.5,3.9,0.23
4,5,Union Berlin,17,10,5,2,25,17,8,35,2.06,26.0,19.7,6.3,0.37,17,6,4,7,25,27,-2,22,1.29,24.4,21.9,2.5,0.15
5,6,Freiburg,17,8,5,4,32,25,7,29,1.71,29.1,21.9,7.2,0.42,17,7,5,5,26,21,5,26,1.53,20.9,23.3,-2.4,-0.14
6,7,Köln,17,9,4,4,27,21,6,31,1.82,27.9,22.1,5.7,0.34,17,5,6,6,25,28,-3,21,1.24,23.0,29.8,-6.8,-0.4
7,8,Mainz 05,17,10,5,2,33,11,22,35,2.06,30.7,18.6,12.1,0.71,17,3,2,12,17,34,-17,11,0.65,20.3,27.4,-7.1,-0.42
8,9,Hoffenheim,17,8,4,5,34,24,10,28,1.65,29.9,24.2,5.7,0.33,17,5,3,9,24,36,-12,18,1.06,25.1,28.3,-3.2,-0.19
9,10,M'Gladbach,17,8,4,5,33,27,6,28,1.65,32.5,26.1,6.4,0.38,17,4,5,8,21,34,-13,17,1.0,25.2,28.6,-3.4,-0.2
10,11,Eint Frankfurt,17,4,7,6,20,22,-2,19,1.12,23.3,23.2,0.1,0.01,17,6,5,6,25,27,-2,23,1.35,20.9,28.3,-7.4,-0.43
11,12,Wolfsburg,17,7,3,7,25,21,4,24,1.41,28.1,22.9,5.2,0.31,17,5,3,9,18,33,-15,18,1.06,20.7,27.0,-6.2,-0.37
12,13,Bochum,17,8,4,5,21,17,4,28,1.65,21.6,19.3,2.4,0.14,17,4,2,11,17,35,-18,14,0.82,19.3,37.5,-18.2,-1.07
13,14,Augsburg,17,7,4,6,25,26,-1,25,1.47,23.4,26.6,-3.2,-0.19,17,3,4,10,14,30,-16,13,0.76,14.7,31.7,-16.9,-1.0
14,15,Stuttgart,17,6,4,7,28,32,-4,22,1.29,26.7,23.3,3.4,0.2,17,1,8,8,13,27,-14,11,0.65,18.6,28.2,-9.6,-0.57
15,16,Hertha BSC,17,6,3,8,24,33,-9,21,1.24,18.0,23.8,-5.8,-0.34,17,3,3,11,13,38,-25,12,0.71,16.2,31.5,-15.4,-0.9
16,17,Arminia,17,2,10,5,15,23,-8,16,0.94,15.0,28.3,-13.3,-0.78,17,3,3,11,12,30,-18,12,0.71,13.3,34.0,-20.8,-1.22
17,18,Greuther Fürth,17,3,5,9,15,33,-18,14,0.82,18.5,26.7,-8.2,-0.48,17,0,4,13,13,49,-36,4,0.24,12.2,33.7,-21.5,-1.26
