,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,Arminia,26,34.0,13426,11733,1693,390,18,2384,328,280,148,64,49,3,7535,1944,3947,3472,7464,868,738,172,9575,48,298,457,433
1,Augsburg,26,34.0,12961,11235,1726,420,13,2282,470,402,145,56,82,1,7225,2038,3698,2882,7835,714,784,213,9305,66,323,480,393
2,Bayern Munich,30,34.0,23785,22121,1664,439,52,3388,584,495,214,101,77,7,17928,2626,3231,6583,15098,683,734,318,20247,62,257,769,449
3,Bochum,28,34.0,13805,12086,1719,438,21,2260,464,407,129,53,52,3,7299,2072,4434,4177,7066,850,791,222,9920,70,346,481,374
4,Dortmund,33,34.0,21078,19452,1626,455,41,3062,455,332,182,75,75,5,15885,2253,2940,5747,13339,661,679,276,17591,62,251,677,445
5,Eint Frankfurt,27,34.0,16910,15155,1755,388,23,2572,405,437,192,74,88,10,10711,2411,3788,5778,8787,747,825,254,12810,47,320,613,486
6,Freiburg,26,34.0,15592,13968,1624,424,20,2703,441,406,180,112,43,4,9578,2146,3868,4232,9024,796,672,220,11791,53,309,485,429
7,Greuther Fürth,29,34.0,13883,12118,1765,488,17,2314,283,314,138,89,37,7,8706,1841,3336,4023,7795,652,734,206,10312,66,287,475,437
8,Hertha BSC,36,34.0,14102,12312,1790,518,19,2504,398,320,141,61,64,5,8355,2232,3515,3459,8310,808,745,270,10505,63,312,492,422
9,Hoffenheim,32,34.0,18053,16287,1766,450,28,2865,489,497,190,87,48,7,12165,2455,3433,4548,11224,755,798,285,14418,63,336,574,471
10,Köln,26,34.0,16768,14876,1892,538,13,2539,484,554,182,98,57,2,10526,2299,3943,5111,9283,780,833,249,12772,62,331,548,532
11,Leverkusen,29,34.0,18255,16573,1682,384,43,2601,456,349,194,90,69,10,12934,2423,2898,6021,10369,520,723,259,14875,56,255,594,427
12,M'Gladbach,26,34.0,18175,16437,1738,546,39,2998,410,259,155,61,63,7,13096,2125,2954,3835,12434,542,703,269,14882,61,222,540,407
13,Mainz 05,28,34.0,14923,13165,1758,423,17,2605,317,403,179,100,64,3,8875,2248,3800,5086,7353,801,821,296,10965,58,265,521,431
14,RB Leipzig,29,34.0,19662,18056,1606,508,48,3121,327,385,161,67,52,6,14223,2237,3202,4653,12986,642,643,302,16245,56,228,543,444
15,Stuttgart,34,34.0,17315,15575,1740,455,20,2699,530,339,148,28,98,3,11678,2358,3279,6599,8550,655,762,264,13884,48,287,508,425
16,Union Berlin,28,34.0,14732,13143,1589,366,20,2335,379,454,138,46,69,5,8743,2257,3732,3489,8916,784,742,244,10843,58,339,464,463
17,Wolfsburg,30,34.0,16416,14753,1663,463,21,2513,506,398,146,96,36,1,10479,2276,3661,7033,7104,748,714,265,12805,66,298,513,407
