,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Arminia,26,34.0,9575,13426,71.3,207289,85804,3363,4150,81.0,4201,5258,79.9,1824,3396,53.7,18,18.7,-0.7,245,755,202,56,837
1,Augsburg,26,34.0,9305,12961,71.8,199647,77655,3365,4111,81.9,3910,4891,79.9,1865,3392,55.0,26,22.8,3.2,248,682,239,88,840
2,Bayern Munich,30,34.0,20247,23785,85.1,384667,125439,8238,9202,89.5,8985,10060,89.3,2673,3741,71.5,70,63.5,6.5,503,1553,511,102,1884
3,Bochum,28,34.0,9920,13805,71.9,228197,88933,3167,3927,80.6,4188,5153,81.3,2374,4177,56.8,22,26.3,-4.3,280,777,192,76,831
4,Dortmund,33,34.0,17591,21078,83.5,331025,105678,7131,8060,88.5,7865,8841,89.0,2242,3385,66.2,57,43.0,14.0,325,1131,301,49,1426
5,Eint Frankfurt,27,34.0,12810,16910,75.8,259193,91871,4743,5632,84.2,5875,7017,83.7,1982,3600,55.1,33,32.6,0.4,321,900,247,81,1120
6,Freiburg,26,34.0,11791,15592,75.6,244621,91192,4483,5358,83.7,5001,5948,84.1,2083,3603,57.8,37,32.8,4.2,321,860,300,85,1062
7,Greuther Fürth,29,34.0,10312,13883,74.3,210536,78933,3813,4529,84.2,4603,5466,84.2,1685,3236,52.1,15,17.7,-2.7,205,688,151,44,878
8,Hertha BSC,36,34.0,10505,14102,74.5,209217,80872,4209,4995,84.3,4383,5316,82.4,1696,3133,54.1,23,23.8,-0.8,264,646,196,51,855
9,Hoffenheim,32,34.0,14418,18053,79.9,287245,99521,5526,6390,86.5,6379,7322,87.1,2259,3638,62.1,42,41.9,0.1,317,982,349,116,1252
10,Köln,26,34.0,12772,16768,76.2,274542,98415,4072,4962,82.1,5973,7092,84.2,2521,4048,62.3,40,37.1,2.9,344,865,320,125,1193
11,Leverkusen,29,34.0,14875,18255,81.5,290328,96296,5764,6558,87.9,6618,7509,88.1,2203,3490,63.1,58,43.0,15.0,337,967,294,67,1158
12,M'Gladbach,26,34.0,14882,18175,81.9,288195,96634,5934,6717,88.3,6549,7435,88.1,2145,3370,63.6,38,37.5,0.5,350,865,275,56,1251
13,Mainz 05,28,34.0,10965,14923,73.5,211155,83105,4458,5360,83.2,4683,5806,80.7,1565,3100,50.5,36,33.9,2.1,303,826,243,70,1103
14,RB Leipzig,29,34.0,16245,19662,82.6,297553,99041,7005,7866,89.1,7000,7927,88.3,1888,3097,61.0,53,45.3,7.7,320,1139,394,83,1407
15,Stuttgart,34,34.0,13884,17315,80.2,275912,93728,5431,6228,87.2,6076,6991,86.9,2138,3448,62.0,31,32.5,-1.5,328,948,255,63,1145
16,Union Berlin,28,34.0,10843,14732,73.6,228964,86244,3727,4534,82.2,4957,5967,83.1,1964,3610,54.4,33,30.4,2.6,283,794,250,122,968
17,Wolfsburg,30,34.0,12805,16416,78.0,269602,92921,4333,5180,83.6,5985,6962,86.0,2297,3687,62.3,25,33.3,-8.3,290,850,261,66,1101
