,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Arminia,26,26.3,34,3060,90,100,34.0,374,82,224,150,21,152,1.79,,,,,62.3,28.2,34.1,1.0
1,vs Augsburg,26,26.4,34,3060,90,100,34.0,374,80,205,169,23,156,1.65,,,,,58.3,38.1,20.1,0.59
2,vs Bayern Munich,30,26.1,34,3060,90,100,34.0,374,82,224,149,21,150,0.59,,,,,37.1,88.1,-51.0,-1.5
3,vs Bochum,28,26.2,34,3060,90,100,34.0,374,82,232,140,20,155,1.59,,,,,56.8,40.9,15.9,0.47
4,vs Dortmund,33,26.0,34,3060,90,100,34.0,374,83,231,142,19,146,0.88,,,,,43.2,62.8,-19.6,-0.58
5,vs Eint Frankfurt,27,26.1,34,3060,90,100,34.0,374,82,232,144,21,148,1.41,,,,,51.5,44.2,7.3,0.21
6,vs Freiburg,26,26.2,34,3060,90,100,34.0,374,83,219,157,17,151,1.09,,,,,45.1,49.9,-4.8,-0.14
7,vs Greuther Fürth,29,26.3,34,3060,90,100,34.0,374,83,236,139,19,147,2.21,,,,,60.3,30.7,29.6,0.87
8,vs Hertha BSC,36,26.2,34,3060,90,100,34.0,374,80,222,152,24,153,1.85,,,,,55.3,34.1,21.2,0.62
9,vs Hoffenheim,32,26.3,34,3060,90,100,34.0,374,81,219,155,22,150,1.44,,,,,52.5,55.1,-2.5,-0.07
10,vs Köln,26,26.0,34,3060,90,100,34.0,374,82,216,158,19,159,1.18,,,,,51.9,50.9,1.1,0.03
11,vs Leverkusen,29,26.3,34,3060,90,100,34.0,374,83,219,154,17,146,0.91,,,,,43.1,63.3,-20.2,-0.59
12,vs M'Gladbach,26,26.2,34,3060,90,100,34.0,374,84,256,118,20,153,1.41,,,,,54.7,57.7,-3.0,-0.09
13,vs Mainz 05,28,26.2,34,3060,90,100,34.0,374,82,221,150,18,154,1.44,,,,,46.0,51.0,-5.0,-0.15
14,vs RB Leipzig,29,26.0,34,3060,90,100,34.0,374,81,220,154,22,147,1.09,,,,,41.8,63.4,-21.6,-0.64
15,vs Stuttgart,34,26.3,34,3060,90,100,34.0,374,83,240,135,20,154,1.68,,,,,51.5,45.3,6.3,0.18
16,vs Union Berlin,28,26.1,34,3060,90,100,34.0,374,83,220,154,18,159,1.06,,,,,41.6,50.5,-8.8,-0.26
17,vs Wolfsburg,30,26.3,34,3060,90,100,34.0,374,82,232,139,21,151,1.59,,,,,49.8,48.8,1.0,0.03
