,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,Arminia,26,40.5,34.0,17720,2515,7012,7574,4072,634,16071,289,565,51.2,323,37,9558,47572,25130,874,236,106,471,446,11881,9575,80.6,837
1,Augsburg,26,41.2,34.0,17259,2431,6846,7407,4029,687,15582,252,515,48.9,274,30,9394,52202,26188,859,288,78,484,371,11806,9305,78.8,840
2,Bayern Munich,30,64.8,34.0,27862,2270,7879,13981,7809,1397,26272,435,755,57.6,468,50,19334,95100,51439,2104,644,220,488,440,22717,20247,89.1,1884
3,Bochum,28,44.5,34.0,18135,2609,7256,7661,4265,659,16454,240,456,52.6,268,20,9981,54428,27511,906,317,115,497,399,12330,9920,80.5,831
4,Dortmund,33,59.6,34.0,25112,2407,8158,12760,5746,902,23536,316,613,51.5,354,25,16502,80840,41885,1653,460,156,448,393,19921,17591,88.3,1426
5,Eint Frankfurt,27,49.6,34.0,21237,2505,7543,10017,4875,769,19528,276,525,52.6,310,35,12673,64500,33079,1271,401,137,514,405,15250,12810,84.0,1120
6,Freiburg,26,49.2,34.0,19607,2554,7082,8693,5019,849,18005,223,433,51.5,246,22,11277,58417,30532,1018,336,88,406,332,14058,11791,83.9,1062
7,Greuther Fürth,29,43.4,34.0,18231,2583,7196,8046,4014,564,16506,281,553,50.8,300,34,10363,53164,26491,938,295,98,509,422,12578,10312,82.0,878
8,Hertha BSC,36,43.5,34.0,18398,2459,7590,8011,3853,597,16682,243,498,48.8,268,24,10154,51914,26773,912,304,83,420,428,12975,10505,81.0,855
9,Hoffenheim,32,53.6,34.0,21965,2686,7976,9770,5465,949,20263,224,458,48.9,245,25,13403,69117,36154,1241,338,154,483,365,16654,14418,86.6,1252
10,Köln,26,55.1,34.0,21074,2698,8256,8940,5179,851,19273,274,513,53.4,300,16,12617,65619,33744,1169,377,107,473,360,15267,12772,83.7,1193
11,Leverkusen,29,53.9,34.0,22384,2606,8210,11021,4778,903,20740,397,705,56.3,427,49,14812,80561,43994,1548,498,177,475,421,17052,14875,87.2,1158
12,M'Gladbach,26,54.4,34.0,22555,2462,8146,11077,4643,844,20882,310,572,54.2,332,22,14489,67095,36829,1359,352,148,487,439,16937,14882,87.9,1251
13,Mainz 05,28,46.3,34.0,19307,2119,6914,8640,4730,841,17594,243,484,50.2,273,19,10656,50006,26022,907,295,110,539,385,13491,10965,81.3,1103
14,RB Leipzig,29,56.6,34.0,23753,2226,7554,11798,5797,1032,22195,319,589,54.2,353,19,15753,74615,38480,1508,436,139,511,389,18505,16245,87.8,1407
15,Stuttgart,34,50.7,34.0,21747,2575,7858,10407,4873,748,20068,355,673,52.7,398,40,13707,69705,37087,1319,396,123,535,429,16213,13884,85.6,1145
16,Union Berlin,28,43.4,34.0,18689,2261,7099,8379,4254,724,17129,225,411,54.7,254,24,10691,55519,28278,999,295,113,473,317,13092,10843,82.8,968
17,Wolfsburg,30,50.6,34.0,20636,2561,7692,9800,4311,720,19032,310,550,56.4,336,33,12553,60344,31342,1133,352,99,452,386,14977,12805,85.5,1101
