,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arminia,26,34.0,26,363,111,30.6,10.68,3.26,0.07,0.22,18.9,10,2,2,28.2,26.7,0.08,-2.2,-2.7
1,Augsburg,26,34.0,39,364,116,31.9,10.71,3.41,0.09,0.29,17.3,12,5,5,38.1,34.4,0.1,0.9,-0.4
2,Bayern Munich,30,34.0,92,673,254,37.7,19.79,7.47,0.13,0.34,15.9,12,5,5,88.1,84.4,0.13,3.9,2.6
3,Bochum,28,34.0,37,410,140,34.1,12.06,4.12,0.08,0.24,18.4,17,4,6,40.9,36.3,0.09,-3.9,-3.3
4,Dortmund,33,34.0,81,442,165,37.3,13.0,4.85,0.16,0.42,16.2,18,11,11,62.8,54.5,0.13,18.2,15.5
5,Eint Frankfurt,27,34.0,43,446,136,30.5,13.12,4.0,0.09,0.31,17.3,14,1,2,44.2,42.7,0.1,-1.2,-0.7
6,Freiburg,26,34.0,55,461,155,33.6,13.56,4.56,0.11,0.32,16.1,20,5,6,49.9,45.4,0.1,5.1,4.6
7,Greuther Fürth,29,34.0,26,309,94,30.4,9.09,2.76,0.07,0.22,17.8,12,5,5,30.7,27.0,0.09,-4.7,-6.0
8,Hertha BSC,36,34.0,35,371,119,32.1,10.91,3.5,0.09,0.27,16.6,15,3,3,34.1,31.9,0.09,0.9,0.1
9,Hoffenheim,32,34.0,55,454,147,32.4,13.35,4.32,0.12,0.37,14.8,13,0,0,55.1,55.1,0.12,-0.1,-0.1
10,Köln,26,34.0,52,470,151,32.1,13.82,4.44,0.11,0.34,15.7,9,1,1,50.9,50.1,0.11,1.1,0.9
11,Leverkusen,29,34.0,75,453,184,40.6,13.32,5.41,0.16,0.4,16.0,11,2,6,63.3,58.7,0.13,11.7,14.3
12,M'Gladbach,26,34.0,54,495,172,34.7,14.56,5.06,0.1,0.28,16.6,15,5,7,57.7,52.4,0.11,-3.7,-3.4
13,Mainz 05,28,34.0,49,464,149,32.1,13.65,4.38,0.1,0.3,17.0,21,4,4,51.0,48.0,0.11,-2.0,-3.0
14,RB Leipzig,29,34.0,72,436,171,39.2,12.82,5.03,0.15,0.37,15.5,17,8,9,63.4,57.2,0.13,8.6,6.8
15,Stuttgart,34,34.0,40,453,154,34.0,13.32,4.53,0.09,0.25,16.8,10,1,3,45.3,43.0,0.1,-5.3,-4.0
16,Union Berlin,28,34.0,50,411,149,36.3,12.09,4.38,0.11,0.3,15.6,7,5,5,50.5,46.9,0.12,-0.5,-1.9
17,Wolfsburg,30,34.0,42,425,136,32.0,12.5,4.0,0.09,0.29,17.2,19,3,4,48.8,46.1,0.11,-6.8,-7.1
