,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Arminia,26,26.3,59.5,34,374,3060,34.0,51,34,44,7,7,59,0,1.5,1.0,2.5,1.29,2.29,62.3,57.2,44.9,102.1,1.83,1.32,3.15,1.68,3.0
1,vs Augsburg,26,26.4,58.8,34,374,3060,34.0,54,40,49,5,5,59,0,1.59,1.18,2.76,1.44,2.62,58.3,54.5,41.3,95.8,1.71,1.21,2.93,1.6,2.82
2,vs Bayern Munich,30,26.1,35.2,34,374,3060,34.0,36,28,34,2,2,49,0,1.06,0.82,1.88,1.0,1.82,37.1,35.6,28.8,64.4,1.09,0.85,1.94,1.05,1.89
3,vs Bochum,28,26.2,55.5,34,374,3060,34.0,48,34,43,5,8,68,0,1.41,1.0,2.41,1.26,2.26,56.8,51.1,39.2,90.4,1.67,1.15,2.82,1.5,2.66
4,vs Dortmund,33,26.0,40.4,34,374,3060,34.0,50,32,44,6,6,69,0,1.47,0.94,2.41,1.29,2.24,43.2,38.7,25.9,64.6,1.27,0.76,2.03,1.14,1.9
5,vs Eint Frankfurt,27,26.1,50.4,34,374,3060,34.0,48,33,44,4,4,61,1,1.41,0.97,2.38,1.29,2.26,51.5,48.4,34.8,83.2,1.51,1.02,2.54,1.42,2.45
6,vs Freiburg,26,26.2,50.8,34,374,3060,34.0,45,35,43,2,2,65,2,1.32,1.03,2.35,1.26,2.29,45.1,43.7,32.6,76.3,1.33,0.96,2.29,1.28,2.24
7,vs Greuther Fürth,29,26.3,56.6,34,374,3060,34.0,77,56,71,6,6,49,2,2.26,1.65,3.91,2.09,3.74,60.3,55.8,41.0,96.8,1.77,1.2,2.98,1.64,2.85
8,vs Hertha BSC,36,26.2,56.5,34,374,3060,34.0,71,44,63,8,8,47,0,2.09,1.29,3.38,1.85,3.15,55.3,49.3,34.6,83.9,1.63,1.02,2.65,1.45,2.47
9,vs Hoffenheim,32,26.3,46.4,34,374,3060,34.0,59,46,57,2,4,47,3,1.74,1.35,3.09,1.68,3.03,52.5,49.5,37.5,86.9,1.55,1.1,2.65,1.46,2.56
10,vs Köln,26,26.0,44.9,34,374,3060,34.0,47,38,47,0,1,65,0,1.38,1.12,2.5,1.38,2.5,51.9,51.2,40.1,91.2,1.53,1.18,2.71,1.5,2.68
11,vs Leverkusen,29,26.3,46.1,34,374,3060,34.0,46,25,44,2,4,50,1,1.35,0.74,2.09,1.29,2.03,43.1,40.1,25.2,65.4,1.27,0.74,2.01,1.18,1.92
12,vs M'Gladbach,26,26.2,45.6,34,374,3060,34.0,60,46,57,3,5,73,4,1.76,1.35,3.12,1.68,3.03,54.7,50.9,38.1,89.0,1.61,1.12,2.73,1.5,2.62
13,vs Mainz 05,28,26.2,53.7,34,374,3060,34.0,44,32,39,5,6,69,0,1.29,0.94,2.24,1.15,2.09,46.0,41.9,28.5,70.4,1.35,0.84,2.19,1.23,2.07
14,vs RB Leipzig,29,26.0,43.4,34,374,3060,34.0,36,23,33,3,3,68,4,1.06,0.68,1.74,0.97,1.65,41.8,39.5,27.1,66.6,1.23,0.8,2.02,1.16,1.96
15,vs Stuttgart,34,26.3,49.3,34,374,3060,34.0,58,44,54,4,4,58,2,1.71,1.29,3.0,1.59,2.88,51.5,48.7,35.3,84.0,1.52,1.04,2.55,1.43,2.47
16,vs Union Berlin,28,26.1,56.6,34,374,3060,34.0,40,28,38,2,2,52,3,1.18,0.82,2.0,1.12,1.94,41.6,40.1,27.9,68.0,1.22,0.82,2.04,1.18,2.0
17,vs Wolfsburg,30,26.3,49.4,34,374,3060,34.0,53,39,49,4,7,66,2,1.56,1.15,2.71,1.44,2.59,49.8,44.5,33.4,77.9,1.47,0.98,2.45,1.31,2.29
