,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Augsburg,20,4.0,65,43,28,26,11,13,35,37.1,22,467,162,34.7,127,203,137,67,15,0,52,41,106,77,0
1,vs Bayern Munich,19,4.0,67,36,41,16,10,25,72,34.7,47,608,167,27.5,242,235,131,56,25,0,31,59,126,78,2
2,vs Bochum,18,4.0,46,24,18,22,6,13,28,46.4,15,449,136,30.3,118,206,125,57,11,0,46,42,88,87,2
3,vs Dortmund,20,4.0,81,50,41,34,6,35,80,43.8,45,589,178,30.2,182,259,148,65,12,1,53,63,144,71,1
4,vs Eint Frankfurt,20,4.0,69,32,42,19,8,24,68,35.3,44,579,192,33.2,216,239,124,72,6,0,66,78,147,85,1
5,vs Freiburg,19,4.0,55,33,25,22,8,15,40,37.5,25,424,131,30.9,133,194,97,55,14,0,41,41,96,80,4
6,vs Hertha BSC,21,4.0,86,51,39,38,9,34,89,38.2,55,560,173,30.9,184,266,110,43,8,0,35,61,147,58,0
7,vs Hoffenheim,20,4.0,62,33,33,22,7,15,47,31.9,32,553,156,28.2,175,240,138,60,13,0,47,46,108,49,2
8,vs Köln,21,4.0,65,36,36,24,5,29,59,49.2,30,482,122,25.3,162,192,128,84,21,3,63,83,148,100,1
9,vs Leverkusen,22,4.0,89,58,41,36,12,28,72,38.9,44,632,202,32.0,168,302,162,52,16,0,36,60,149,84,0
10,vs M'Gladbach,17,4.0,50,26,20,25,5,16,31,51.6,15,526,161,30.6,171,215,140,65,12,0,53,49,99,56,2
11,vs Mainz 05,19,4.0,81,43,41,34,6,22,47,46.8,25,554,182,32.9,185,272,97,60,15,0,45,45,126,87,1
12,vs RB Leipzig,21,4.0,78,41,37,33,8,32,77,41.6,45,560,169,30.2,179,269,112,84,24,0,60,72,150,84,2
13,vs Schalke 04,20,4.0,50,23,20,26,4,18,48,37.5,30,398,133,33.4,108,187,103,45,9,0,36,51,101,112,0
14,vs Stuttgart,20,4.0,78,54,33,39,6,28,60,46.7,32,465,165,35.5,145,199,121,55,21,0,34,46,124,87,0
15,vs Union Berlin,20,4.0,40,27,23,11,6,15,32,46.9,17,378,126,33.3,111,154,113,68,19,1,49,49,89,74,1
16,vs Werder Bremen,19,4.0,75,47,30,31,14,28,58,48.3,30,515,160,31.1,148,251,116,65,8,0,57,49,124,86,2
17,vs Wolfsburg,21,4.0,72,42,34,33,5,24,68,35.3,44,568,197,34.7,167,282,119,73,19,0,54,64,136,93,0
