,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Augsburg,1,4,4,360,4.0,3,0.75,9,6,66.7,3,0,1,2,50.0,0,0,0,0,
1,vs Bayern Munich,1,4,4,360,4.0,16,4.0,49,34,69.4,0,1,3,0,0.0,1,1,0,0,0.0
2,vs Bochum,1,4,4,360,4.0,3,0.75,20,17,85.0,4,0,0,2,50.0,0,0,0,0,
3,vs Dortmund,1,4,4,359,4.0,7,1.75,21,13,66.7,1,0,3,0,0.0,0,0,0,0,
4,vs Eint Frankfurt,1,4,4,360,4.0,7,1.75,13,6,46.2,1,2,1,0,0.0,0,0,0,0,
5,vs Freiburg,1,4,4,360,4.0,7,1.75,27,20,74.1,1,0,3,0,0.0,1,0,1,0,100.0
6,vs Hertha BSC,1,4,4,360,4.0,2,0.5,15,12,86.7,3,1,0,2,50.0,0,0,0,0,
7,vs Hoffenheim,1,4,4,360,4.0,8,2.0,22,14,63.6,1,0,3,0,0.0,1,0,1,0,100.0
8,vs Köln,1,4,4,360,4.0,6,1.5,16,11,62.5,0,3,1,1,25.0,0,0,0,0,
9,vs Leverkusen,2,4,4,360,4.0,4,1.0,21,17,81.0,3,0,1,2,50.0,0,0,0,0,
10,vs M'Gladbach,1,4,4,360,4.0,7,1.75,23,16,73.9,0,2,2,0,0.0,2,1,1,0,50.0
11,vs Mainz 05,1,4,4,360,4.0,4,1.0,20,16,80.0,1,1,2,2,50.0,1,0,1,0,100.0
12,vs RB Leipzig,2,4,4,360,4.0,6,1.5,21,16,76.2,1,2,1,0,0.0,1,1,0,0,0.0
13,vs Schalke 04,1,4,4,360,4.0,4,1.0,11,9,81.8,2,2,0,1,25.0,3,2,1,0,33.3
14,vs Stuttgart,1,4,4,360,4.0,3,0.75,18,15,83.3,1,3,0,2,50.0,0,0,0,0,
15,vs Union Berlin,1,4,4,360,4.0,11,2.75,19,8,42.1,0,1,3,1,25.0,0,0,0,0,
16,vs Werder Bremen,1,4,4,360,4.0,10,2.5,18,9,50.0,1,2,1,0,0.0,1,1,0,0,0.0
17,vs Wolfsburg,1,4,4,360,4.0,2,0.5,15,13,86.7,2,2,0,3,75.0,0,0,0,0,
