,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Augsburg,1,4,4,360,4.0,8,2.0,26,18,69.2,1,0,3,0,0.0,1,0,1,0,100.0
1,Bayern Munich,1,4,4,360,4.0,2,0.5,14,12,85.7,3,1,0,2,50.0,0,0,0,0,
2,Bochum,1,4,4,360,4.0,13,3.25,39,28,69.2,0,0,4,0,0.0,3,1,2,0,66.7
3,Dortmund,1,4,4,360,4.0,4,1.0,20,15,80.0,3,0,1,2,50.0,0,0,0,0,
4,Eint Frankfurt,1,4,4,360,4.0,11,2.75,20,9,50.0,1,2,1,0,0.0,1,1,0,0,0.0
5,Freiburg,1,4,4,360,4.0,3,0.75,17,14,82.4,3,0,1,3,75.0,0,0,0,0,
6,Hertha BSC,1,4,4,360,4.0,6,1.5,20,15,75.0,0,1,3,0,0.0,2,1,1,0,50.0
7,Hoffenheim,1,4,4,360,4.0,5,1.25,17,11,70.6,3,0,1,2,50.0,0,0,0,0,
8,Köln,1,4,4,360,4.0,4,1.0,15,11,73.3,1,3,0,1,25.0,0,0,0,0,
9,Leverkusen,2,4,4,359,4.0,6,1.5,17,11,64.7,1,0,3,1,25.0,0,0,0,0,
10,M'Gladbach,1,4,4,360,4.0,4,1.0,29,26,89.7,2,2,0,1,25.0,1,1,0,0,0.0
11,Mainz 05,1,4,4,360,4.0,5,1.25,12,7,58.3,2,1,1,1,25.0,0,0,0,0,
12,RB Leipzig,2,4,4,360,4.0,5,1.25,12,8,58.3,1,2,1,1,25.0,0,0,0,0,
13,Schalke 04,1,4,4,360,4.0,11,2.75,30,19,63.3,0,2,2,1,25.0,0,0,0,0,
14,Stuttgart,1,4,4,360,4.0,4,1.0,16,12,75.0,0,3,1,1,25.0,0,0,0,0,
15,Union Berlin,1,4,4,360,4.0,3,0.75,14,12,85.7,3,1,0,1,25.0,1,1,0,0,0.0
16,Werder Bremen,1,4,4,360,4.0,10,2.5,20,9,50.0,1,2,1,0,0.0,0,0,0,0,
17,Wolfsburg,1,4,4,360,4.0,6,1.5,20,15,75.0,0,2,2,1,25.0,2,1,1,0,50.0
