,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Bayern Munich,4,3,1,0,16,2,14,10,2.5,12.4,3.7,8.8,2.19,W W W D,75000,"Sadio Mané, Jamal Musiala - 3",Manuel Neuer,
1,2,Union Berlin,4,3,1,0,11,3,8,10,2.5,3.1,3.9,-0.8,-0.19,W D W W,21534,Sheraldo Becker - 4,Frederik Rønnow,
2,3,Freiburg,4,3,0,1,7,3,4,9,2.25,7.0,4.1,2.9,0.72,W L W W,33750,Vincenzo Grifo - 3,Mark Flekken,
3,4,Hoffenheim,4,3,0,1,8,5,3,9,2.25,5.5,5.2,0.3,0.08,L W W W,17106,Christoph Baumgartner - 2,Oliver Baumann,
4,5,Dortmund,4,3,0,1,7,4,3,9,2.25,6.6,3.8,2.7,0.68,W W L W,81365,"Marco Reus, Raphaël Guerreiro... - 1",Gregor Kobel,
5,6,M'Gladbach,4,2,2,0,7,4,3,8,2.0,6.6,6.4,0.1,0.03,W D W D,49035,Marcus Thuram - 3,Yann Sommer,
6,7,Mainz 05,4,2,1,1,4,5,-1,7,1.75,5.2,3.1,2.1,0.51,W D W L,26755,Karim Onisiwo - 3,Robin Zentner,
7,8,Köln,4,1,3,0,6,4,2,6,1.5,5.6,3.6,2.0,0.51,W D D D,50000,"Dejan Ljubicic, Florian Kainz... - 1",Marvin Schwäbe,
8,9,RB Leipzig,4,1,2,1,6,5,1,5,1.25,6.8,3.0,3.8,0.95,D D L W,45411,Christopher Nkunku - 4,"Janis Blaswich, Péter Gulácsi",
9,10,Werder Bremen,4,1,2,1,10,10,0,5,1.25,4.3,4.4,-0.1,-0.01,D D W L,41000,Niclas Füllkrug - 3,Jiří Pavlenka,
10,11,Eint Frankfurt,4,1,2,1,7,11,-4,5,1.25,5.1,7.5,-2.5,-0.61,L D D W,51150,"Randal Kolo Muani, Daichi Kamada - 2",Kevin Trapp,
11,12,Stuttgart,4,0,3,1,3,4,-1,3,0.75,5.3,3.9,1.4,0.36,D D L D,46750,"Wataru Endo, Silas Katompa... - 1",Florian Müller,
12,13,Leverkusen,4,1,0,3,4,6,-2,3,0.75,6.5,4.6,1.9,0.48,L L L W,24602,Jeremie Frimpong - 2,Lukáš Hrádecký,
13,14,Augsburg,4,1,0,3,3,8,-5,3,0.75,2.1,7.3,-5.2,-1.29,L W L L,24533,"Ermedin Demirović, André Hahn... - 1",Rafał Gikiewicz,
14,15,Wolfsburg,4,0,2,2,2,6,-4,2,0.5,3.7,6.8,-3.1,-0.78,D L D L,27487,"Lukas Nmecha, Josuha Guilavogui - 1",Koen Casteels,
15,16,Schalke 04,4,0,2,2,4,11,-7,2,0.5,4.9,7.9,-3.0,-0.76,L D D L,62271,Marius Bülter - 3,Alexander Schwolow,
16,17,Hertha BSC,4,0,1,3,2,6,-4,1,0.25,3.8,8.6,-4.8,-1.21,L D L L,53571,"Suat Serdar, Dodi Lukebakio - 1",Oliver Christensen,
17,18,Bochum,4,0,0,4,3,13,-10,0,0.0,4.2,10.9,-6.6,-1.65,L L L L,25055,Simon Zoller - 2,Manuel Riemann,
