,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,vs Augsburg,20,4.0,4,0,0,54,51,11,50,41,43,1,0,0,398,114,87,56.7
1,vs Bayern Munich,19,4.0,6,0,0,46,37,9,31,59,36,0,1,1,278,58,51,53.2
2,vs Bochum,18,4.0,6,0,0,53,44,8,48,42,24,2,0,0,400,94,101,48.2
3,vs Dortmund,20,4.0,7,1,0,52,50,11,49,63,50,0,0,0,364,81,68,54.4
4,vs Eint Frankfurt,20,4.0,5,0,0,54,57,11,30,78,32,1,0,0,377,74,63,54.0
5,vs Freiburg,19,4.0,9,0,0,46,54,4,55,41,33,0,1,0,370,124,128,49.2
6,vs Hertha BSC,21,4.0,4,0,0,56,44,7,62,61,51,0,0,0,339,70,74,48.6
7,vs Hoffenheim,20,4.0,4,0,0,56,68,7,45,46,33,0,1,0,311,56,59,48.7
8,vs Köln,21,4.0,4,3,0,46,54,5,38,83,36,0,0,1,284,66,79,45.5
9,vs Leverkusen,22,4.0,13,0,0,63,49,7,29,60,58,0,0,0,365,67,66,50.4
10,vs M'Gladbach,17,4.0,14,2,2,53,43,16,59,49,26,0,1,0,337,48,49,49.5
11,vs Mainz 05,19,4.0,10,2,2,51,53,5,31,45,43,0,1,0,363,87,96,47.5
12,vs RB Leipzig,21,4.0,11,0,0,68,47,8,32,72,41,0,1,0,318,63,62,50.4
13,vs Schalke 04,20,4.0,3,0,0,39,46,11,74,51,23,0,3,0,367,110,88,55.6
14,vs Stuttgart,20,4.0,9,0,0,44,44,6,53,46,54,0,0,0,348,81,86,48.5
15,vs Union Berlin,20,4.0,6,0,0,44,66,5,46,49,27,0,0,0,362,109,119,47.8
16,vs Werder Bremen,19,4.0,10,0,0,54,45,13,33,49,47,0,1,0,384,75,85,46.9
17,vs Wolfsburg,21,4.0,10,0,0,54,49,18,46,64,42,1,0,0,369,68,84,44.7
