,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Augsburg,20,4.0,9,0,0,52,53,5,23,43,49,0,1,0,348,87,114,43.3
1,Bayern Munich,19,4.0,6,0,0,39,44,21,55,53,35,0,0,0,363,51,58,46.8
2,Bochum,18,4.0,6,0,0,46,49,6,50,56,42,0,3,1,329,101,94,51.8
3,Dortmund,20,4.0,9,0,0,50,50,11,41,52,57,0,0,0,367,68,81,45.6
4,Eint Frankfurt,20,4.0,5,0,0,58,51,15,52,77,40,0,1,0,358,63,74,46.0
5,Freiburg,19,4.0,5,0,0,58,45,8,44,54,35,1,0,0,361,128,124,50.8
6,Hertha BSC,21,4.0,9,1,1,47,54,8,30,69,28,0,1,0,345,74,70,51.4
7,Hoffenheim,20,4.0,10,1,1,69,53,9,40,39,28,1,0,0,347,59,56,51.3
8,Köln,21,4.0,7,0,0,56,46,8,73,65,45,0,0,0,352,79,66,54.5
9,Leverkusen,22,4.0,12,3,2,51,62,10,52,53,47,0,0,0,374,66,67,49.6
10,M'Gladbach,17,4.0,6,0,0,47,51,8,32,51,34,0,1,0,296,49,48,50.5
11,Mainz 05,19,4.0,7,0,0,54,52,7,41,46,38,1,0,0,395,96,87,52.5
12,RB Leipzig,21,4.0,6,1,0,50,66,7,51,40,37,0,0,1,339,62,63,49.6
13,Schalke 04,20,4.0,9,1,0,46,36,10,50,70,35,1,0,0,334,88,110,44.4
14,Stuttgart,20,4.0,10,1,0,45,41,3,37,64,44,0,0,0,341,86,81,51.5
15,Union Berlin,20,4.0,4,0,0,69,44,10,50,54,33,0,1,0,317,119,109,52.2
16,Werder Bremen,19,4.0,8,0,0,46,53,10,45,65,43,1,0,0,394,85,75,53.1
17,Wolfsburg,21,4.0,7,0,0,50,51,6,45,48,29,0,2,0,374,84,68,55.3
