,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,vs Augsburg,20,4.0,1817,1625,192,50,4,300,46,50,22,11,7,0,1107,278,432,458,1057,95,90,40,1389,11,36,40,49
1,vs Bayern Munich,19,4.0,1338,1146,192,56,3,205,41,31,15,7,6,1,764,191,383,407,724,68,66,19,960,8,39,52,32
2,vs Bochum,18,4.0,1855,1655,200,43,4,358,42,48,20,5,8,2,1152,272,431,545,1008,103,92,38,1443,8,30,55,45
3,vs Dortmund,20,4.0,1748,1540,208,55,0,235,61,49,23,13,5,0,1100,237,411,525,981,69,78,37,1341,10,26,51,49
4,vs Eint Frankfurt,20,4.0,1918,1715,203,66,6,274,62,30,24,8,14,0,1290,211,417,579,1103,84,68,31,1466,10,40,74,47
5,vs Freiburg,19,4.0,2004,1805,199,62,1,275,58,55,15,9,4,0,1323,244,437,651,1058,88,77,30,1579,4,31,53,36
6,vs Hertha BSC,21,4.0,2212,1996,216,51,9,247,70,62,25,8,12,0,1553,243,416,568,1385,78,101,33,1766,6,30,67,59
7,vs Hoffenheim,20,4.0,1945,1723,222,63,6,220,56,45,16,5,7,1,1309,266,370,492,1202,79,97,26,1554,6,31,38,50
8,vs Köln,21,4.0,1476,1260,216,55,2,258,56,38,16,4,8,0,921,201,354,432,820,53,99,25,1107,3,22,62,47
9,vs Leverkusen,22,4.0,1742,1546,196,54,1,263,46,29,10,5,5,0,1090,233,419,493,988,82,90,27,1315,6,40,50,50
10,vs M'Gladbach,17,4.0,1745,1578,167,45,2,152,41,59,22,9,6,3,1175,200,370,513,1032,74,69,22,1383,16,29,49,39
11,vs Mainz 05,19,4.0,1853,1646,207,56,2,232,59,31,14,6,4,1,1135,236,482,573,969,107,95,30,1392,5,39,46,54
12,vs RB Leipzig,21,4.0,1561,1382,179,52,1,203,59,32,13,7,1,0,1006,194,361,464,862,85,66,31,1165,5,49,40,52
13,vs Schalke 04,20,4.0,2325,2134,191,51,3,244,91,74,30,16,7,1,1665,239,421,677,1382,83,77,29,1900,10,26,66,53
14,vs Stuttgart,20,4.0,2147,1952,195,47,4,232,48,53,18,6,7,0,1465,251,431,576,1301,96,86,25,1741,5,36,61,45
15,vs Union Berlin,20,4.0,2175,1945,230,70,2,334,79,46,29,19,10,0,1504,210,461,640,1249,82,90,39,1725,5,46,51,41
16,vs Werder Bremen,19,4.0,1935,1707,228,56,4,278,45,33,17,9,5,0,1229,262,444,522,1113,103,112,32,1460,13,41,63,61
17,vs Wolfsburg,21,4.0,1693,1496,197,52,6,275,53,46,25,5,7,2,1014,237,442,500,944,86,79,35,1279,14,30,47,49
