,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Augsburg,20,4.0,1389,1817,76.4,28148,10948,529,636,83.2,587,698,84.1,243,416,58.4,5,5.1,-0.1,54,130,38,11,148
1,vs Bayern Munich,19,4.0,960,1338,71.7,21338,8881,351,433,81.1,403,502,80.3,188,354,53.1,0,2.3,-2.3,25,73,14,5,61
2,vs Bochum,18,4.0,1443,1855,77.8,27740,11182,618,706,87.5,587,708,82.9,206,360,57.2,8,3.9,4.1,55,111,51,9,147
3,vs Dortmund,20,4.0,1341,1748,76.7,27652,10613,515,608,84.7,561,668,84.0,248,407,60.9,3,3.5,-0.5,41,111,30,9,136
4,vs Eint Frankfurt,20,4.0,1466,1918,76.4,30856,11471,494,608,81.3,693,813,85.2,256,435,58.9,6,5.4,0.6,34,99,32,7,150
5,vs Freiburg,19,4.0,1579,2004,78.8,33198,11572,558,653,85.5,726,839,86.5,275,452,60.8,2,3.2,-1.2,46,120,41,11,148
6,vs Hertha BSC,21,4.0,1766,2212,79.8,33500,10888,706,796,88.7,795,903,88.0,220,413,53.3,5,5.8,-0.8,49,115,40,14,150
7,vs Hoffenheim,20,4.0,1554,1945,79.9,30791,11008,642,726,88.4,639,737,86.7,243,398,61.1,5,4.7,0.3,43,117,39,8,142
8,vs Köln,21,4.0,1107,1476,75.0,23868,9213,399,474,84.2,470,565,83.2,217,365,59.5,3,3.2,-0.2,26,82,13,2,92
9,vs Leverkusen,22,4.0,1315,1742,75.5,25738,9592,549,656,83.7,543,639,85.0,194,364,53.3,3,2.1,0.9,27,101,27,4,122
10,vs M'Gladbach,17,4.0,1383,1745,79.3,26372,9117,581,656,88.6,574,664,86.4,191,351,54.4,3,4.8,-1.8,50,124,36,7,136
11,vs Mainz 05,19,4.0,1392,1853,75.1,30636,10188,414,485,85.4,680,808,84.2,277,483,57.3,3,2.2,0.8,28,81,19,6,96
12,vs RB Leipzig,21,4.0,1165,1561,74.6,25200,8782,379,451,84.0,554,672,82.4,214,374,57.2,4,2.7,1.3,35,73,22,7,101
13,vs Schalke 04,20,4.0,1900,2325,81.7,41261,12425,584,669,87.3,930,1062,87.6,362,522,69.3,7,5.7,1.3,57,136,54,19,160
14,vs Stuttgart,20,4.0,1741,2147,81.1,35666,11199,577,638,90.4,834,953,87.5,293,469,62.5,4,3.5,0.5,40,117,27,7,140
15,vs Union Berlin,20,4.0,1725,2175,79.3,36854,11643,521,614,84.9,851,973,87.5,325,515,63.1,2,2.2,-0.2,29,126,26,7,139
16,vs Werder Bremen,19,4.0,1460,1935,75.5,28444,10207,569,677,84.0,650,767,84.7,210,402,52.2,8,4.0,4.0,34,90,23,4,114
17,vs Wolfsburg,21,4.0,1279,1693,75.5,26240,10515,486,582,83.5,542,657,82.5,222,381,58.3,3,2.5,0.5,32,97,29,6,117
