,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Augsburg,20,26.9,4,360,90,100,4.0,44,81,24,20,20,16,0.75,3,8,-5,-1.25,2.1,7.3,-5.2,-1.29
1,Bayern Munich,19,27.2,4,360,90,100,4.0,44,82,28,16,22,19,2.5,16,2,14,3.5,12.4,3.7,8.8,2.19
2,Bochum,18,30.0,4,360,90,100,4.0,44,84,27,17,15,17,0.0,3,13,-10,-2.5,4.2,10.9,-6.6,-1.65
3,Dortmund,20,26.8,4,360,90,100,4.0,44,80,27,17,26,19,2.25,7,4,3,0.75,6.6,3.8,2.7,0.68
4,Eint Frankfurt,20,26.2,4,360,90,100,4.0,44,80,24,20,22,16,1.25,7,11,-4,-1.0,5.1,7.5,-2.5,-0.61
5,Freiburg,19,27.1,4,360,90,100,4.0,44,85,26,18,13,18,2.25,7,3,4,1.0,7.0,4.1,2.9,0.72
6,Hertha BSC,21,25.9,4,360,90,100,4.0,44,81,26,17,22,19,0.25,2,6,-4,-1.0,3.8,8.6,-4.8,-1.21
7,Hoffenheim,20,26.9,4,360,90,100,4.0,44,78,23,20,23,16,2.25,8,5,3,0.75,5.5,5.2,0.3,0.08
8,Köln,21,26.2,4,360,90,100,4.0,44,78,24,20,27,16,1.5,6,4,2,0.5,5.6,3.6,2.0,0.51
9,Leverkusen,22,25.7,4,360,90,100,4.0,44,79,21,20,24,16,0.75,4,6,-2,-0.5,6.5,4.6,1.9,0.48
10,M'Gladbach,17,26.6,4,360,90,100,4.0,44,88,33,11,8,25,2.0,7,4,3,0.75,6.6,6.4,0.1,0.03
11,Mainz 05,19,27.2,4,360,90,100,4.0,44,81,26,18,21,18,1.75,4,5,-1,-0.25,5.2,3.1,2.1,0.51
12,RB Leipzig,21,26.4,4,360,90,100,4.0,44,80,26,17,23,17,1.25,6,5,1,0.25,6.8,3.0,3.8,0.95
13,Schalke 04,20,27.6,4,360,90,100,4.0,44,80,24,19,20,16,0.5,4,11,-7,-1.75,4.9,7.9,-3.0,-0.76
14,Stuttgart,20,24.3,4,360,90,100,4.0,44,83,25,18,16,17,0.75,3,4,-1,-0.25,5.3,3.9,1.4,0.36
15,Union Berlin,20,27.9,4,360,90,100,4.0,44,82,24,20,17,16,2.5,11,3,8,2.0,3.1,3.9,-0.8,-0.19
16,Werder Bremen,19,27.6,4,360,90,100,4.0,44,81,25,19,20,17,1.25,10,10,0,0.0,4.3,4.4,-0.1,-0.01
17,Wolfsburg,21,25.5,4,360,90,100,4.0,44,77,25,19,29,17,0.5,2,6,-4,-1.0,3.7,6.8,-3.1,-0.78
