,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,vs Augsburg,20,53.3,4.0,2311,225,672,1096,646,123,2122,34,59,57.6,37,3,1324,7110,3857,149,36,21,58,51,1630,1389,85.2,148
1,vs Bayern Munich,19,33.8,4.0,1786,321,804,671,407,51,1598,19,37,51.4,23,3,917,4651,2223,84,29,14,47,53,1205,960,79.7,61
2,vs Bochum,18,52.5,4.0,2349,275,810,1020,659,132,2146,30,58,51.7,37,4,1340,7323,4295,149,47,15,48,52,1706,1443,84.6,147
3,vs Dortmund,20,46.0,4.0,2234,281,782,1031,550,83,2034,34,69,49.3,38,6,1312,7044,4046,138,41,17,49,53,1525,1341,87.9,136
4,vs Eint Frankfurt,20,50.8,4.0,2412,315,905,1125,525,92,2214,32,60,53.3,34,9,1416,7016,3590,114,38,18,57,43,1732,1466,84.6,150
5,vs Freiburg,19,57.0,4.0,2445,339,967,1111,525,110,2256,25,51,49.0,27,1,1494,8976,5080,173,46,23,47,35,1770,1579,89.2,148
6,vs Hertha BSC,21,58.5,4.0,2635,273,925,1186,701,111,2425,29,55,52.7,32,3,1735,8946,5014,168,56,26,49,30,1989,1766,88.8,150
7,vs Hoffenheim,20,52.0,4.0,2367,244,722,1177,607,88,2148,22,44,50.0,29,1,1502,7726,4445,198,51,14,51,31,1800,1554,86.3,142
8,vs Köln,21,41.5,4.0,2011,343,879,776,465,72,1798,48,92,52.2,55,8,1171,5184,2604,89,31,11,47,53,1257,1107,88.1,92
9,vs Leverkusen,22,45.8,4.0,2231,269,773,1055,557,87,2039,24,48,50.0,28,1,1315,6949,3773,142,46,11,54,68,1593,1315,82.5,122
10,vs M'Gladbach,17,43.8,4.0,2186,254,738,938,645,116,2024,39,66,59.1,44,3,1363,7334,4039,163,44,28,50,41,1587,1383,87.1,136
11,vs Mainz 05,19,50.0,4.0,2321,293,943,1075,413,52,2114,21,38,55.3,23,2,1302,6059,3124,98,29,10,56,43,1686,1392,82.6,96
12,vs RB Leipzig,21,41.0,4.0,2031,302,836,923,390,61,1862,21,46,45.7,23,0,1187,6862,3537,123,32,13,38,30,1378,1165,84.5,101
13,vs Schalke 04,20,64.0,4.0,2771,311,928,1267,761,131,2586,26,49,53.1,28,1,1873,9476,5158,192,69,15,40,36,2139,1900,88.8,160
14,vs Stuttgart,20,57.0,4.0,2614,316,882,1245,667,89,2425,24,53,45.3,26,3,1655,8798,4394,155,53,12,42,47,1934,1741,90.0,140
15,vs Union Berlin,20,58.5,4.0,2594,209,850,1358,554,86,2375,29,54,53.7,33,6,1639,7750,4035,127,31,7,55,41,1974,1725,87.4,139
16,vs Werder Bremen,19,49.5,4.0,2403,261,837,1180,528,74,2184,38,68,55.9,40,3,1448,7408,3713,132,32,19,57,51,1646,1460,88.7,114
17,vs Wolfsburg,21,44.3,4.0,2211,297,859,963,500,112,2017,34,64,53.1,40,8,1241,5996,3030,123,31,23,60,37,1513,1279,84.5,117
