,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Augsburg,20,4.0,8,77,26,33.8,19.25,6.5,0.1,0.31,17.8,3,0,1,7.3,6.5,0.09,0.7,1.5
1,vs Bayern Munich,19,4.0,2,35,14,40.0,8.75,3.5,0.06,0.14,17.5,2,0,0,3.7,3.7,0.11,-1.7,-1.7
2,vs Bochum,18,4.0,12,84,39,46.4,21.0,9.75,0.13,0.28,17.3,4,1,3,10.9,8.4,0.11,1.1,2.6
3,vs Dortmund,20,4.0,4,51,20,39.2,12.75,5.0,0.08,0.2,19.0,2,0,0,3.8,3.8,0.07,0.2,0.2
4,vs Eint Frankfurt,20,4.0,11,49,20,40.8,12.25,5.0,0.2,0.5,16.3,1,1,1,7.5,6.7,0.14,3.5,3.3
5,vs Freiburg,19,4.0,3,56,17,30.4,14.0,4.25,0.05,0.18,16.9,2,0,0,4.1,4.1,0.07,-1.1,-1.1
6,vs Hertha BSC,21,4.0,6,63,20,31.7,15.75,5.0,0.08,0.25,15.9,1,1,2,8.6,7.0,0.11,-2.6,-2.0
7,vs Hoffenheim,20,4.0,5,55,17,30.9,13.75,4.25,0.09,0.29,17.7,5,0,0,5.2,5.2,0.09,-0.2,-0.2
8,vs Köln,21,4.0,4,38,15,39.5,9.5,3.75,0.11,0.27,17.1,3,0,0,3.6,3.6,0.1,0.4,0.4
9,vs Leverkusen,22,4.0,6,48,17,35.4,12.0,4.25,0.13,0.35,16.5,2,0,0,4.6,4.6,0.1,1.4,1.4
10,vs M'Gladbach,17,4.0,4,63,29,46.0,15.75,7.25,0.05,0.1,17.3,2,1,1,6.4,5.6,0.09,-2.4,-2.6
11,vs Mainz 05,19,4.0,5,41,12,29.3,10.25,3.0,0.12,0.42,22.7,4,0,0,3.1,3.1,0.08,1.9,1.9
12,vs RB Leipzig,21,4.0,4,40,12,30.0,10.0,3.0,0.1,0.33,18.6,0,0,0,3.0,3.0,0.08,1.0,1.0
13,vs Schalke 04,20,4.0,11,75,30,40.0,18.75,7.5,0.15,0.37,15.0,0,0,0,7.9,7.9,0.11,3.1,3.1
14,vs Stuttgart,20,4.0,4,49,16,32.7,12.25,4.0,0.08,0.25,18.7,0,0,0,3.9,3.9,0.08,0.1,0.1
15,vs Union Berlin,20,4.0,3,48,14,29.2,12.0,3.5,0.04,0.14,16.5,1,1,1,3.9,3.1,0.06,-0.9,-1.1
16,vs Werder Bremen,19,4.0,10,41,20,48.8,10.25,5.0,0.24,0.5,17.6,0,0,0,4.4,4.4,0.11,5.6,5.6
17,vs Wolfsburg,21,4.0,6,57,20,35.1,14.25,5.0,0.09,0.25,17.9,0,1,2,6.8,5.2,0.09,-0.8,-0.2
