,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,Augsburg,20,26.9,46.8,4,44,360,4.0,3,2,3,0,0,9,0,0.75,0.5,1.25,0.75,1.25,2.1,2.1,1.6,3.7,0.53,0.41,0.94,0.53,0.94
1,Bayern Munich,19,27.2,66.3,4,44,360,4.0,15,10,14,1,1,6,0,3.75,2.5,6.25,3.5,6.0,12.4,11.7,8.6,20.2,3.11,2.14,5.26,2.92,5.06
2,Bochum,18,30.0,47.5,4,44,360,4.0,3,3,3,0,0,6,0,0.75,0.75,1.5,0.75,1.5,4.2,4.2,3.3,7.5,1.06,0.82,1.89,1.06,1.89
3,Dortmund,20,26.8,54.0,4,44,360,4.0,7,5,7,0,0,9,0,1.75,1.25,3.0,1.75,3.0,6.6,6.6,5.0,11.5,1.64,1.24,2.88,1.64,2.88
4,Eint Frankfurt,20,26.2,49.3,4,44,360,4.0,7,4,7,0,0,5,0,1.75,1.0,2.75,1.75,2.75,5.1,5.1,4.2,9.3,1.27,1.06,2.32,1.27,2.32
5,Freiburg,19,27.1,43.0,4,44,360,4.0,7,4,7,0,1,5,0,1.75,1.0,2.75,1.75,2.75,7.0,6.1,3.3,9.4,1.75,0.83,2.58,1.53,2.35
6,Hertha BSC,21,25.9,41.5,4,44,360,4.0,2,2,2,0,0,9,1,0.5,0.5,1.0,0.5,1.0,3.8,3.8,3.0,6.7,0.94,0.74,1.68,0.94,1.68
7,Hoffenheim,20,26.9,48.0,4,44,360,4.0,8,6,8,0,1,10,1,2.0,1.5,3.5,2.0,3.5,5.5,4.7,3.0,7.7,1.38,0.75,2.13,1.18,1.93
8,Köln,21,26.2,58.5,4,44,360,4.0,5,3,5,0,0,7,0,1.25,0.75,2.0,1.25,2.0,5.6,5.6,4.2,9.8,1.41,1.04,2.46,1.41,2.46
9,Leverkusen,22,25.7,54.3,4,44,360,4.0,4,1,4,0,0,12,3,1.0,0.25,1.25,1.0,1.25,6.5,6.5,5.5,12.0,1.63,1.37,3.01,1.63,3.01
10,M'Gladbach,17,26.6,56.3,4,44,360,4.0,7,4,6,1,2,6,0,1.75,1.0,2.75,1.5,2.5,6.6,5.0,3.7,8.7,1.64,0.92,2.56,1.25,2.17
11,Mainz 05,19,27.2,50.0,4,44,360,4.0,4,4,4,0,1,7,0,1.0,1.0,2.0,1.0,2.0,5.2,4.4,2.8,7.2,1.3,0.69,1.99,1.1,1.79
12,RB Leipzig,21,26.4,59.0,4,44,360,4.0,6,4,5,1,1,6,1,1.5,1.0,2.5,1.25,2.25,6.8,6.1,3.8,9.9,1.71,0.96,2.67,1.51,2.47
13,Schalke 04,20,27.6,36.0,4,44,360,4.0,4,2,2,2,3,9,1,1.0,0.5,1.5,0.5,1.0,4.9,2.5,1.7,4.2,1.22,0.43,1.64,0.63,1.06
14,Stuttgart,20,24.3,43.0,4,44,360,4.0,3,3,3,0,0,10,1,0.75,0.75,1.5,0.75,1.5,5.3,5.3,5.0,10.3,1.33,1.25,2.57,1.33,2.57
15,Union Berlin,20,27.9,41.5,4,44,360,4.0,11,9,11,0,0,4,0,2.75,2.25,5.0,2.75,5.0,3.1,3.1,2.4,5.5,0.77,0.6,1.37,0.77,1.37
16,Werder Bremen,19,27.6,50.5,4,44,360,4.0,10,7,9,1,1,8,0,2.5,1.75,4.25,2.25,4.0,4.3,3.5,2.8,6.3,1.08,0.69,1.77,0.88,1.58
17,Wolfsburg,21,25.5,55.8,4,44,360,4.0,2,1,2,0,0,7,0,0.5,0.25,0.75,0.5,0.75,3.7,3.7,3.1,6.8,0.91,0.79,1.7,0.91,1.7
