,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Alavés,3,38,38,3420,38.0,31,0.82,110,86,77.3,23,7,8,16,42.1,7,6,1,0,14.3
1,vs Athletic Club,2,38,38,3420,38.0,43,1.13,149,111,73.2,11,13,14,14,36.8,7,3,4,0,57.1
2,vs Atlético Madrid,1,38,38,3420,38.0,65,1.71,150,89,59.3,9,8,21,7,18.4,5,4,1,0,20.0
3,vs Barcelona,2,38,38,3420,38.0,68,1.79,178,115,65.2,7,10,21,8,21.1,7,6,1,0,14.3
4,vs Betis,2,38,38,3420,38.0,62,1.63,181,125,69.1,11,8,19,11,28.9,6,6,0,0,0.0
5,vs Cádiz,1,38,38,3420,38.0,35,0.92,120,87,73.3,15,15,8,13,34.2,6,3,3,0,50.0
6,vs Celta Vigo,1,38,38,3420,38.0,43,1.13,135,92,70.4,16,10,12,15,39.5,6,3,3,0,50.0
7,vs Elche,2,38,38,3420,38.0,40,1.05,106,65,63.2,18,9,11,12,31.6,1,1,0,0,0.0
8,vs Espanyol,3,38,38,3420,38.0,40,1.05,129,92,72.9,16,12,10,10,26.3,5,5,0,0,0.0
9,vs Getafe,2,38,38,3420,38.0,33,0.87,111,83,73.0,15,15,8,18,47.4,5,3,2,0,40.0
10,vs Granada,2,38,38,3420,38.0,44,1.16,131,90,68.7,16,14,8,13,34.2,5,3,0,2,0.0
11,vs Levante,4,38,38,3420,38.0,51,1.34,144,100,70.1,19,11,8,12,31.6,13,8,4,1,33.3
12,vs Mallorca,4,38,38,3420,38.0,36,0.95,129,100,76.7,19,9,10,15,39.5,7,6,1,0,14.3
13,vs Osasuna,2,38,38,3420,38.0,37,0.97,114,81,72.8,15,11,12,15,39.5,8,6,2,0,25.0
14,vs Rayo Vallecano,2,38,38,3420,38.0,39,1.03,134,99,73.9,18,9,11,14,36.8,4,4,0,0,0.0
15,vs Real Madrid,2,38,38,3420,38.0,80,2.11,240,165,70.0,4,8,26,8,21.1,12,8,3,1,27.3
16,vs Real Sociedad,2,38,38,3420,38.0,40,1.05,142,109,78.2,10,11,17,11,28.9,10,9,1,0,10.0
17,vs Sevilla,3,38,38,3417,38.0,53,1.4,141,91,63.8,4,16,18,7,18.4,3,2,1,0,33.3
18,vs Valencia,3,38,38,3420,38.0,48,1.26,127,89,68.5,12,15,11,8,21.1,9,8,1,0,11.1
19,vs Villarreal,2,38,38,3420,38.0,63,1.66,164,106,64.6,11,11,16,11,28.9,6,5,1,0,16.7
