,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Alavés,33,38.0,93,4,3,613,513,72,497,544,351,6,9,0,3367,1040,819,55.9
1,Athletic Club,26,38.0,90,4,3,567,566,88,532,496,372,5,3,1,3390,697,702,49.8
2,Atlético Madrid,26,38.0,111,7,3,534,610,85,485,496,394,4,8,2,3213,665,633,51.2
3,Barcelona,38,38.0,97,5,3,555,624,99,577,464,414,6,3,0,3026,531,482,52.4
4,Betis,31,38.0,87,6,1,548,564,71,371,510,428,4,3,2,3070,601,627,48.9
5,Cádiz,33,38.0,105,3,3,576,506,69,577,596,456,5,12,0,3221,714,786,47.6
6,Celta Vigo,25,38.0,87,3,1,576,545,83,523,569,495,3,7,2,3419,712,810,46.8
7,Elche,28,38.0,104,6,1,593,530,74,443,519,347,1,10,0,2905,571,624,47.8
8,Espanyol,34,38.0,99,7,3,516,600,69,369,524,380,3,5,1,2769,540,669,44.7
9,Getafe,31,38.0,121,8,1,631,535,53,361,606,388,1,4,1,3184,871,888,49.5
10,Granada,32,38.0,105,4,1,549,523,62,430,490,403,2,8,2,3214,728,906,44.6
11,Levante,31,38.0,109,6,2,631,448,77,415,504,379,6,6,0,3058,535,603,47.0
12,Mallorca,33,38.0,114,7,4,640,621,67,417,530,428,6,6,4,3229,790,802,49.6
13,Osasuna,29,38.0,84,2,1,578,446,66,551,554,373,3,7,2,3441,966,888,52.1
14,Rayo Vallecano,28,38.0,101,3,1,631,594,83,564,589,419,4,8,1,3323,759,784,49.2
15,Real Madrid,31,38.0,76,0,0,460,557,106,483,520,404,10,5,0,2698,444,372,54.4
16,Real Sociedad,32,38.0,77,4,1,546,551,76,409,479,403,8,6,0,3178,842,702,54.5
17,Sevilla,33,38.0,97,4,2,531,523,80,555,470,395,3,4,0,3068,685,638,51.8
18,Valencia,34,38.0,134,8,6,710,640,52,473,587,420,8,7,3,3146,678,726,48.3
19,Villarreal,29,38.0,81,1,1,539,543,91,435,503,338,3,5,1,2930,606,514,54.1
