,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,Alavés,33,38.0,14117,12145,1972,553,9,2464,603,497,139,53,61,4,7214,2205,4698,3557,7577,1044,826,190,9840,66,398,419,439
1,Athletic Club,26,38.0,17286,15277,2009,565,25,2511,558,532,224,51,98,6,10745,2459,4082,3971,10746,857,879,312,13152,78,431,579,454
2,Atlético Madrid,26,38.0,19178,17241,1937,543,33,2689,636,485,201,68,82,5,12560,2642,3976,4944,11832,760,829,288,15299,78,354,592,432
3,Barcelona,38,38.0,24990,23179,1811,567,63,2949,740,577,219,64,79,11,19206,2411,3373,6029,17032,603,710,249,21651,87,280,566,414
4,Betis,31,38.0,19369,17505,1864,591,30,2581,579,371,173,50,77,7,13423,2289,3657,7782,9452,732,749,238,15791,63,339,524,421
5,Cádiz,33,38.0,14378,12496,1882,511,22,2167,644,577,181,76,64,6,8134,2049,4195,3008,8974,764,794,202,10322,61,391,458,424
6,Celta Vigo,25,38.0,20502,18573,1929,500,31,2759,602,523,167,70,61,11,13735,2614,4153,6300,11610,847,898,237,16190,75,367,600,495
7,Elche,28,38.0,16808,14862,1946,592,15,2343,549,443,155,63,69,3,10817,2233,3758,6156,8498,645,765,286,13104,69,344,503,457
8,Espanyol,34,38.0,16808,14961,1847,597,22,2609,520,369,172,65,66,2,11277,2100,3431,4602,10209,636,654,305,13438,63,278,444,412
9,Getafe,31,38.0,14531,12600,1931,586,14,2424,575,361,136,58,57,9,7928,2065,4538,4017,7770,960,838,179,10436,47,320,378,421
10,Granada,32,38.0,14840,12873,1967,541,19,2526,526,430,159,70,58,3,8352,2175,4313,3738,8626,767,789,253,10770,52,384,413,410
11,Levante,31,38.0,16411,14573,1838,479,22,2422,570,415,168,55,75,7,10334,2465,3612,2880,11411,713,767,241,12715,74,360,520,449
12,Mallorca,33,38.0,15002,13064,1938,582,18,2530,443,417,158,59,36,10,9007,1984,4011,3917,8654,792,785,232,11176,63,322,434,422
13,Osasuna,29,38.0,16434,14445,1989,477,14,2875,672,551,179,60,91,12,9033,2543,4858,4885,8525,1078,933,189,12020,60,419,526,476
14,Rayo Vallecano,28,38.0,16832,14802,2030,564,16,2787,625,564,190,70,74,14,10347,2408,4077,4577,9744,795,905,268,12871,73,361,514,446
15,Real Madrid,31,38.0,24527,22816,1711,498,40,2767,807,483,218,79,49,12,19129,2409,2989,7202,15603,476,635,330,21520,95,282,539,431
16,Real Sociedad,32,38.0,19188,17287,1901,545,36,2990,463,409,187,76,75,8,13295,2380,3513,7151,9602,729,827,212,15531,67,362,520,481
17,Sevilla,33,38.0,22140,20246,1894,530,25,2692,961,555,175,10,125,4,15422,2548,4170,6372,13379,805,845,242,18459,70,382,536,395
18,Valencia,34,38.0,13630,11587,2043,669,14,2104,638,473,174,71,63,10,7280,2211,4139,3787,7495,810,808,222,9730,47,367,391,419
19,Villarreal,29,38.0,20390,18514,1876,585,44,3009,584,435,199,88,45,7,14863,2264,3263,6992,11287,656,737,297,16875,82,300,592,481
