,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Alavés,33,38.0,15557,19866,78.3,307656,106252,6438,7349,87.6,6333,7486,84.6,2457,4240,57.9,48,41.4,6.6,371,1112,348,82,1353
1,vs Athletic Club,26,38.0,14845,18885,78.6,308243,100871,5728,6531,87.7,6163,7213,85.4,2671,4443,60.1,26,26.2,-0.2,320,969,261,95,1086
2,vs Atlético Madrid,26,38.0,15026,18718,80.3,302088,95075,5913,6713,88.1,6422,7353,87.3,2444,3998,61.1,28,19.2,8.8,245,1035,207,51,1089
3,vs Barcelona,38,38.0,10575,13876,76.2,215396,82855,4269,4917,86.8,4226,5017,84.2,1836,3267,56.2,27,24.6,2.4,264,692,214,66,803
4,vs Betis,31,38.0,13157,16906,77.8,261096,92155,5386,6173,87.3,5445,6461,84.3,2053,3586,57.3,29,28.8,0.2,294,965,263,82,1109
5,vs Cádiz,33,38.0,16839,20612,81.7,329946,113270,6880,7707,89.3,7200,8250,87.3,2464,3933,62.6,31,32.4,-1.4,353,1453,349,86,1523
6,vs Celta Vigo,25,38.0,12600,16619,75.8,254095,94875,5067,5980,84.7,5100,6139,83.1,2123,3678,57.7,29,30.0,-1.0,289,928,251,69,1065
7,vs Elche,28,38.0,14481,18195,79.6,289680,97267,5719,6469,88.4,6129,7109,86.2,2351,3926,59.9,41,41.0,0.0,362,1107,330,101,1293
8,vs Espanyol,34,38.0,15640,19219,81.4,305846,102017,6383,7177,88.9,6641,7672,86.6,2303,3667,62.8,39,35.9,3.1,364,1237,392,97,1439
9,vs Getafe,31,38.0,16901,21103,80.1,342564,105454,6468,7359,87.9,7348,8417,87.3,2811,4570,61.5,30,26.5,3.5,291,1092,292,89,1209
10,vs Granada,32,38.0,14813,18811,78.7,295072,101641,5986,6840,87.5,6177,7234,85.4,2368,3977,59.5,46,42.0,4.0,411,1142,359,110,1257
11,vs Levante,31,38.0,14834,18570,79.9,291058,97606,6158,6914,89.1,6159,7143,86.2,2244,3864,58.1,59,41.2,17.8,385,1060,321,91,1217
12,vs Mallorca,33,38.0,14517,18404,78.9,288877,95667,5729,6610,86.7,6218,7246,85.8,2291,3855,59.4,40,31.2,8.8,324,1051,325,99,1142
13,vs Osasuna,29,38.0,14869,19090,77.9,293367,96592,6039,6922,87.2,6171,7240,85.2,2350,4199,56.0,37,30.7,6.3,327,1050,264,80,1060
14,vs Rayo Vallecano,28,38.0,13060,17172,76.1,262025,100056,5256,6105,86.1,5444,6484,84.0,2087,3816,54.7,33,32.0,1.0,301,1028,288,62,1166
15,vs Real Madrid,31,38.0,13382,16458,81.3,262821,91815,5669,6331,89.5,5478,6232,87.9,1991,3296,60.4,20,33.5,-13.5,316,984,252,73,1023
16,vs Real Sociedad,32,38.0,12465,16254,76.7,249512,85753,4976,5734,86.8,5127,6093,84.1,2065,3711,55.6,28,27.6,0.4,310,904,260,69,976
17,vs Sevilla,33,38.0,11450,15066,76.0,228701,82609,4643,5393,86.1,4688,5642,83.1,1845,3383,54.5,19,24.2,-5.2,287,872,247,62,929
18,vs Valencia,34,38.0,13862,17860,77.6,273183,98983,5846,6646,88.0,5492,6588,83.4,2229,3899,57.2,34,31.6,2.4,313,1027,285,71,1177
19,vs Villarreal,29,38.0,12017,15677,76.7,243581,81593,4766,5482,86.9,4950,5846,84.7,2045,3724,54.9,20,29.3,-9.3,293,900,236,85,892
