,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Alavés,33,38.0,9840,14117,69.7,216678,89729,3706,4627,80.1,4004,5111,78.3,1981,3828,51.8,20,22.7,-2.7,247,804,202,80,839
1,Athletic Club,26,38.0,13152,17286,76.1,257574,96881,5319,6227,85.4,5606,6784,82.6,1958,3569,54.9,34,35.8,-1.8,340,1049,313,89,1346
2,Atlético Madrid,26,38.0,15299,19178,79.8,290201,97041,6717,7547,89.0,6008,6997,85.9,2187,3823,57.2,45,38.0,7.0,343,1107,336,75,1250
3,Barcelona,38,38.0,21651,24990,86.6,409263,119379,9129,9928,92.0,9205,10174,90.5,2939,4088,71.9,52,44.4,7.6,398,1729,409,91,1669
4,Betis,31,38.0,15791,19369,81.5,304811,100328,6603,7377,89.5,6502,7426,87.6,2314,3762,61.5,45,37.9,7.1,393,1116,313,50,1242
5,Cádiz,33,38.0,10322,14378,71.8,220452,81646,3937,4674,84.2,4177,5143,81.2,2024,3960,51.1,21,25.5,-4.5,273,795,236,107,855
6,Celta Vigo,25,38.0,16190,20502,79.0,321110,97852,6524,7473,87.3,6670,7799,85.5,2631,4353,60.4,29,28.0,1.0,274,1035,302,89,1160
7,Elche,28,38.0,13104,16808,78.0,266195,95272,5147,5894,87.3,5489,6381,86.0,2210,3844,57.5,29,28.0,1.0,256,822,214,79,936
8,Espanyol,34,38.0,13438,16808,80.0,260145,89395,5564,6215,89.5,5657,6491,87.2,1941,3452,56.2,25,26.1,-1.1,295,962,219,64,934
9,Getafe,31,38.0,10436,14531,71.8,218231,84822,4186,5006,83.6,4061,5084,79.9,1953,3799,51.4,26,19.7,6.3,282,759,173,63,834
10,Granada,32,38.0,10770,14840,72.6,223774,84883,4137,4901,84.4,4474,5466,81.9,1930,3824,50.5,28,25.8,2.2,285,826,204,82,916
11,Levante,31,38.0,12715,16411,77.5,252303,90463,5091,5809,87.6,5367,6317,85.0,2002,3582,55.9,34,31.0,3.0,305,912,256,67,1146
12,Mallorca,33,38.0,11176,15002,74.5,220176,85080,4690,5478,85.6,4416,5446,81.1,1784,3379,52.8,23,25.1,-2.1,292,781,235,62,981
13,Osasuna,29,38.0,12020,16434,73.1,255228,100297,4534,5512,82.3,5082,6298,80.7,2180,3966,55.0,23,23.2,-0.2,285,1045,290,104,1138
14,Rayo Vallecano,28,38.0,12871,16832,76.5,267015,96814,4956,5729,86.5,5397,6408,84.2,2294,4045,56.7,28,31.5,-3.5,354,1018,277,106,1152
15,Real Madrid,31,38.0,21520,24527,87.7,398590,114406,9719,10464,92.9,8422,9190,91.6,2914,3987,73.1,59,51.3,7.7,521,1589,479,71,1569
16,Real Sociedad,32,38.0,15531,19188,80.9,299144,98799,6351,7203,88.2,6717,7735,86.8,2183,3527,61.9,22,31.3,-9.3,308,1021,332,75,1203
17,Sevilla,33,38.0,18459,22140,83.4,376620,108546,7008,7700,91.0,8106,9073,89.3,3056,4669,65.5,40,32.9,7.1,331,1152,310,101,1180
18,Valencia,34,38.0,9730,13630,71.4,209623,81559,3697,4475,82.6,3839,4844,79.3,1971,3744,52.6,30,24.3,5.7,281,859,266,79,1011
19,Villarreal,29,38.0,16875,20390,82.8,337674,109214,6304,7113,88.6,7712,8698,88.7,2576,3831,67.2,51,46.9,4.1,357,1227,378,86,1447
