,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Alavés,33,27.6,38,3420,90,100,38.0,418,82,247,167,20,234,2.0,,,,,58.4,36.9,21.4,0.56
1,vs Athletic Club,26,27.6,38,3420,90,100,38.0,418,81,237,180,21,255,1.21,,,,,38.2,50.1,-12.0,-0.32
2,vs Atlético Madrid,26,27.6,38,3420,90,100,38.0,418,79,244,170,26,249,0.92,,,,,33.7,52.8,-19.1,-0.5
3,vs Barcelona,38,27.7,38,3420,90,100,38.0,418,82,254,159,20,249,0.82,,,,,36.0,62.1,-26.1,-0.69
4,vs Betis,31,27.4,38,3420,90,100,38.0,418,82,251,161,21,245,1.08,,,,,44.3,55.2,-10.9,-0.29
5,vs Cádiz,33,27.6,38,3420,90,100,38.0,418,81,246,172,22,251,1.58,,,,,52.8,41.4,11.4,0.3
6,vs Celta Vigo,25,27.4,38,3420,90,100,38.0,418,82,261,155,21,241,1.53,,,,,46.6,43.8,2.8,0.07
7,vs Elche,28,27.4,38,3420,90,100,38.0,418,80,236,179,22,241,1.66,,,,,61.0,34.8,26.2,0.69
8,vs Espanyol,34,27.5,38,3420,90,100,38.0,418,81,234,181,21,252,1.58,,,,,52.1,37.8,14.3,0.38
9,vs Getafe,31,27.8,38,3420,90,100,38.0,418,83,259,153,19,252,1.58,,,,,39.1,29.5,9.6,0.25
10,vs Granada,32,27.6,38,3420,90,100,38.0,418,80,241,175,22,231,1.63,,,,,61.4,41.3,20.2,0.53
11,vs Levante,31,27.4,38,3420,90,100,38.0,418,81,237,180,21,245,1.79,,,,,56.1,56.5,-0.3,-0.01
12,vs Mallorca,33,27.7,38,3420,90,100,38.0,418,82,237,178,20,246,1.74,,,,,48.2,40.1,8.1,0.21
13,vs Osasuna,29,27.6,38,3420,90,100,38.0,418,83,242,175,17,243,1.47,,,,,45.2,37.2,8.0,0.21
14,vs Rayo Vallecano,28,27.6,38,3420,90,100,38.0,418,81,238,178,20,245,1.66,,,,,46.7,45.4,1.3,0.03
15,vs Real Madrid,31,27.6,38,3420,90,100,38.0,418,83,256,163,19,246,0.53,,,,,46.8,74.4,-27.6,-0.73
16,vs Real Sociedad,32,27.7,38,3420,90,100,38.0,418,81,235,179,19,262,1.08,,,,,39.7,53.8,-14.1,-0.37
17,vs Sevilla,33,27.8,38,3420,90,100,38.0,418,79,238,179,25,255,0.74,,,,,38.5,43.5,-5.0,-0.13
18,vs Valencia,34,27.8,38,3420,90,100,38.0,418,81,235,179,20,243,1.34,,,,,47.3,39.2,8.0,0.21
19,vs Villarreal,29,27.6,38,3420,90,100,38.0,418,81,235,183,21,254,1.16,,,,,46.5,62.6,-16.1,-0.42
