,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Alavés,33,27.9,38,3420,90,100,38.0,418,82,247,167,20,277,0.82,31,65,-34,-0.89,36.9,58.4,-21.4,-0.56
1,Athletic Club,26,26.9,38,3420,90,100,38.0,418,81,237,180,21,209,1.45,43,36,7,0.18,50.1,38.2,12.0,0.32
2,Atlético Madrid,26,28.1,38,3420,90,100,38.0,418,79,244,170,26,159,1.87,65,43,22,0.58,52.8,33.7,19.1,0.5
3,Barcelona,38,26.2,38,3420,90,100,38.0,418,82,254,159,20,264,1.92,68,38,30,0.79,62.1,36.0,26.1,0.69
4,Betis,31,28.9,38,3420,90,100,38.0,418,82,251,161,21,266,1.71,62,40,22,0.58,55.2,44.3,10.9,0.29
5,Cádiz,33,28.5,38,3420,90,100,38.0,418,81,246,172,22,270,1.03,35,51,-16,-0.42,41.4,52.8,-11.4,-0.3
6,Celta Vigo,25,28.4,38,3420,90,100,38.0,418,82,261,155,21,222,1.21,43,43,0,0.0,43.8,46.6,-2.8,-0.07
7,Elche,28,29.1,38,3420,90,100,38.0,418,80,236,179,22,255,1.11,40,52,-12,-0.32,34.8,61.0,-26.2,-0.69
8,Espanyol,34,27.6,38,3420,90,100,38.0,418,81,234,181,21,269,1.11,40,53,-13,-0.34,37.8,52.1,-14.3,-0.38
9,Getafe,31,26.6,38,3420,90,100,38.0,418,83,259,153,19,251,1.03,33,41,-8,-0.21,29.5,39.1,-9.6,-0.25
10,Granada,32,28.1,38,3420,90,100,38.0,418,80,241,175,22,243,1.0,44,61,-17,-0.45,41.3,61.4,-20.2,-0.53
11,Levante,31,28.0,38,3420,90,100,38.0,418,81,237,180,21,261,0.92,51,76,-25,-0.66,56.5,56.1,0.3,0.01
12,Mallorca,33,27.9,38,3420,90,100,38.0,418,82,237,178,20,273,1.03,36,63,-27,-0.71,40.1,48.2,-8.1,-0.21
13,Osasuna,29,27.7,38,3420,90,100,38.0,418,83,242,175,17,269,1.24,37,51,-14,-0.37,37.2,45.2,-8.0,-0.21
14,Rayo Vallecano,28,27.5,38,3420,90,100,38.0,418,81,238,178,20,224,1.11,39,50,-11,-0.29,45.4,46.7,-1.3,-0.03
15,Real Madrid,31,27.7,38,3420,90,100,38.0,418,83,256,163,19,248,2.26,80,31,49,1.29,74.4,46.8,27.6,0.73
16,Real Sociedad,32,25.7,38,3420,90,100,38.0,418,81,235,179,19,237,1.63,40,37,3,0.08,53.8,39.7,14.1,0.37
17,Sevilla,33,28.6,38,3420,90,100,38.0,418,79,238,179,25,262,1.84,53,30,23,0.61,43.5,38.5,5.0,0.13
18,Valencia,34,24.8,38,3420,90,100,38.0,418,81,235,179,20,246,1.26,48,53,-5,-0.13,39.2,47.3,-8.0,-0.21
19,Villarreal,29,28.0,38,3420,90,100,38.0,418,81,235,183,21,234,1.55,63,37,26,0.68,62.6,46.5,16.1,0.42
