,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Almería,1,3.0,4,0,0,1,0,4.6,0.26,0.6,0.2,12,27,44.4,78,19,28.2,32.0,13,38.5,42.8,11,1,9.1,3,1.0,18.9
1,vs Athletic Club,1,3.0,5,0,0,0,0,1.8,0.12,-3.2,-1.06,21,47,44.7,63,13,46.0,40.4,19,94.7,64.8,28,2,7.1,3,1.0,14.0
2,vs Atlético Madrid,1,3.0,4,0,0,0,0,3.9,0.23,-0.1,-0.03,18,34,52.9,74,10,39.2,38.3,12,41.7,39.8,29,1,3.4,0,0.0,10.1
3,vs Barcelona,1,3.0,8,0,0,0,0,7.5,0.39,-0.5,-0.18,10,53,18.9,73,12,47.9,41.5,30,60.0,54.5,27,3,11.1,3,1.0,14.6
4,vs Betis,1,3.0,6,2,0,0,0,6.2,0.44,0.2,0.06,25,50,50.0,72,11,47.2,39.3,26,61.5,47.2,17,2,11.8,2,0.67,17.6
5,vs Cádiz,1,3.0,0,0,0,0,0,0.1,0.01,0.1,0.03,16,39,41.0,46,4,45.7,42.2,20,90.0,61.6,24,2,8.3,1,0.33,10.6
6,vs Celta Vigo,1,3.0,4,1,0,0,0,3.3,0.24,-0.7,-0.24,16,39,41.0,91,12,34.1,35.3,14,57.1,50.4,31,3,9.7,4,1.33,19.6
7,vs Elche,1,3.0,1,0,0,0,0,1.7,0.17,0.7,0.22,14,33,42.4,84,12,31.0,31.2,21,33.3,32.7,26,1,3.8,1,0.33,11.5
8,vs Espanyol,1,3.0,3,1,0,0,0,2.7,0.38,-0.3,-0.09,13,51,25.5,91,19,40.7,38.4,27,51.9,43.6,40,3,7.5,0,0.0,11.2
9,vs Getafe,1,3.0,1,0,0,0,0,1.0,0.2,0.0,-0.01,10,25,40.0,74,18,21.6,30.8,28,32.1,36.5,30,1,3.3,2,0.67,13.4
10,vs Girona,1,3.0,3,0,0,0,1,2.8,0.25,-0.2,-0.08,15,54,27.8,79,9,49.4,43.1,19,78.9,54.5,23,1,4.3,3,1.0,14.4
11,vs Mallorca,1,3.0,3,0,0,0,0,2.4,0.18,-0.6,-0.21,11,34,32.4,63,19,34.9,35.6,16,75.0,57.6,18,2,11.1,2,0.67,13.4
12,vs Osasuna,1,3.0,4,3,0,0,0,4.2,0.22,0.2,0.06,20,46,43.5,89,11,34.8,35.8,25,60.0,51.6,40,4,10.0,3,1.0,14.7
13,vs Rayo Vallecano,1,3.0,2,0,0,1,0,2.5,0.41,0.5,0.16,17,34,50.0,94,12,26.6,32.7,22,40.9,41.6,34,1,2.9,2,0.67,13.8
14,vs Real Madrid,1,3.0,8,1,2,0,0,9.2,0.28,1.2,0.4,17,40,42.5,65,8,50.8,41.8,16,43.8,37.9,27,0,0.0,4,1.34,16.3
15,vs Real Sociedad,1,3.0,3,0,0,0,0,3.6,0.22,0.6,0.19,20,42,47.6,76,13,43.4,37.2,15,60.0,48.8,20,2,10.0,3,1.0,15.0
16,vs Sevilla,1,3.0,3,0,0,0,0,3.2,0.29,0.2,0.08,25,65,38.5,89,16,50.6,45.6,27,74.1,55.8,47,2,4.3,4,1.33,14.2
17,vs Valencia,1,3.0,1,1,0,0,0,1.0,0.05,0.0,0.01,9,25,36.0,56,14,32.1,35.4,14,50.0,49.1,19,1,5.3,1,0.33,11.5
18,vs Valladolid,2,3.0,1,0,0,0,0,2.0,0.19,1.0,0.34,13,29,44.8,79,10,26.6,31.9,22,36.4,41.5,15,3,20.0,2,0.67,15.4
19,vs Villarreal,1,3.0,5,0,0,1,0,5.1,0.34,0.1,0.04,16,40,40.0,56,10,42.9,39.8,25,64.0,49.9,13,2,15.4,4,1.33,17.8
