,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Almería,1,3.0,4,0,1,0,0,4.8,0.22,0.8,0.28,17,39,43.6,71,16,40.8,39.7,30,33.3,30.8,45,2,4.4,1,0.33,12.9
1,Athletic Club,1,3.0,0,0,0,0,0,0.7,0.14,0.7,0.23,4,20,20.0,34,13,32.4,37.7,12,75.0,58.4,21,2,9.5,2,0.67,15.1
2,Atlético Madrid,1,3.0,2,0,0,1,0,2.1,0.29,0.1,0.02,6,19,31.6,39,9,33.3,35.1,23,26.1,35.1,17,2,11.8,3,1.0,19.1
3,Barcelona,1,3.0,1,0,0,0,0,2.4,0.27,1.4,0.47,17,27,63.0,113,13,21.2,28.8,16,18.8,31.3,15,2,13.3,1,0.33,16.8
4,Betis,1,3.0,1,0,0,0,0,1.6,0.14,0.6,0.19,19,47,40.4,80,10,43.8,37.0,16,75.0,57.8,26,3,11.5,1,0.33,13.3
5,Cádiz,1,3.0,7,2,0,0,0,4.0,0.15,-3.0,-1.0,11,30,36.7,41,8,51.2,41.3,15,60.0,54.4,23,1,4.3,3,1.0,13.1
6,Celta Vigo,1,3.0,6,2,0,0,0,6.1,0.34,0.1,0.04,14,47,29.8,77,11,45.5,38.5,23,52.2,42.0,21,2,9.5,2,0.67,13.4
7,Elche,1,3.0,5,0,0,1,0,5.2,0.27,0.2,0.06,21,42,50.0,69,12,47.8,39.8,13,69.2,45.7,18,2,11.1,1,0.33,12.3
8,Espanyol,1,3.0,6,0,1,1,0,5.2,0.4,-0.8,-0.27,21,47,44.7,62,7,62.9,46.5,15,53.3,45.4,23,1,4.3,4,1.34,15.9
9,Getafe,1,3.0,6,0,0,0,1,5.5,0.3,-0.5,-0.17,26,62,41.9,63,9,71.4,53.1,17,100.0,65.2,24,1,4.2,1,0.33,15.3
10,Girona,1,3.0,3,1,0,0,0,3.1,0.22,0.1,0.02,11,23,47.8,99,18,20.2,30.6,13,23.1,30.8,22,0,0.0,4,1.33,15.3
11,Mallorca,1,3.0,2,2,0,0,0,3.5,0.25,1.5,0.5,35,68,51.5,74,12,54.1,45.3,34,82.4,62.1,48,3,6.3,3,1.0,13.7
12,Osasuna,1,3.0,2,0,0,0,0,1.7,0.25,-0.3,-0.09,20,61,32.8,68,11,60.3,48.4,27,74.1,52.3,23,2,8.7,3,1.0,15.5
13,Rayo Vallecano,1,3.0,2,0,0,0,0,1.7,0.17,-0.3,-0.11,14,59,23.7,79,17,49.4,42.9,32,62.5,55.8,34,2,5.9,1,0.33,11.8
14,Real Madrid,1,3.0,3,1,0,0,0,2.9,0.22,-0.1,-0.04,10,30,33.3,99,23,22.2,31.1,14,57.1,54.8,25,4,16.0,2,0.67,20.1
15,Real Sociedad,1,3.0,4,0,0,0,0,3.1,0.24,-0.9,-0.32,14,35,40.0,86,12,25.6,31.3,19,68.4,56.3,29,2,6.9,1,0.33,10.9
16,Sevilla,1,3.0,5,1,0,0,0,5.8,0.41,0.8,0.27,16,32,50.0,94,12,28.7,32.3,16,31.3,32.8,20,3,15.0,4,1.33,16.3
17,Valencia,1,3.0,2,0,0,0,0,0.6,0.06,-1.4,-0.48,6,22,27.3,59,9,28.8,31.8,7,71.4,52.9,18,0,0.0,3,1.0,15.0
18,Valladolid,2,3.0,8,0,0,0,0,6.8,0.49,-1.2,-0.41,20,62,32.3,83,10,42.2,39.2,40,67.5,52.0,34,2,5.9,7,2.33,16.6
19,Villarreal,1,3.0,0,0,0,0,0,2.1,0.17,2.1,0.71,16,35,45.7,102,20,22.5,31.5,29,41.4,43.6,33,1,3.0,0,0.0,10.4
