,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Almería,20,3.0,37,23,17,14,6,12,26,46.2,14,341,115,33.7,81,134,126,42,8,0,34,45,82,27,0
1,vs Athletic Club,22,3.0,37,28,24,8,5,12,31,38.7,19,249,59,23.7,97,101,51,30,11,0,19,41,78,42,0
2,vs Atlético Madrid,18,3.0,23,17,12,7,4,11,20,55.0,9,202,47,23.3,56,101,45,39,8,0,31,26,49,57,0
3,vs Barcelona,19,3.0,64,40,41,19,4,28,58,48.3,30,445,108,24.3,138,232,75,60,21,1,39,37,101,51,0
4,vs Betis,20,3.0,46,24,21,20,5,23,58,39.7,35,373,79,21.2,136,172,65,32,7,0,25,49,95,47,2
5,vs Cádiz,19,3.0,34,34,10,16,8,14,30,46.7,16,223,65,29.1,68,96,59,29,8,0,21,24,58,59,1
6,vs Celta Vigo,17,3.0,56,29,23,25,8,19,40,47.5,21,470,130,27.7,128,225,117,39,10,0,29,43,99,43,0
7,vs Elche,22,3.0,59,38,30,18,11,23,45,51.1,22,436,129,29.6,132,195,109,41,11,1,30,25,84,54,0
8,vs Espanyol,18,3.0,40,22,15,22,3,12,32,37.5,20,332,91,27.4,98,184,50,44,13,0,31,31,71,76,1
9,vs Getafe,17,3.0,45,32,20,19,6,19,29,65.5,10,272,82,30.1,76,144,52,21,3,0,18,14,59,64,1
10,vs Girona,19,3.0,49,29,21,22,6,16,43,37.2,27,392,112,28.6,118,175,99,29,8,0,21,40,89,52,1
11,vs Mallorca,17,3.0,38,27,12,22,4,10,37,27.0,27,350,107,30.6,89,172,89,33,10,0,23,24,62,49,2
12,vs Osasuna,19,3.0,33,21,16,14,3,13,35,37.1,22,313,85,27.2,108,137,68,29,9,0,20,30,63,102,0
13,vs Rayo Vallecano,19,3.0,44,27,16,20,8,9,26,34.6,17,312,91,29.2,81,147,84,44,11,0,33,38,82,53,0
14,vs Real Madrid,20,3.0,52,29,35,16,1,21,51,41.2,30,479,106,22.1,201,167,111,63,25,0,38,34,86,66,0
15,vs Real Sociedad,20,3.0,61,45,31,18,12,15,25,60.0,10,346,105,30.3,121,141,84,48,10,0,38,41,102,52,1
16,vs Sevilla,22,3.0,38,25,17,14,7,11,27,40.7,16,410,89,21.7,101,216,93,41,12,0,29,28,66,63,1
17,vs Valencia,20,3.0,26,26,15,8,3,18,44,40.9,26,272,75,27.6,86,112,74,36,13,0,23,24,50,37,0
18,vs Valladolid,21,3.0,54,39,17,30,7,15,39,38.5,24,369,113,30.6,82,171,116,37,3,1,34,27,81,30,0
19,vs Villarreal,17,3.0,58,45,32,20,6,24,56,42.9,32,374,107,28.6,125,154,95,47,16,0,31,36,94,46,1
