,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,Almería,20,3.0,33,24,15,12,6,7,30,23.3,23,455,83,18.2,155,212,88,51,17,0,34,36,69,74,0
1,Athletic Club,22,3.0,31,35,16,12,3,19,41,46.3,22,264,75,28.4,74,120,70,23,7,0,16,24,55,46,1
2,Atlético Madrid,18,3.0,37,38,21,11,5,18,29,62.1,11,279,67,24.0,80,134,65,28,12,0,16,16,53,37,1
3,Barcelona,19,3.0,53,37,17,23,13,11,32,34.4,21,385,115,29.9,83,173,129,43,4,1,39,25,78,27,0
4,Betis,20,3.0,37,22,18,12,7,12,38,31.6,26,411,122,29.7,130,175,106,34,6,1,28,33,70,63,0
5,Cádiz,19,3.0,39,32,22,9,8,17,25,68.0,8,239,72,30.1,90,99,50,38,10,0,28,32,71,66,1
6,Celta Vigo,17,3.0,53,30,23,27,3,21,65,32.3,44,453,127,28.0,127,222,104,43,12,0,31,40,93,53,1
7,Elche,22,3.0,55,36,30,18,7,12,30,40.0,18,385,124,32.2,133,145,107,39,13,0,26,47,102,44,2
8,Espanyol,18,3.0,53,25,24,21,8,15,27,55.6,12,414,109,26.3,111,193,110,43,12,0,31,45,98,50,0
9,Getafe,17,3.0,49,32,21,19,9,21,38,55.3,17,365,96,26.3,106,170,89,44,10,0,34,16,65,68,1
10,Girona,19,3.0,46,23,20,21,5,19,41,46.3,22,341,108,31.7,97,150,94,35,13,0,22,25,71,43,1
11,Mallorca,17,3.0,52,30,29,22,1,21,49,42.9,28,345,85,24.6,150,157,38,59,19,0,40,44,96,82,0
12,Osasuna,19,3.0,37,20,13,19,5,18,36,50.0,18,347,76,21.9,90,173,84,29,11,0,18,38,75,61,0
13,Rayo Vallecano,19,3.0,48,31,20,23,5,13,32,40.6,19,347,90,25.9,96,188,63,44,16,1,28,32,80,64,1
14,Real Madrid,20,3.0,32,23,16,13,3,12,29,41.4,17,346,90,26.0,101,151,94,46,12,0,34,35,67,33,0
15,Real Sociedad,20,3.0,71,46,38,25,8,31,59,52.5,28,458,118,25.8,133,217,108,42,12,0,30,21,92,59,1
16,Sevilla,22,3.0,31,24,10,17,4,11,22,50.0,11,235,82,34.9,54,113,68,28,4,0,24,27,58,49,0
17,Valencia,20,3.0,34,25,16,11,7,9,30,30.0,21,268,78,29.1,85,109,74,20,5,0,15,40,74,29,0
18,Valladolid,21,3.0,68,44,43,18,7,23,62,37.1,39,356,107,30.1,146,149,61,58,17,0,41,56,124,67,1
19,Villarreal,17,3.0,35,23,13,19,3,15,37,40.5,22,267,71,26.6,81,126,60,37,5,0,32,25,60,55,0
