,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,vs Almería,20,3.0,91,30.33,76,6,2,2,5,0,7,2.33,5,0,0,1,1,0
1,vs Athletic Club,22,3.0,21,7.0,19,0,2,0,0,0,0,0.0,0,0,0,0,0,0
2,vs Atlético Madrid,18,3.0,38,12.67,23,5,2,4,3,1,2,0.67,1,0,1,0,0,0
3,vs Barcelona,19,3.0,34,11.33,23,3,1,3,1,3,1,0.33,0,0,0,0,0,1
4,vs Betis,20,3.0,49,16.33,26,10,5,3,5,0,2,0.67,2,0,0,0,0,0
5,vs Cádiz,19,3.0,46,15.33,32,5,1,1,5,2,6,2.0,3,0,0,1,2,0
6,vs Celta Vigo,17,3.0,55,18.33,32,5,5,3,7,3,8,2.67,4,0,2,1,1,0
7,vs Elche,22,3.0,60,20.0,35,8,3,6,7,1,7,2.33,4,1,1,0,1,0
8,vs Espanyol,18,3.0,58,19.33,45,6,1,2,4,0,13,4.33,11,1,0,0,1,0
9,vs Getafe,17,3.0,57,19.0,49,3,1,2,1,1,8,2.67,7,0,0,0,0,1
10,vs Girona,19,3.0,49,16.33,31,3,4,5,4,2,3,1.0,2,0,0,1,0,0
11,vs Mallorca,17,3.0,72,24.0,54,10,2,2,4,0,2,0.67,1,0,0,0,1,0
12,vs Osasuna,19,3.0,38,12.67,31,0,3,1,3,0,4,1.33,4,0,0,0,0,0
13,vs Rayo Vallecano,19,3.0,61,20.33,44,5,1,4,3,4,2,0.67,1,0,0,0,0,1
14,vs Real Madrid,20,3.0,57,19.0,44,5,1,5,2,0,4,1.33,2,0,0,2,0,0
15,vs Real Sociedad,20,3.0,57,19.0,42,4,2,3,1,5,8,2.67,8,0,0,0,0,0
16,vs Sevilla,22,3.0,42,14.0,34,2,1,2,3,0,6,2.0,5,0,0,0,1,0
17,vs Valencia,20,3.0,18,6.0,12,3,2,1,0,0,2,0.67,2,0,0,0,0,0
18,vs Valladolid,21,3.0,96,32.0,72,10,7,4,2,1,9,3.0,8,0,0,1,0,0
19,vs Villarreal,17,3.0,51,17.0,38,3,3,3,3,1,0,0.0,0,0,0,0,0,0
