,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Almería,20,3.0,52,17.33,35,6,3,4,4,0,4,1.33,3,1,0,0,0,0
1,Athletic Club,22,3.0,52,17.33,40,8,0,2,2,0,2,0.67,2,0,0,0,0,0
2,Atlético Madrid,18,3.0,39,13.0,34,1,1,2,0,1,6,2.0,5,0,0,0,0,1
3,Barcelona,19,3.0,102,34.0,82,4,7,3,2,4,15,5.0,14,0,0,1,0,0
4,Betis,20,3.0,47,15.67,29,4,3,4,6,1,8,2.67,5,0,1,0,2,0
5,Cádiz,19,3.0,22,7.33,14,1,2,1,2,2,0,0.0,0,0,0,0,0,0
6,Celta Vigo,17,3.0,48,16.0,40,3,1,1,3,0,7,2.33,6,0,0,1,0,0
7,Elche,22,3.0,51,17.0,36,8,1,5,1,0,2,0.67,2,0,0,0,0,0
8,Espanyol,18,3.0,48,16.0,27,5,2,5,5,4,2,0.67,0,0,0,1,1,0
9,Getafe,17,3.0,30,10.0,15,4,1,3,5,2,0,0.0,0,0,0,0,0,0
10,Girona,19,3.0,36,12.0,22,8,2,2,2,0,2,0.67,2,0,0,0,0,0
11,Mallorca,17,3.0,39,13.0,28,4,3,1,2,1,4,1.33,3,0,0,0,0,1
12,Osasuna,19,3.0,60,20.0,38,9,3,2,8,0,7,2.33,3,0,0,1,3,0
13,Rayo Vallecano,19,3.0,45,15.0,35,4,3,1,2,0,4,1.33,3,1,0,0,0,0
14,Real Madrid,20,3.0,109,36.33,85,5,6,5,7,1,15,5.0,9,0,2,2,2,0
15,Real Sociedad,20,3.0,50,16.67,34,6,1,3,3,3,5,1.67,4,0,0,0,0,1
16,Sevilla,22,3.0,74,24.67,60,7,0,2,4,1,4,1.33,4,0,0,0,0,0
17,Valencia,20,3.0,44,14.67,30,2,5,3,3,1,1,0.33,0,0,0,1,0,0
18,Valladolid,21,3.0,42,14.0,35,2,1,2,0,2,2,0.67,2,0,0,0,0,0
19,Villarreal,17,3.0,60,20.0,43,5,4,5,2,1,4,1.33,3,0,1,0,0,0
