,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Almería,1,3,3,270,3.0,4,1.33,23,19,82.6,1,1,1,0,0.0,0,0,0,0,
1,Athletic Club,1,3,3,270,3.0,0,0.0,5,5,100.0,2,1,0,3,100.0,0,0,0,0,
2,Atlético Madrid,1,3,3,270,3.0,2,0.67,7,5,71.4,2,0,1,2,66.7,0,0,0,0,
3,Barcelona,1,3,3,270,3.0,1,0.33,9,8,88.9,2,1,0,2,66.7,0,0,0,0,
4,Betis,1,3,3,270,3.0,1,0.33,11,10,90.9,3,0,0,2,66.7,0,0,0,0,
5,Cádiz,1,3,3,270,3.0,7,2.33,15,11,66.7,0,0,3,0,0.0,3,2,1,0,33.3
6,Celta Vigo,1,3,3,270,3.0,6,2.0,10,6,60.0,1,1,1,1,33.3,3,2,1,0,33.3
7,Elche,1,3,3,270,3.0,5,1.67,19,14,73.7,0,1,2,0,0.0,1,0,1,0,100.0
8,Espanyol,1,3,3,269,3.0,6,2.01,13,6,53.8,0,1,2,0,0.0,0,0,0,0,
9,Getafe,1,3,3,270,3.0,6,2.0,18,13,66.7,0,1,2,1,33.3,0,0,0,0,
10,Girona,1,3,3,270,3.0,3,1.0,10,8,80.0,1,0,2,0,0.0,1,1,0,0,0.0
11,Mallorca,1,3,3,270,3.0,2,0.67,7,6,100.0,1,1,1,2,66.7,2,2,0,0,0.0
12,Osasuna,1,3,3,270,3.0,2,0.67,7,5,71.4,2,0,1,1,33.3,0,0,0,0,
13,Rayo Vallecano,1,3,3,270,3.0,2,0.67,10,7,80.0,1,1,1,2,66.7,0,0,0,0,
14,Real Madrid,1,3,3,270,3.0,3,1.0,11,9,81.8,3,0,0,0,0.0,1,1,0,0,0.0
15,Real Sociedad,1,3,3,270,3.0,4,1.33,13,9,69.2,2,0,1,2,66.7,0,0,0,0,
16,Sevilla,1,3,3,270,3.0,5,1.67,12,8,66.7,0,1,2,0,0.0,1,1,0,0,0.0
17,Valencia,1,3,3,270,3.0,2,0.67,10,8,80.0,1,0,2,1,33.3,0,0,0,0,
18,Valladolid,2,3,3,270,3.0,8,2.67,15,6,46.7,0,1,2,0,0.0,0,0,0,0,
19,Villarreal,1,3,3,270,3.0,0,0.0,13,13,100.0,2,1,0,3,100.0,0,0,0,0,
