,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Real Madrid,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,,3,3,0,0,9,3,6,9,3.0,7.4,3.0,4.4,1.47
1,2,Betis,2,2,0,0,4,0,4,6,3.0,3.4,1.4,2.0,0.99,1,1,0,0,2,1,1,3,3.0,2.2,1.0,1.2,1.19
2,3,Barcelona,2,1,1,0,4,0,4,4,2.0,5.1,1.5,3.6,1.79,1,1,0,0,4,1,3,3,3.0,2.2,0.6,1.6,1.62
3,4,Athletic Club,2,1,1,0,1,0,1,4,2.0,3.1,1.3,1.8,0.89,1,1,0,0,4,0,4,3,3.0,0.0,0.0,0.0,
4,5,Villarreal,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,,3,2,1,0,5,0,5,7,2.33,4.2,2.5,1.6,0.55
5,6,Atlético Madrid,1,0,0,1,0,2,-2,0,0.0,1.3,2.0,-0.7,-0.67,2,2,0,0,4,0,4,6,3.0,1.2,0.6,0.6,0.57
6,7,Osasuna,2,2,0,0,4,1,3,6,3.0,3.9,2.1,1.8,0.9,1,0,0,1,0,1,-1,0,0.0,1.0,0.4,0.5,0.55
7,8,Real Sociedad,1,0,0,1,1,4,-3,0,0.0,0.6,2.2,-1.6,-1.62,2,2,0,0,2,0,2,6,3.0,3.4,1.0,2.4,1.18
8,9,Mallorca,1,0,0,1,1,2,-1,0,0.0,1.0,2.2,-1.2,-1.19,2,1,1,0,2,0,2,4,2.0,0.9,2.5,-1.6,-0.79
9,10,Almería,2,1,0,1,3,3,0,3,1.5,2.7,3.6,-0.9,-0.45,1,0,1,0,1,1,0,1,1.0,0.9,1.1,-0.2,-0.19
10,11,Rayo Vallecano,1,0,0,1,0,2,-2,0,0.0,0.9,0.6,0.3,0.34,2,1,1,0,2,0,2,4,2.0,2.5,3.2,-0.7,-0.35
11,12,Celta Vigo,2,0,1,1,3,6,-3,1,0.5,1.7,4.6,-2.9,-1.45,1,1,0,0,1,0,1,3,3.0,0.7,0.8,-0.1,-0.09
12,13,Girona,2,1,0,1,3,2,1,3,1.5,1.9,1.3,0.5,0.26,1,0,0,1,0,1,-1,0,0.0,0.1,1.7,-1.6,-1.57
13,14,Valencia,2,1,0,1,1,1,0,3,1.5,1.7,0.1,1.6,1.57,1,0,0,1,0,1,-1,0,0.0,0.9,1.5,-0.5,-0.53
14,15,Sevilla,1,0,1,0,1,1,0,1,1.0,2.6,0.8,1.8,1.81,2,0,0,2,2,4,-2,0,0.0,1.9,3.4,-1.5,-0.74
15,16,Espanyol,2,0,0,2,1,5,-4,0,0.0,2.1,3.2,-1.1,-0.54,1,0,1,0,2,2,0,1,1.0,1.2,0.3,0.9,0.87
16,17,Elche,2,0,1,1,1,2,-1,1,0.5,1.8,2.5,-0.7,-0.36,1,0,0,1,0,3,-3,0,0.0,0.4,3.0,-2.5,-2.53
17,18,Getafe,2,0,1,1,0,3,-3,1,0.5,0.9,1.9,-1.0,-0.51,1,0,0,1,1,3,-2,0,0.0,0.7,1.1,-0.4,-0.43
18,19,Valladolid,1,0,0,1,0,3,-3,0,0.0,0.9,1.4,-0.5,-0.52,2,0,1,1,1,5,-4,1,0.5,1.4,5.5,-4.1,-2.07
19,20,Cádiz,2,0,0,2,0,5,-5,0,0.0,0.3,1.7,-1.5,-1.45,1,0,0,1,0,2,-2,0,0.0,1.3,2.6,-1.3,-1.27
