,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Real Madrid,3,3,0,0,9,3,6,9,3.0,7.4,3.0,4.4,1.47,W W W,,Karim Benzema - 3,Thibaut Courtois,
1,2,Betis,3,3,0,0,6,1,5,9,3.0,5.6,2.4,3.2,1.06,W W W,51601.0,Borja Iglesias - 4,Rui Silva,
2,3,Barcelona,3,2,1,0,8,1,7,7,2.33,7.3,2.1,5.2,1.73,D W W,82538.0,Robert Lewandowski - 4,Marc-André ter Stegen,
3,4,Athletic Club,3,2,1,0,5,0,5,7,2.33,3.1,1.3,1.8,0.89,D W W,41540.0,"Álex Berenguer, Gorka Guruzeta - 2",Unai Simón,
4,5,Villarreal,3,2,1,0,5,0,5,7,2.33,4.2,2.5,1.6,0.55,W W D,,Alex Baena - 2,Gerónimo Rulli,
5,6,Atlético Madrid,3,2,0,1,4,2,2,6,2.0,2.5,2.6,-0.1,-0.05,W L W,57033.0,"Álvaro Morata, Antoine Griezmann - 2",Jan Oblak,
6,7,Osasuna,3,2,0,1,4,2,2,6,2.0,4.9,2.5,2.3,0.78,W W L,18562.0,Ezequiel Ávila - 2,Sergio Herrera,
7,8,Real Sociedad,3,2,0,1,3,4,-1,6,2.0,4.0,3.2,0.7,0.24,W L W,36201.0,"Takefusa Kubo, Brais Méndez... - 1",Álex Remiro,
8,9,Mallorca,3,1,1,1,3,2,1,4,1.33,2.0,4.7,-2.8,-0.92,D L W,15579.0,Vedat Muriqi - 2,Predrag Rajković,
9,10,Almería,3,1,1,1,4,4,0,4,1.33,3.5,4.6,-1.1,-0.36,L D W,14087.0,"Largie Ramazani, Umar Sadiq - 2",Fernando,
10,11,Rayo Vallecano,3,1,1,1,2,2,0,4,1.33,3.4,3.7,-0.4,-0.12,D W L,10944.0,"Pathé Ciss, Isaac Palazón Camacho - 1",Stole Dimitrievski,
11,12,Celta Vigo,3,1,1,1,4,6,-2,4,1.33,2.3,5.3,-3.0,-1.0,D L W,14770.0,Iago Aspas - 3,Agustín Marchesín,
12,13,Girona,3,1,0,2,3,3,0,3,1.0,2.0,3.1,-1.1,-0.35,L W L,10895.0,"Cristhian Stuani, Valentín Castellanos - 1",Juan Carlos,
13,14,Valencia,3,1,0,2,1,2,-1,3,1.0,2.6,1.6,1.0,0.52,W L L,41635.0,Carlos Soler - 1,Giorgi Mamardashvili,
14,15,Sevilla,3,0,1,2,3,5,-2,1,0.33,4.5,4.2,0.3,0.11,L D L,33991.0,"Karim Rekik, Rafa Mir... - 1",Yassine Bounou,
15,16,Espanyol,3,0,1,2,3,7,-4,1,0.33,3.3,3.5,-0.2,-0.07,D L L,20925.0,Joselu - 2,Benjamin Lecomte,
16,17,Elche,3,0,1,2,1,5,-4,1,0.33,2.3,5.5,-3.2,-1.08,L D L,23009.0,Álex Collado - 1,Édgar Badía,
17,18,Getafe,3,0,1,2,1,6,-5,1,0.33,1.6,3.0,-1.5,-0.49,L L D,11025.0,Enes Ünal - 1,David Soria,
18,19,Valladolid,3,0,1,2,1,8,-7,1,0.33,2.3,6.9,-4.7,-1.55,L D L,17543.0,Anuar - 1,Sergio Asenjo,
19,20,Cádiz,3,0,0,3,0,7,-7,0,0.0,1.5,4.3,-2.7,-1.36,L L L,16800.0,,Jeremías Ledesma,
