,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,vs Almería,20,3.0,1756,1615,141,52,6,221,70,65,23,9,6,2,1367,154,235,528,1122,19,45,22,1517,13,29,34,34
1,vs Athletic Club,22,3.0,872,770,102,29,0,118,30,39,5,2,2,0,544,123,205,247,511,34,41,19,677,0,16,17,16
2,vs Atlético Madrid,18,3.0,938,851,87,32,0,125,43,50,9,1,4,2,665,97,176,267,567,42,27,13,795,1,17,9,16
3,vs Barcelona,19,3.0,1046,901,145,38,1,138,31,19,7,3,2,0,668,155,223,326,587,38,57,17,794,8,34,25,39
4,vs Betis,20,3.0,1083,927,156,40,1,145,35,32,13,8,5,0,663,129,291,372,550,49,68,21,810,8,35,33,28
5,vs Cádiz,19,3.0,954,853,101,24,4,142,31,54,8,1,3,0,599,112,243,310,500,33,46,16,746,0,15,20,28
6,vs Celta Vigo,17,3.0,1547,1423,124,39,2,216,50,23,7,1,5,0,1101,174,272,420,955,59,52,18,1277,2,18,38,31
7,vs Elche,22,3.0,1542,1396,146,51,2,168,38,29,19,8,6,0,1184,144,214,560,860,27,51,15,1302,9,25,46,27
8,vs Espanyol,18,3.0,1604,1450,154,42,3,157,46,29,12,2,9,0,1159,163,282,383,1059,49,59,20,1348,9,19,41,31
9,vs Getafe,17,3.0,1697,1544,153,47,3,142,50,33,15,8,5,0,1258,168,271,506,1025,59,59,25,1440,6,28,14,33
10,vs Girona,19,3.0,1184,1045,139,44,2,186,35,26,10,3,5,0,789,126,269,327,696,47,58,11,919,3,25,25,22
11,vs Mallorca,17,3.0,1599,1445,154,55,2,128,55,61,15,6,4,1,1146,193,260,447,980,47,62,32,1294,1,33,43,40
12,vs Osasuna,19,3.0,1414,1254,160,49,0,154,55,36,6,1,3,0,946,174,294,503,712,61,73,22,1150,4,37,36,18
13,vs Rayo Vallecano,19,3.0,1462,1310,152,45,2,148,60,48,20,5,7,6,991,161,310,420,843,64,59,21,1185,9,31,27,28
14,vs Real Madrid,20,3.0,1258,1146,112,32,1,179,31,34,11,3,4,1,902,132,224,373,765,46,41,15,1039,3,23,33,34
15,vs Real Sociedad,20,3.0,1346,1177,169,62,1,150,41,31,13,4,2,0,920,162,264,341,839,42,73,19,1087,6,19,19,30
16,vs Sevilla,22,3.0,941,799,142,49,1,92,35,23,12,5,6,0,555,129,257,261,550,30,48,26,678,11,22,25,23
17,vs Valencia,20,3.0,794,686,108,34,1,122,31,30,10,2,6,0,492,115,187,154,518,36,41,17,615,6,17,28,15
18,vs Valladolid,21,3.0,1685,1526,159,28,3,150,66,51,31,15,5,1,1208,181,296,501,1009,48,73,21,1397,4,37,56,41
19,vs Villarreal,17,3.0,1306,1168,138,41,1,113,49,41,10,3,5,0,917,121,268,321,842,48,54,14,1035,8,32,25,33
