,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,vs Almería,20,63.0,3.0,2074,160,504,1017,713,110,1939,20,30,66.7,23,2,1543,8307,4517,198,51,17,48,26,1649,1517,92.0,117
1,vs Athletic Club,22,45.3,3.0,1103,170,422,468,271,39,1002,22,41,53.7,22,0,692,3364,1709,69,20,6,29,12,746,677,90.8,49
2,vs Atlético Madrid,18,54.0,3.0,1189,173,421,584,260,41,1105,10,29,34.5,11,3,724,4168,2184,73,26,6,22,19,860,795,92.4,66
3,vs Barcelona,19,35.0,3.0,1408,256,640,597,249,41,1272,17,32,53.1,21,2,790,3904,2013,77,24,11,45,42,930,794,85.4,45
4,vs Betis,20,40.0,3.0,1368,161,467,634,355,41,1215,24,38,63.2,26,2,774,4300,2039,80,29,5,27,25,952,810,85.1,71
5,vs Cádiz,19,59.7,3.0,1202,121,331,581,371,60,1102,7,25,28.0,8,3,711,3799,1919,87,30,11,20,22,855,746,87.3,68
6,vs Celta Vigo,17,47.3,3.0,1886,220,645,936,403,48,1764,39,65,60.0,44,3,1243,5998,3061,116,27,5,35,32,1447,1277,88.3,81
7,vs Elche,22,57.7,3.0,1890,217,672,927,419,67,1748,17,30,56.7,18,0,1193,5538,3110,115,34,15,41,43,1416,1302,91.9,100
8,vs Espanyol,18,56.3,3.0,1949,248,659,986,420,63,1798,11,27,40.7,12,2,1181,6277,3506,112,39,7,36,38,1532,1348,88.0,102
9,vs Getafe,17,63.3,3.0,1997,202,627,1082,421,47,1851,16,38,42.1,17,3,1384,6657,3713,128,36,7,39,28,1526,1440,94.4,105
10,vs Girona,19,41.7,3.0,1484,174,487,719,382,48,1347,22,41,53.7,22,0,855,4965,2731,108,36,13,26,27,1000,919,91.9,59
11,vs Mallorca,17,60.7,3.0,1919,135,463,925,681,74,1771,23,49,46.9,28,5,1254,6735,3835,149,57,12,40,31,1385,1294,93.4,126
12,vs Osasuna,19,55.0,3.0,1745,238,696,800,367,51,1592,15,36,41.7,18,2,1059,5684,2607,98,40,7,43,19,1307,1150,88.0,84
13,vs Rayo Vallecano,19,52.0,3.0,1805,191,617,832,463,90,1660,16,32,50.0,19,1,1132,6109,3719,115,29,18,33,35,1346,1185,88.0,117
14,vs Real Madrid,20,39.7,3.0,1620,238,608,714,401,70,1508,16,29,55.2,17,2,1008,4947,2781,131,46,16,40,20,1145,1039,90.7,82
15,vs Real Sociedad,20,47.3,3.0,1736,197,587,865,417,50,1574,26,59,44.1,28,4,1088,5961,2909,113,43,10,49,40,1179,1087,92.2,64
16,vs Sevilla,22,34.7,3.0,1238,223,525,531,254,39,1097,10,22,45.5,11,0,700,3974,2078,59,23,9,31,20,811,678,83.6,47
17,vs Valencia,20,40.3,3.0,1007,144,370,443,262,40,901,19,30,63.3,21,6,566,3396,1925,68,21,6,21,25,695,615,88.5,56
18,vs Valladolid,21,59.0,3.0,2012,176,493,927,714,125,1854,38,62,61.3,39,10,1365,7359,4304,160,41,20,39,45,1567,1397,89.2,144
19,vs Villarreal,17,45.7,3.0,1604,181,520,796,376,57,1469,21,37,56.8,22,1,1016,5479,2939,118,40,11,22,20,1124,1035,92.1,75
