,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,Almería,20,37.0,3.0,1384,267,631,595,246,47,1249,12,26,46.2,14,0,757,4089,2348,85,33,14,32,25,953,811,85.1,62
1,Athletic Club,22,54.7,3.0,1109,107,283,480,423,62,1017,16,31,51.6,19,5,643,3864,2334,91,33,8,22,25,734,683,93.1,87
2,Atlético Madrid,18,46.0,3.0,1324,143,423,664,300,44,1227,8,20,40.0,9,0,890,4022,2199,84,26,8,17,12,1012,940,92.9,72
3,Barcelona,19,65.0,3.0,2263,185,574,1128,701,130,2101,28,58,48.3,30,2,1587,9028,5284,205,49,30,37,36,1792,1677,93.6,147
4,Betis,20,60.0,3.0,1899,178,599,933,475,68,1749,31,58,53.4,35,1,1255,5127,2429,102,31,15,40,23,1478,1323,89.5,92
5,Cádiz,19,40.3,3.0,980,145,415,430,210,26,884,15,30,50.0,16,3,482,2477,1188,39,22,4,29,20,602,504,83.7,41
6,Celta Vigo,17,52.7,3.0,1979,181,616,991,493,60,1840,20,40,50.0,21,3,1296,6220,3324,140,47,10,36,37,1521,1370,90.1,94
7,Elche,22,42.3,3.0,1495,172,522,669,424,45,1354,18,45,40.0,22,3,968,5088,2744,95,40,6,53,36,1011,897,88.7,63
8,Espanyol,18,43.7,3.0,1586,149,458,832,383,67,1441,18,32,56.3,20,2,879,4110,2132,94,26,7,34,28,1141,954,83.6,89
9,Getafe,17,36.7,3.0,1341,149,415,695,295,34,1189,9,29,31.0,10,4,691,3710,1682,68,25,3,21,26,789,758,96.1,53
10,Girona,19,58.3,3.0,1885,219,659,950,406,49,1751,26,43,60.5,27,4,1316,6739,3498,123,36,3,42,33,1461,1330,91.0,82
11,Mallorca,17,39.3,3.0,1407,225,578,628,274,41,1261,24,37,64.9,27,1,761,4037,2097,69,23,8,27,28,885,769,86.9,58
12,Osasuna,19,45.0,3.0,1455,158,420,711,429,62,1317,21,35,60.0,22,1,823,4744,2243,94,37,6,27,20,990,874,88.3,82
13,Rayo Vallecano,19,48.0,3.0,1669,230,599,793,389,40,1522,15,26,57.7,17,4,1005,5924,3355,121,43,7,41,35,1189,1057,88.9,84
14,Real Madrid,20,60.3,3.0,2208,234,636,1013,713,112,2067,25,51,49.0,30,2,1511,8340,4681,192,49,19,33,31,1774,1654,93.2,124
15,Real Sociedad,20,52.7,3.0,1780,206,595,859,461,74,1650,8,25,32.0,10,4,1129,5994,3356,127,40,22,48,46,1274,1157,90.8,88
16,Sevilla,22,65.3,3.0,1967,200,629,937,517,79,1822,15,27,55.6,16,5,1395,7004,3511,123,35,9,49,27,1587,1424,89.7,116
17,Valencia,20,59.7,3.0,1162,143,376,528,332,48,1069,26,44,59.1,26,0,775,4202,2307,92,26,10,28,8,859,783,91.2,61
18,Valladolid,21,41.0,3.0,1541,288,719,614,296,37,1390,23,39,59.0,24,0,904,4787,2453,86,31,9,35,39,1034,882,85.3,50
19,Villarreal,17,54.3,3.0,1802,246,607,914,432,76,1669,31,56,55.4,32,7,1211,7415,4434,144,40,14,35,34,1386,1258,90.8,113
