,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Almería,20,3.0,4,55,23,41.8,18.33,7.67,0.07,0.17,17.4,3,0,0,4.6,4.6,0.09,-0.6,-0.6
1,vs Athletic Club,22,3.0,0,25,5,20.0,8.33,1.67,0.0,0.0,15.6,0,0,0,1.3,1.3,0.05,-1.3,-1.3
2,vs Atlético Madrid,18,3.0,2,42,7,16.7,14.0,2.33,0.05,0.29,17.0,1,0,0,2.6,2.6,0.06,-0.6,-0.6
3,vs Barcelona,19,3.0,1,23,9,39.1,7.67,3.0,0.04,0.11,19.0,1,0,0,2.1,2.1,0.09,-1.1,-1.1
4,vs Betis,20,3.0,1,30,11,36.7,10.0,3.67,0.03,0.09,16.3,2,0,0,2.4,2.4,0.08,-1.4,-1.4
5,vs Cádiz,19,3.0,7,49,16,32.7,16.33,5.33,0.1,0.31,18.1,0,2,3,4.3,2.7,0.06,2.7,2.3
6,vs Celta Vigo,17,3.0,6,35,10,28.6,11.67,3.33,0.11,0.4,20.7,2,2,3,5.3,3.1,0.09,0.7,0.9
7,vs Elche,22,3.0,5,38,19,50.0,12.67,6.33,0.13,0.26,16.7,3,0,1,5.5,4.7,0.13,-0.5,0.3
8,vs Espanyol,18,3.0,7,35,13,37.1,11.67,4.33,0.2,0.54,17.4,2,0,0,3.5,3.5,0.1,3.5,3.5
9,vs Getafe,17,3.0,5,36,18,50.0,12.0,6.0,0.14,0.28,18.6,1,0,0,3.0,3.0,0.09,2.0,2.0
10,vs Girona,19,3.0,3,34,10,29.4,11.33,3.33,0.06,0.2,19.0,3,1,1,3.1,2.3,0.07,-0.1,-0.3
11,vs Mallorca,17,3.0,2,44,7,15.9,14.67,2.33,0.0,0.0,18.0,1,2,2,4.7,3.2,0.07,-2.7,-3.2
12,vs Osasuna,19,3.0,2,25,7,28.0,8.33,2.33,0.08,0.29,17.8,3,0,0,2.5,2.5,0.1,-0.5,-0.5
13,vs Rayo Vallecano,19,3.0,2,43,10,23.3,14.33,3.33,0.05,0.2,16.7,3,0,0,3.7,3.7,0.09,-1.7,-1.7
14,vs Real Madrid,20,3.0,3,39,11,28.2,13.0,3.67,0.05,0.18,18.6,1,1,1,3.0,2.2,0.06,0.0,-0.2
15,vs Real Sociedad,20,3.0,4,35,13,37.1,11.67,4.33,0.11,0.31,16.8,0,0,0,3.2,3.2,0.09,0.8,0.8
16,vs Sevilla,22,3.0,5,28,12,42.9,9.33,4.0,0.14,0.33,19.6,1,1,1,4.2,3.4,0.12,0.8,0.6
17,vs Valencia,20,3.0,2,30,10,33.3,10.0,3.33,0.07,0.2,19.4,0,0,0,1.6,1.6,0.05,0.4,0.4
18,vs Valladolid,21,3.0,8,56,15,26.8,18.67,5.0,0.14,0.53,14.0,2,0,0,6.9,6.9,0.13,1.1,1.1
19,vs Villarreal,17,3.0,0,33,13,39.4,11.0,4.33,0.0,0.0,19.7,1,0,0,2.5,2.5,0.08,-2.5,-2.5
