,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Almería,20,3.0,4,34,18,52.9,11.33,6.0,0.12,0.22,16.7,2,0,0,3.5,3.5,0.1,0.5,0.5
1,Athletic Club,22,3.0,5,55,16,29.1,18.33,5.33,0.09,0.31,17.8,0,0,1,3.1,3.1,0.06,1.9,1.9
2,Atlético Madrid,18,3.0,4,38,17,44.7,12.67,5.67,0.11,0.24,18.6,1,0,0,2.5,2.5,0.07,1.5,1.5
3,Barcelona,19,3.0,8,61,21,34.4,20.33,7.0,0.13,0.38,14.8,2,0,0,7.3,7.3,0.12,0.7,0.7
4,Betis,20,3.0,6,30,10,33.3,10.0,3.33,0.13,0.4,16.6,3,2,2,5.6,4.0,0.14,0.4,0.0
5,Cádiz,19,3.0,0,26,6,23.1,8.67,2.0,0.0,0.0,17.8,1,0,0,1.5,1.5,0.06,-1.5,-1.5
6,Celta Vigo,17,3.0,4,33,10,30.3,11.0,3.33,0.09,0.3,19.3,1,1,1,2.3,1.6,0.05,1.7,1.4
7,Elche,22,3.0,1,30,10,33.3,10.0,3.33,0.03,0.1,16.7,0,0,0,2.3,2.3,0.08,-1.3,-1.3
8,Espanyol,18,3.0,3,37,6,16.2,12.33,2.0,0.05,0.33,19.6,4,1,1,3.3,2.5,0.07,-0.3,-0.5
9,Getafe,17,3.0,1,25,5,20.0,8.33,1.67,0.04,0.2,18.8,2,0,0,1.6,1.6,0.07,-0.6,-0.6
10,Girona,19,3.0,2,29,11,37.9,9.67,3.67,0.07,0.18,20.0,0,0,0,2.0,2.0,0.07,0.0,0.0
11,Mallorca,17,3.0,3,28,13,46.4,9.33,4.33,0.11,0.23,16.8,2,0,0,2.0,2.0,0.07,1.0,1.0
12,Osasuna,19,3.0,4,37,7,18.9,12.33,2.33,0.03,0.14,19.4,0,3,3,4.9,2.5,0.07,-0.9,-1.5
13,Rayo Vallecano,19,3.0,2,28,6,21.4,9.33,2.0,0.07,0.33,18.5,2,0,0,3.4,3.4,0.12,-1.4,-1.4
14,Real Madrid,20,3.0,9,63,27,42.9,21.0,9.0,0.13,0.3,17.4,2,1,2,7.4,5.9,0.1,1.6,2.1
15,Real Sociedad,20,3.0,3,33,16,48.5,11.0,5.33,0.09,0.19,18.5,1,0,1,4.0,3.2,0.1,-1.0,-0.2
16,Sevilla,22,3.0,3,43,11,25.6,14.33,3.67,0.07,0.27,15.5,4,0,0,4.5,4.5,0.11,-1.5,-1.5
17,Valencia,20,3.0,1,38,3,7.9,12.67,1.0,0.0,0.0,18.7,3,1,1,2.6,1.9,0.05,-1.6,-1.9
18,Valladolid,21,3.0,1,26,11,42.3,8.67,3.67,0.04,0.09,20.6,0,0,0,2.3,2.3,0.09,-1.3,-1.3
19,Villarreal,17,3.0,5,41,15,36.6,13.67,5.0,0.12,0.33,16.2,0,0,0,4.2,4.2,0.1,0.8,0.8
