,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Almería,20,28.9,63.0,3,33,270,3.0,4,3,4,0,0,10,0,1.33,1.0,2.33,1.33,2.33,4.6,4.6,3.3,7.9,1.54,1.09,2.63,1.54,2.63
1,vs Athletic Club,22,27.4,45.3,3,33,270,3.0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.0,2.3,0.43,0.32,0.75,0.43,0.75
2,vs Atlético Madrid,18,26.6,54.0,3,33,270,3.0,2,1,2,0,0,9,0,0.67,0.33,1.0,0.67,1.0,2.6,2.6,2.0,4.6,0.87,0.65,1.52,0.87,1.52
3,vs Barcelona,19,27.7,35.0,3,33,270,3.0,1,0,1,0,0,11,0,0.33,0.0,0.33,0.33,0.33,2.1,2.1,1.2,3.3,0.69,0.4,1.1,0.69,1.1
4,vs Betis,20,28.6,40.0,3,33,270,3.0,1,1,1,0,0,16,1,0.33,0.33,0.67,0.33,0.67,2.4,2.4,1.7,4.1,0.81,0.55,1.36,0.81,1.36
5,vs Cádiz,19,27.2,59.7,3,33,270,3.0,7,4,5,2,3,5,0,2.33,1.33,3.67,1.67,3.0,4.3,2.7,1.8,4.5,1.42,0.61,2.03,0.91,1.51
6,vs Celta Vigo,17,27.3,47.3,3,33,270,3.0,6,3,4,2,3,6,0,2.0,1.0,3.0,1.33,2.33,5.3,3.1,2.4,5.5,1.78,0.81,2.58,1.03,1.83
7,vs Elche,22,26.3,57.7,3,33,270,3.0,5,4,5,0,1,10,1,1.67,1.33,3.0,1.67,3.0,5.5,4.7,2.9,7.6,1.83,0.95,2.79,1.57,2.52
8,vs Espanyol,18,28.3,56.3,3,33,270,3.0,7,6,7,0,0,10,1,2.33,2.0,4.33,2.33,4.33,3.5,3.5,3.3,6.8,1.17,1.1,2.28,1.17,2.28
9,vs Getafe,17,28.2,63.3,3,33,270,3.0,5,4,5,0,0,8,0,1.67,1.33,3.0,1.67,3.0,3.0,3.0,2.8,5.8,1.02,0.92,1.93,1.02,1.93
10,vs Girona,19,26.3,41.7,3,33,270,3.0,3,1,2,1,1,9,2,1.0,0.33,1.33,0.67,1.0,3.1,2.3,1.2,3.5,1.02,0.4,1.42,0.77,1.17
11,vs Mallorca,17,28.3,60.7,3,33,270,3.0,2,0,0,2,2,9,0,0.67,0.0,0.67,0.0,0.0,4.7,3.2,2.7,5.8,1.58,0.89,2.46,1.05,1.94
12,vs Osasuna,19,29.3,55.0,3,33,270,3.0,2,2,2,0,0,8,2,0.67,0.67,1.33,0.67,1.33,2.5,2.5,1.4,4.0,0.84,0.47,1.32,0.84,1.32
13,vs Rayo Vallecano,19,27.5,52.0,3,33,270,3.0,2,1,2,0,0,8,2,0.67,0.33,1.0,0.67,1.0,3.7,3.7,2.2,5.9,1.24,0.72,1.97,1.24,1.97
14,vs Real Madrid,20,27.0,39.7,3,33,270,3.0,3,1,2,1,1,5,1,1.0,0.33,1.33,0.67,1.0,3.0,2.2,1.7,3.9,0.99,0.55,1.54,0.74,1.29
15,vs Real Sociedad,20,27.4,47.3,3,33,270,3.0,4,3,4,0,0,8,0,1.33,1.0,2.33,1.33,2.33,3.2,3.2,2.2,5.5,1.08,0.74,1.82,1.08,1.82
16,vs Sevilla,22,27.4,34.7,3,33,270,3.0,5,3,4,1,1,12,1,1.67,1.0,2.67,1.33,2.33,4.2,3.4,2.0,5.4,1.4,0.67,2.07,1.14,1.81
17,vs Valencia,20,27.4,40.3,3,33,270,3.0,2,2,2,0,0,11,0,0.67,0.67,1.33,0.67,1.33,1.6,1.6,1.3,2.9,0.53,0.45,0.98,0.53,0.98
18,vs Valladolid,21,27.5,59.0,3,33,270,3.0,8,5,8,0,0,3,1,2.67,1.67,4.33,2.67,4.33,6.9,6.9,4.8,11.8,2.31,1.61,3.92,2.31,3.92
19,vs Villarreal,17,28.0,45.7,3,33,270,3.0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1.8,4.3,0.84,0.61,1.44,0.84,1.44
