,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,Almería,20,25.6,37.0,3,33,270,3.0,4,3,4,0,0,12,1,1.33,1.0,2.33,1.33,2.33,3.5,3.5,2.2,5.8,1.18,0.74,1.92,1.18,1.92
1,Athletic Club,22,27.3,54.7,3,33,270,3.0,5,4,5,0,1,6,0,1.67,1.33,3.0,1.67,3.0,3.1,3.1,2.7,5.8,1.02,0.9,1.92,1.02,1.92
2,Atlético Madrid,18,28.7,46.0,3,33,270,3.0,4,4,4,0,0,6,1,1.33,1.33,2.67,1.33,2.67,2.5,2.5,2.1,4.6,0.84,0.69,1.53,0.84,1.53
3,Barcelona,19,25.5,65.0,3,33,270,3.0,8,6,8,0,0,4,1,2.67,2.0,4.67,2.67,4.67,7.3,7.3,4.6,11.9,2.43,1.53,3.96,2.43,3.96
4,Betis,20,28.1,60.0,3,33,270,3.0,6,3,4,2,2,11,1,2.0,1.0,3.0,1.33,2.33,5.6,4.0,2.3,6.3,1.87,0.75,2.62,1.34,2.1
5,Cádiz,19,29.2,40.3,3,33,270,3.0,0,0,0,0,0,11,1,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.4,2.0,0.51,0.15,0.66,0.51,0.66
6,Celta Vigo,17,28.3,52.7,3,33,270,3.0,4,3,3,1,1,8,0,1.33,1.0,2.33,1.0,2.0,2.3,1.6,1.4,3.0,0.78,0.46,1.24,0.53,0.98
7,Elche,22,28.7,42.3,3,33,270,3.0,1,1,1,0,0,10,1,0.33,0.33,0.67,0.33,0.67,2.3,2.3,1.7,4.0,0.75,0.58,1.33,0.75,1.33
8,Espanyol,18,27.3,43.7,3,33,270,3.0,3,0,2,1,1,4,2,1.0,0.0,1.0,0.67,0.67,3.3,2.5,1.7,4.2,1.1,0.55,1.65,0.84,1.39
9,Getafe,17,27.2,36.7,3,33,270,3.0,1,0,1,0,0,9,1,0.33,0.0,0.33,0.33,0.33,1.6,1.6,0.6,2.2,0.53,0.2,0.73,0.53,0.73
10,Girona,19,26.6,58.3,3,33,270,3.0,2,1,2,0,0,7,0,0.67,0.33,1.0,0.67,1.0,2.0,2.0,1.6,3.6,0.67,0.52,1.18,0.67,1.18
11,Mallorca,17,28.4,39.3,3,33,270,3.0,3,2,3,0,0,16,0,1.0,0.67,1.67,1.0,1.67,2.0,2.0,1.2,3.1,0.65,0.39,1.04,0.65,1.04
12,Osasuna,19,28.1,45.0,3,33,270,3.0,4,1,1,3,3,10,0,1.33,0.33,1.67,0.33,0.67,4.9,2.5,2.1,4.7,1.62,0.71,2.34,0.85,1.56
13,Rayo Vallecano,19,28.6,48.0,3,33,270,3.0,2,2,2,0,0,12,1,0.67,0.67,1.33,0.67,1.33,3.4,3.4,2.5,5.9,1.12,0.85,1.97,1.12,1.97
14,Real Madrid,20,28.3,60.3,3,33,270,3.0,9,6,8,1,2,3,0,3.0,2.0,5.0,2.67,4.67,7.4,5.9,4.8,10.7,2.47,1.61,4.07,1.98,3.58
15,Real Sociedad,20,25.9,52.7,3,33,270,3.0,3,2,3,0,1,7,0,1.0,0.67,1.67,1.0,1.67,4.0,3.2,2.1,5.2,1.32,0.69,2.01,1.06,1.75
16,Sevilla,22,29.7,65.3,3,33,270,3.0,3,2,3,0,0,14,1,1.0,0.67,1.67,1.0,1.67,4.5,4.5,3.3,7.9,1.51,1.11,2.62,1.51,2.62
17,Valencia,20,23.9,59.7,3,33,270,3.0,1,0,0,1,1,8,1,0.33,0.0,0.33,0.0,0.0,2.6,1.9,1.4,3.3,0.88,0.48,1.35,0.63,1.11
18,Valladolid,21,28.7,41.0,3,33,270,3.0,1,1,1,0,0,6,1,0.33,0.33,0.67,0.33,0.67,2.3,2.3,1.7,4.0,0.76,0.58,1.34,0.76,1.34
19,Villarreal,17,28.6,54.3,3,33,270,3.0,5,3,5,0,0,8,0,1.67,1.0,2.67,1.67,2.67,4.2,4.2,3.1,7.3,1.38,1.03,2.42,1.38,2.42
