,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Angers,3,38.0,55,5,2,10,3,44.2,0.27,-10.8,-0.28,149,428,34.8,768,212,36.8,36.3,304,47.7,41.6,389,34,8.7,20,0.53,13.2
1,Bordeaux,2,38.0,91,7,1,11,3,71.5,0.34,-19.5,-0.51,313,700,44.7,1053,130,46.1,38.7,327,65.7,48.8,312,16,5.1,49,1.29,16.5
2,Brest,1,38.0,57,4,0,10,2,49.0,0.28,-8.0,-0.21,319,671,47.5,874,193,48.5,41.1,327,75.5,56.0,310,21,6.8,24,0.63,14.5
3,Clermont Foot,2,38.0,69,5,0,11,3,54.1,0.32,-14.9,-0.39,155,488,31.8,881,157,38.9,36.1,267,54.3,40.9,271,18,6.6,23,0.61,13.9
4,Lens,2,38.0,48,4,1,3,0,41.5,0.28,-6.5,-0.17,153,377,40.6,758,190,37.2,34.1,278,34.2,32.6,308,26,8.4,29,0.76,14.1
5,Lille,2,38.0,48,6,1,9,2,43.2,0.26,-4.8,-0.13,189,518,36.5,729,151,46.1,38.9,289,63.0,48.1,343,30,8.7,26,0.68,14.9
6,Lorient,2,38.0,63,5,4,5,2,50.7,0.32,-12.3,-0.32,166,546,30.4,648,119,48.6,41.8,310,74.5,55.4,355,13,3.7,12,0.32,13.2
7,Lyon,2,38.0,51,7,1,9,3,48.5,0.25,-2.5,-0.07,187,377,49.6,1050,172,28.4,31.7,253,31.2,33.0,271,14,5.2,26,0.68,15.2
8,Marseille,2,38.0,36,4,0,9,1,36.7,0.32,0.7,0.02,209,459,45.5,1494,179,24.7,29.9,227,39.6,37.7,252,33,13.1,42,1.11,17.0
9,Metz,2,38.0,69,5,1,10,2,64.5,0.35,-4.5,-0.12,271,657,41.2,719,216,52.7,44.2,331,84.0,60.4,320,34,10.6,34,0.9,15.4
10,Monaco,1,38.0,40,8,0,6,3,43.5,0.27,3.5,0.09,197,472,41.7,846,164,37.5,35.9,278,55.8,46.0,275,10,3.6,20,0.53,14.7
11,Montpellier,2,38.0,61,5,2,5,1,59.6,0.27,-1.4,-0.04,219,528,41.5,1046,236,35.1,34.4,349,46.1,40.4,390,34,8.7,21,0.55,13.8
12,Nantes,1,38.0,48,4,0,7,1,46.0,0.27,-2.0,-0.05,220,633,34.8,828,136,48.7,42.9,286,80.4,58.0,289,23,8.0,28,0.74,15.2
13,Nice,2,38.0,36,4,1,1,0,41.3,0.26,5.3,0.14,175,427,41.0,787,168,35.2,33.6,267,56.2,44.2,323,15,4.6,22,0.58,14.2
14,Paris S-G,4,38.0,36,3,0,5,1,37.0,0.25,1.0,0.03,87,159,54.7,791,199,15.7,25.7,239,14.6,22.9,269,14,5.2,34,0.9,15.2
15,Reims,1,38.0,44,5,2,10,1,41.9,0.25,-2.1,-0.06,206,549,37.5,976,205,41.8,38.7,283,49.8,41.4,396,34,8.6,42,1.11,15.8
16,Rennes,3,38.0,40,5,0,5,1,34.4,0.32,-5.6,-0.15,225,503,44.7,981,176,34.6,34.1,224,73.2,53.2,353,22,6.2,31,0.82,14.9
17,Saint-Étienne,3,38.0,73,8,3,8,4,65.9,0.33,-7.1,-0.19,207,607,34.1,877,221,47.0,39.1,290,67.2,50.1,305,27,8.9,48,1.26,15.6
18,Strasbourg,2,38.0,43,4,0,5,1,39.7,0.29,-3.3,-0.09,193,445,43.4,742,144,43.5,37.4,243,50.2,42.8,288,22,7.6,23,0.61,14.4
19,Troyes,2,38.0,53,10,2,9,2,48.4,0.27,-4.6,-0.12,252,612,41.2,975,195,44.5,38.5,323,55.1,42.1,352,25,7.1,21,0.55,13.2
