,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Angers,30,38.0,897,574,424,366,107,321,794,40.4,473,5859,1846,31.5,1777,2728,1354,502,95,4,407,543,1440,582,6
1,vs Bordeaux,39,38.0,709,445,333,287,89,259,636,40.7,377,5633,1754,31.1,1602,2623,1408,562,137,1,425,605,1314,670,12
2,vs Brest,25,38.0,728,453,381,267,80,268,608,44.1,340,5151,1709,33.2,1725,2261,1165,501,108,3,393,577,1305,647,5
3,vs Clermont Foot,28,38.0,781,477,330,330,121,247,623,39.6,376,5862,1662,28.4,1694,2647,1521,527,111,1,416,676,1457,700,12
4,vs Lens,28,38.0,639,414,323,241,75,232,591,39.3,359,5624,1688,30.0,1733,2749,1142,570,137,5,433,660,1299,617,12
5,vs Lille,26,38.0,705,443,344,279,82,257,598,43.0,341,5875,1768,30.1,1947,2632,1296,564,111,0,453,649,1354,646,7
6,vs Lorient,29,38.0,696,420,298,300,98,239,575,41.6,336,5682,1818,32.0,1642,2651,1389,535,124,2,411,577,1273,583,6
7,vs Lyon,30,38.0,811,504,419,302,90,311,829,37.5,518,6913,1997,28.9,2344,3260,1309,532,159,4,373,680,1491,612,5
8,vs Marseille,27,38.0,680,434,352,236,92,224,542,41.3,318,6910,1664,24.1,2302,3156,1452,533,143,0,390,592,1272,574,4
9,vs Metz,36,38.0,721,449,276,349,96,239,606,39.4,367,5097,1679,32.9,1295,2531,1271,491,105,3,386,560,1281,614,6
10,vs Monaco,27,38.0,681,427,329,274,78,251,668,37.6,417,5949,1812,30.5,2146,2707,1096,586,123,3,463,710,1391,797,11
11,vs Montpellier,26,38.0,694,463,294,280,120,235,601,39.1,366,5166,1596,30.9,1559,2214,1393,558,130,3,428,596,1290,689,6
12,vs Nantes,26,38.0,741,414,423,245,73,285,618,46.1,333,5295,1594,30.1,1946,2283,1066,503,109,4,394,560,1301,755,6
13,vs Nice,27,38.0,700,444,351,267,82,254,644,39.4,390,5845,1730,29.6,1949,2641,1255,513,117,2,396,585,1285,691,9
14,vs Paris S-G,36,38.0,803,495,461,250,92,346,878,39.4,532,6898,1751,25.4,2663,2866,1369,501,144,8,357,724,1527,433,9
15,vs Reims,35,38.0,642,384,263,273,106,211,581,36.3,370,5508,1738,31.6,1458,2461,1589,504,97,1,407,590,1232,537,8
16,vs Rennes,28,38.0,591,376,281,247,63,203,511,39.7,308,5488,1515,27.6,1808,2617,1063,582,147,3,435,601,1192,655,12
17,vs Saint-Étienne,39,38.0,823,509,368,340,115,309,740,41.8,431,5658,1702,30.1,1706,2701,1251,534,115,4,419,622,1445,631,5
18,vs Strasbourg,26,38.0,585,347,306,215,64,178,493,36.1,315,5368,1573,29.3,1840,2380,1148,530,109,3,421,602,1187,803,14
19,vs Troyes,35,38.0,672,414,289,283,100,228,578,39.4,350,5469,1676,30.6,1444,2412,1613,515,102,3,413,624,1296,568,3
