,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,Angers,30,38.0,673,421,332,271,70,244,638,38.2,394,5918,1649,27.9,2009,2667,1242,560,108,0,452,613,1286,630,8
1,Bordeaux,39,38.0,728,463,370,270,88,251,701,35.8,450,5718,1720,30.1,1865,2633,1220,524,121,5,403,688,1416,669,14
2,Brest,25,38.0,744,469,381,274,89,240,600,40.0,360,6291,1845,29.3,2063,2961,1267,524,123,5,401,694,1438,759,4
3,Clermont Foot,28,38.0,696,462,329,280,87,263,653,40.3,390,5880,1792,30.5,1792,2774,1314,524,112,1,412,576,1272,515,12
4,Lens,28,38.0,673,414,321,273,79,247,594,41.6,347,5342,1591,29.8,1633,2415,1294,495,112,4,383,666,1339,585,6
5,Lille,26,38.0,704,454,339,279,86,246,607,40.5,361,5317,1671,31.4,1657,2448,1212,539,130,2,409,537,1241,697,8
6,Lorient,29,38.0,781,488,371,330,80,303,784,38.6,481,6400,1870,29.2,2207,3027,1166,536,124,1,412,650,1431,790,9
7,Lyon,30,38.0,731,484,307,313,111,272,646,42.1,374,5768,1766,30.6,1680,2697,1391,543,103,8,440,613,1344,627,9
8,Marseille,27,38.0,619,397,289,256,74,204,513,39.8,309,4787,1530,32.0,1353,2175,1259,423,74,0,349,509,1128,462,6
9,Metz,36,38.0,842,511,437,327,78,278,660,42.1,382,6105,1804,29.5,2260,2837,1008,636,156,4,480,729,1571,797,8
10,Monaco,27,38.0,800,507,329,374,97,294,720,40.8,426,6391,2019,31.6,1665,3049,1677,477,118,2,359,666,1466,600,8
11,Montpellier,26,38.0,696,406,380,227,89,256,692,37.0,436,5422,1557,28.7,2003,2216,1203,521,147,2,374,608,1304,670,11
12,Nantes,26,38.0,777,460,385,281,111,287,705,40.7,418,6222,1693,27.2,2091,2788,1343,541,142,6,399,606,1383,643,4
13,Nice,27,38.0,703,419,339,280,84,259,565,45.8,306,5274,1613,30.6,1534,2477,1263,566,135,5,431,609,1312,615,4
14,Paris S-G,36,38.0,640,408,256,259,125,253,611,41.4,358,5067,1462,28.9,1417,2059,1591,410,115,0,295,488,1128,434,11
15,Reims,35,38.0,687,433,353,264,70,226,592,38.2,366,5975,1736,29.1,2123,2713,1139,639,165,5,474,719,1406,772,7
16,Rennes,28,38.0,586,333,243,227,116,218,572,38.1,354,5458,1597,29.3,1463,2415,1580,532,109,1,423,496,1082,672,10
17,Saint-Étienne,39,38.0,771,481,366,318,87,234,607,38.6,373,6211,1992,32.1,1951,2852,1408,550,104,3,446,609,1380,620,11
18,Strasbourg,26,38.0,753,456,353,276,124,281,625,45.0,344,5758,1673,29.1,1753,2519,1486,543,109,0,434,618,1371,633,5
19,Troyes,35,38.0,695,420,365,252,78,241,629,38.3,388,5946,1692,28.5,2061,2798,1087,560,116,3,444,639,1334,614,3
