,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Angers,30,38.0,609,16.03,409,66,42,26,43,23,64,1.68,35,6,4,8,10,1
1,Bordeaux,39,38.0,675,17.76,482,66,37,37,28,25,76,2.0,51,10,6,4,3,2
2,Brest,25,38.0,648,17.05,455,77,32,34,35,15,73,1.92,44,8,5,8,7,1
3,Clermont Foot,28,38.0,671,17.66,475,68,50,32,28,18,58,1.53,40,6,3,5,3,1
4,Lens,28,38.0,817,21.5,626,55,39,43,30,24,96,2.53,73,2,4,9,6,2
5,Lille,26,38.0,724,19.05,517,72,44,39,33,19,68,1.79,42,6,6,6,7,1
6,Lorient,29,38.0,687,18.08,480,60,31,38,45,33,51,1.34,30,2,6,4,6,3
7,Lyon,30,38.0,908,23.89,679,62,60,50,35,22,106,2.79,77,4,5,11,8,1
8,Marseille,27,38.0,835,21.97,607,76,40,45,50,17,105,2.76,70,6,6,8,12,3
9,Metz,36,38.0,570,15.0,391,60,33,31,32,23,49,1.29,34,3,3,4,5,0
10,Monaco,27,38.0,723,19.03,524,71,40,29,40,19,105,2.76,89,2,4,4,6,0
11,Montpellier,26,38.0,642,16.89,442,49,39,31,56,25,75,1.97,49,4,6,6,6,4
12,Nantes,26,38.0,660,17.37,444,79,41,39,34,23,84,2.21,56,6,6,6,6,4
13,Nice,27,38.0,732,19.26,532,68,43,36,33,20,91,2.39,69,3,3,7,9,0
14,Paris S-G,36,38.0,932,24.53,695,53,72,49,43,20,146,3.84,105,5,18,10,6,2
15,Reims,35,38.0,632,16.63,439,54,58,25,34,22,66,1.74,39,7,6,6,7,1
16,Rennes,28,38.0,878,23.11,627,98,31,62,38,22,142,3.74,113,7,5,9,7,1
17,Saint-Étienne,39,38.0,679,17.87,462,70,50,35,40,22,55,1.45,31,8,3,5,6,2
18,Strasbourg,26,38.0,706,18.58,516,71,26,42,36,15,87,2.29,65,4,3,9,6,0
19,Troyes,35,38.0,582,15.32,400,62,33,35,37,15,50,1.32,30,4,2,7,6,1
