,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Angers,3,38,38,3420,38.0,44,1.16,122,90,71.3,17,11,10,11,28.9,9,9,0,0,0.0
1,vs Bordeaux,2,38,38,3420,38.0,52,1.37,148,100,66.2,19,13,6,12,31.6,4,2,2,0,50.0
2,vs Brest,1,38,38,3417,38.0,49,1.29,139,96,69.8,16,9,13,7,18.4,8,7,1,0,12.5
3,vs Clermont Foot,2,38,38,3420,38.0,38,1.0,132,98,72.7,20,9,9,12,31.6,3,2,1,0,33.3
4,vs Lens,2,38,38,3420,38.0,62,1.63,183,127,68.9,10,11,17,8,21.1,5,5,0,0,0.0
5,vs Lille,2,38,38,3420,38.0,48,1.26,148,107,70.3,11,13,14,9,23.7,5,4,1,0,20.0
6,vs Lorient,2,38,38,3420,38.0,35,0.92,146,115,78.1,18,12,8,13,34.2,3,3,0,0,0.0
7,vs Lyon,2,38,38,3420,38.0,66,1.74,193,136,69.9,10,11,17,5,13.2,8,8,0,0,0.0
8,vs Marseille,2,38,38,3420,38.0,59,1.55,159,106,69.2,9,8,21,8,21.1,10,10,0,0,0.0
9,vs Metz,2,38,38,3420,38.0,35,0.92,111,77,69.4,19,13,6,16,42.1,1,1,0,0,0.0
10,vs Monaco,1,38,38,3417,38.0,65,1.71,152,99,63.2,9,9,20,10,26.3,9,9,0,0,0.0
11,vs Montpellier,2,38,38,3420,38.0,49,1.29,151,106,69.5,19,7,12,12,31.6,4,3,1,0,25.0
12,vs Nantes,1,38,38,3415,38.0,55,1.45,144,95,65.3,13,10,15,10,26.3,5,5,0,0,0.0
13,vs Nice,2,38,38,3420,38.0,52,1.37,142,97,69.0,11,7,20,13,34.2,11,8,1,2,11.1
14,vs Paris S-G,4,38,38,3420,38.0,90,2.37,202,121,58.9,4,8,26,5,13.2,8,7,1,0,12.5
15,vs Reims,1,38,38,3420,38.0,43,1.13,139,100,71.9,14,13,11,13,34.2,7,4,3,0,42.9
16,vs Rennes,3,38,38,3420,38.0,82,2.16,193,114,59.6,12,6,20,5,13.2,4,4,0,0,0.0
17,vs Saint-Étienne,3,38,38,3418,38.0,40,1.05,145,107,75.9,20,11,7,9,23.7,5,5,0,0,0.0
18,vs Strasbourg,2,38,38,3420,38.0,60,1.58,151,99,64.2,9,12,17,7,18.4,8,6,1,1,14.3
19,vs Troyes,2,38,38,3420,38.0,37,0.97,120,91,74.2,18,11,9,9,23.7,7,6,1,0,14.3
