,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Paris S-G,38,26,8,4,90,36,54,86,2.26,76.5,38.6,37.9,1.0,41589,Kylian Mbappé - 28,Keylor Navas,→ Europa League via league finish
1,2,Marseille,38,21,8,9,63,38,25,71,1.87,59.2,40.0,19.1,0.5,51755,Dimitri Payet - 12,Pau López,→ Europa Conference League via league finish
2,3,Monaco,38,20,9,9,65,40,25,69,1.82,58.0,42.0,16.0,0.42,5877,Wissam Ben Yedder - 25,Alexander Nübel,
3,4,Rennes,38,20,6,12,82,40,42,66,1.74,62.3,40.7,21.6,0.57,25493,Martin Terrier - 21,Alfred Gomis,
4,5,Nice,38,20,7,11,52,36,16,66,1.74,57.0,45.2,11.8,0.31,16055,Andy Delort - 16,Walter Benítez,1-point deduction 1
5,6,Strasbourg,38,17,12,9,60,43,17,63,1.66,59.3,42.6,16.8,0.44,23555,Ludovic Ajorque - 12,Matz Sels,
6,7,Lens,38,17,11,10,62,48,14,62,1.63,52.8,42.4,10.4,0.27,28950,Arnaud Kalimuendo - 12,Jean-Louis Leca,
7,8,Lyon,38,17,11,10,66,51,15,61,1.61,70.4,54.5,15.9,0.42,32329,Moussa Dembélé - 21,Anthony Lopes,1-point deduction 2
8,9,Nantes,38,15,10,13,55,48,7,55,1.45,43.9,55.4,-11.5,-0.3,20803,Randal Kolo Muani - 12,Alban Lafont,→ Europa League via cup win
9,10,Lille,38,14,13,11,48,48,0,55,1.45,52.4,40.4,12.1,0.32,34346,Jonathan David - 15,Ivo Grbić,
10,11,Brest,38,13,9,16,49,57,-8,48,1.26,45.2,59.2,-13.9,-0.37,11804,Franck Honorat - 11,Marco Bizot,
11,12,Reims,38,11,13,14,43,44,-1,46,1.21,38.7,49.1,-10.4,-0.27,11071,Hugo Ekitike - 10,Predrag Rajković,
12,13,Montpellier,38,12,7,19,49,61,-12,43,1.13,43.7,58.7,-15.0,-0.39,10711,Sepe Elye Wahi - 10,Jonas Omlin,
13,14,Angers,38,10,11,17,44,55,-11,41,1.08,44.8,49.0,-4.2,-0.11,7758,Sofiane Boufal - 8,Danijel Petković,
14,15,Troyes,38,9,11,18,37,53,-16,38,1.0,39.4,50.9,-11.4,-0.3,9491,"Xavier Chavalerin, Ike Ugbo - 5",Gauthier Gallon,
15,16,Lorient,38,8,12,18,35,63,-28,36,0.95,43.8,52.1,-8.3,-0.22,12738,Terem Moffi - 8,Paul Nardi,
16,17,Clermont Foot,38,9,9,20,38,69,-31,36,0.95,44.9,53.0,-8.2,-0.21,10569,Mohamed Bayo - 14,Ouparine Djoco,
17,18,Saint-Étienne,38,7,11,20,42,77,-35,32,0.84,41.0,61.2,-20.2,-0.53,21806,Wahbi Khazri - 10,Paul Bernardoni,→ French 1/2 Relegation/Promotion Playoff
18,19,Metz,38,6,13,19,35,69,-34,31,0.82,30.2,63.8,-33.6,-0.88,14876,Nicolas de Préville - 5,Alexandre Oukidja,Relegated
19,20,Bordeaux,38,6,13,19,52,91,-39,31,0.82,44.8,69.6,-24.9,-0.65,22141,Hwang Ui-jo - 11,Benoît Costil,Relegated 3
