,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Angers,30,38.0,15582,18821,82.8,308653,100282,5769,6480,89.0,7153,8011,89.3,2333,3615,64.5,25,26.6,-1.6,276,928,204,63,1096
1,Bordeaux,39,38.0,13715,17364,79.0,282087,97589,5198,5984,86.9,5893,6888,85.6,2391,3860,61.9,39,30.8,8.2,315,891,249,59,1085
2,Brest,25,38.0,12847,16456,78.1,263297,96493,5079,5888,86.3,5184,6163,84.1,2298,3697,62.2,32,29.1,2.9,307,981,267,86,1098
3,Clermont Foot,28,38.0,15832,19483,81.3,297058,99162,6930,7818,88.6,6431,7425,86.6,2168,3539,61.3,25,32.6,-7.6,319,958,268,103,1140
4,Lens,28,38.0,16828,20240,83.1,317329,101584,6971,7839,88.9,7434,8396,88.5,2114,3311,63.8,39,37.6,1.4,380,1172,306,73,1428
5,Lille,26,38.0,15249,18915,80.6,295592,95776,6383,7239,88.2,6230,7155,87.1,2315,3716,62.3,29,34.0,-5.0,342,1082,292,69,1239
6,Lorient,29,38.0,13253,16754,79.1,265244,88381,5162,5924,87.1,5673,6600,86.0,2156,3568,60.4,20,30.6,-10.6,311,906,214,81,1075
7,Lyon,30,38.0,19992,23323,85.7,374630,115869,8399,9266,90.6,8446,9317,90.7,2687,3862,69.6,45,49.3,-4.3,411,1339,346,74,1513
8,Marseille,27,38.0,21391,24481,87.4,408961,113435,8680,9412,92.2,9574,10408,92.0,2831,3974,71.2,40,40.3,-0.3,373,1508,362,80,1439
9,Metz,36,38.0,12177,15602,78.0,247283,84382,4621,5344,86.5,5437,6315,86.1,1897,3339,56.8,24,20.0,4.0,264,737,136,63,807
10,Monaco,27,38.0,16483,20499,80.4,324154,105804,6445,7313,88.1,7427,8576,86.6,2377,3891,61.1,45,40.8,4.2,343,1310,393,80,1597
11,Montpellier,26,38.0,14114,17827,79.2,273584,97662,5832,6633,87.9,5777,6733,85.8,2143,3656,58.6,31,27.9,3.1,281,918,255,78,1132
12,Nantes,26,38.0,12794,16546,77.3,256334,90833,5127,5895,87.0,5354,6391,83.8,2082,3617,57.6,37,32.1,4.9,318,1015,222,87,1046
13,Nice,27,38.0,16278,19757,82.4,313765,100525,6408,7211,88.9,7436,8402,88.5,2179,3471,62.8,35,39.9,-4.9,345,1106,287,105,1217
14,Paris S-G,36,38.0,24022,26684,90.0,422837,119770,11124,11973,92.9,9879,10625,93.0,2527,3223,78.4,65,55.0,10.0,424,1757,426,64,1579
15,Reims,35,38.0,12246,15787,77.6,244803,85357,4778,5559,86.0,5265,6192,85.0,1951,3358,58.1,27,26.4,0.6,302,791,245,73,979
16,Rennes,28,38.0,17844,21284,83.8,368057,109964,6409,7240,88.5,8023,9021,88.9,3170,4386,72.3,61,45.1,15.9,415,1179,380,109,1390
17,Saint-Étienne,39,38.0,14080,17857,78.8,272810,87666,5822,6654,87.5,5757,6751,85.3,2116,3626,58.4,25,27.2,-2.2,312,937,217,68,1058
18,Strasbourg,26,38.0,14824,18657,79.5,298305,100785,5706,6511,87.6,6385,7397,86.3,2431,4024,60.4,40,39.1,0.9,335,1121,359,110,1360
19,Troyes,35,38.0,13247,16777,79.0,257710,92655,5621,6382,88.1,5383,6338,84.9,1983,3383,58.6,23,24.8,-1.8,270,890,244,92,1024
