,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,vs Angers,30,51.3,38.0,24463,2244,7506,12600,5930,768,22687,360,642,56.1,394,28,16385,82397,46056,1903,497,123,498,429,18668,16537,88.6,1204
1,vs Bordeaux,39,52.7,38.0,23762,2326,7520,12106,5775,877,21959,420,703,59.7,450,27,15850,81980,46616,1806,541,162,481,477,18081,15678,86.7,1374
2,vs Brest,25,56.2,38.0,25879,2251,8061,13952,5565,965,24128,339,603,56.2,360,28,17145,89866,50210,1797,417,145,569,504,20413,17821,87.3,1505
3,vs Clermont Foot,28,50.0,38.0,24010,2553,8194,12125,5186,782,22371,349,654,53.4,390,35,15776,78880,41256,1540,436,139,518,433,18348,16128,87.9,1215
4,vs Lens,28,49.2,38.0,23824,2530,8195,11802,5388,732,22053,314,595,52.8,347,32,15576,79947,42758,1589,491,149,493,428,18429,16042,87.0,1152
5,vs Lille,26,49.2,38.0,22811,2348,7759,10983,5559,815,20964,322,607,53.0,361,35,14462,74145,40891,1519,522,147,553,458,17057,14713,86.3,1178
6,vs Lorient,29,55.7,38.0,25525,2224,7721,13159,6295,844,23694,446,785,56.8,481,34,16649,83056,46064,1815,545,129,553,479,20200,17573,87.0,1361
7,vs Lyon,30,41.2,38.0,21168,2479,7547,10023,4948,785,19473,345,646,53.4,374,33,12920,67908,37632,1446,451,147,523,459,15597,13149,84.3,1041
8,vs Marseille,27,38.0,38.0,19228,2407,7067,9440,3896,590,17696,269,514,52.3,309,19,11865,62168,33966,1273,336,115,428,415,14317,12332,86.1,896
9,vs Metz,36,57.2,38.0,25403,2059,7706,12894,6516,1034,23475,353,661,53.4,382,21,16654,86450,49236,1885,482,170,514,564,19862,17219,86.7,1565
10,vs Monaco,27,45.8,38.0,22430,2814,8579,10577,4634,691,20644,384,720,53.3,426,27,13891,69511,36221,1283,397,111,556,506,16699,13983,83.7,1033
11,vs Montpellier,26,51.9,38.0,23764,2263,7319,11462,6621,1023,21994,396,694,57.1,436,53,15669,85336,48521,2008,645,212,497,440,18007,15731,87.4,1320
12,vs Nantes,26,56.3,38.0,25846,2406,8548,12816,6083,910,23925,389,707,55.0,418,34,16932,83402,44644,1657,444,125,494,491,20119,17639,87.7,1417
13,vs Nice,27,48.4,38.0,23067,2438,7943,11265,5276,766,21288,276,565,48.8,306,29,14684,71285,37477,1464,433,116,439,444,17577,15265,86.8,1192
14,vs Paris S-G,36,36.6,38.0,19786,2553,7599,8700,4853,666,18301,326,611,53.4,358,36,12983,69040,39133,1505,516,141,428,387,14997,13030,86.9,820
15,vs Reims,35,57.8,38.0,25971,2323,7633,13203,6831,884,24125,338,595,56.8,366,27,17156,89088,48142,1970,560,129,518,461,20701,18073,87.3,1353
16,vs Rennes,28,43.7,38.0,20818,2518,7477,9774,4718,676,19003,320,573,55.8,354,22,12966,64797,33957,1316,387,109,483,368,15658,13209,84.4,900
17,vs Saint-Étienne,39,50.7,38.0,23709,2320,7592,12087,5369,808,21800,341,609,56.0,373,24,14718,71369,38421,1501,387,136,633,537,17683,15254,86.3,1234
18,vs Strasbourg,26,50.5,38.0,23722,2690,8186,11806,5165,714,21932,321,625,51.4,344,25,15214,76299,40748,1629,493,129,513,473,18041,15673,86.9,1052
19,vs Troyes,35,55.8,38.0,25424,2179,7745,13306,6006,846,23717,353,631,55.9,388,34,17054,84153,46348,1687,459,123,469,455,20135,17749,88.1,1490
