,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Angers,30,25.8,51.3,38,418,3420,38.0,52,36,47,5,5,81,7,1.37,0.95,2.32,1.24,2.18,49.0,45.3,36.1,81.4,1.29,0.95,2.24,1.19,2.14
1,vs Bordeaux,39,26.0,52.7,38,418,3420,38.0,88,65,81,7,9,68,6,2.32,1.71,4.03,2.13,3.84,69.6,62.8,47.7,110.5,1.83,1.26,3.09,1.65,2.91
2,vs Brest,25,25.9,56.2,38,418,3420,38.0,55,41,51,4,4,81,7,1.45,1.08,2.53,1.34,2.42,59.2,56.1,43.9,100.0,1.56,1.15,2.71,1.48,2.63
3,vs Clermont Foot,28,25.7,50.0,38,418,3420,38.0,66,44,61,5,5,77,6,1.74,1.16,2.89,1.61,2.76,53.0,49.4,38.7,88.0,1.4,1.02,2.41,1.3,2.32
4,vs Lens,28,25.9,49.2,38,418,3420,38.0,48,31,44,4,5,84,7,1.26,0.82,2.08,1.16,1.97,42.4,38.6,28.7,67.3,1.12,0.76,1.87,1.02,1.77
5,vs Lille,26,25.8,49.2,38,418,3420,38.0,46,24,40,6,6,86,8,1.21,0.63,1.84,1.05,1.68,40.4,36.1,23.3,59.3,1.06,0.61,1.68,0.95,1.56
6,vs Lorient,29,26.0,55.7,38,418,3420,38.0,60,39,55,5,6,72,10,1.58,1.03,2.61,1.45,2.47,52.1,47.5,33.9,81.5,1.37,0.89,2.26,1.25,2.14
7,vs Lyon,30,26.0,41.2,38,418,3420,38.0,48,30,41,7,8,63,0,1.26,0.79,2.05,1.08,1.87,54.5,48.4,37.1,85.5,1.44,0.98,2.41,1.27,2.25
8,vs Marseille,27,25.8,38.0,38,418,3420,38.0,37,27,33,4,4,84,7,0.97,0.71,1.68,0.87,1.58,40.0,37.0,27.1,64.1,1.05,0.71,1.77,0.97,1.69
9,vs Metz,36,26.1,57.2,38,418,3420,38.0,67,50,62,5,5,67,2,1.76,1.32,3.08,1.63,2.95,63.8,60.0,45.5,105.5,1.68,1.2,2.88,1.58,2.78
10,vs Monaco,27,25.9,45.8,38,418,3420,38.0,37,25,29,8,9,66,2,0.97,0.66,1.63,0.76,1.42,42.0,35.2,26.9,62.1,1.1,0.71,1.81,0.93,1.63
11,vs Montpellier,26,26.0,51.9,38,418,3420,38.0,60,41,55,5,6,87,4,1.58,1.08,2.66,1.45,2.53,58.7,54.2,42.5,96.7,1.54,1.12,2.66,1.43,2.54
12,vs Nantes,26,25.8,56.3,38,418,3420,38.0,47,34,43,4,7,61,9,1.24,0.89,2.13,1.13,2.03,55.4,50.2,34.9,85.1,1.46,0.92,2.38,1.32,2.24
13,vs Nice,27,26.0,48.4,38,418,3420,38.0,36,24,32,4,5,59,3,0.95,0.63,1.58,0.84,1.47,45.2,41.4,30.1,71.5,1.19,0.79,1.98,1.09,1.88
14,vs Paris S-G,36,25.7,36.6,38,418,3420,38.0,35,25,32,3,3,74,5,0.92,0.66,1.58,0.84,1.5,38.6,36.3,27.0,63.4,1.02,0.71,1.73,0.96,1.67
15,vs Reims,35,25.9,57.8,38,418,3420,38.0,44,26,39,5,7,76,6,1.16,0.68,1.84,1.03,1.71,49.1,43.7,31.0,74.7,1.29,0.82,2.11,1.15,1.96
16,vs Rennes,28,25.8,43.7,38,418,3420,38.0,39,27,34,5,6,73,2,1.03,0.71,1.74,0.89,1.61,40.7,36.2,27.4,63.6,1.07,0.72,1.79,0.95,1.67
17,vs Saint-Étienne,39,26.1,50.7,38,418,3420,38.0,73,57,65,8,8,69,1,1.92,1.5,3.42,1.71,3.21,61.2,55.2,43.4,98.6,1.61,1.14,2.75,1.45,2.59
18,vs Strasbourg,26,25.9,50.5,38,418,3420,38.0,42,31,38,4,4,78,4,1.11,0.82,1.92,1.0,1.82,42.6,39.5,29.7,69.2,1.12,0.78,1.9,1.04,1.82
19,vs Troyes,35,25.9,55.8,38,418,3420,38.0,51,30,41,10,10,89,7,1.34,0.79,2.13,1.08,1.87,50.9,43.4,34.4,77.7,1.34,0.9,2.24,1.14,2.05
