,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Ajaccio,1,4.0,3,1,0,1,0,4.2,0.27,1.2,0.31,14,37,37.8,103,13,26.2,29.2,24,41.7,34.8,28,0,0.0,3,0.76,15.1
1,vs Angers,1,4.0,4,0,0,0,0,4.7,0.32,0.7,0.18,21,62,33.9,84,10,51.2,43.3,29,65.5,50.4,32,1,3.1,0,0.0,15.0
2,vs Auxerre,1,4.0,6,1,0,1,1,3.6,0.27,-2.4,-0.61,10,24,41.7,85,21,21.2,28.4,21,28.6,31.5,29,1,3.4,2,0.5,14.6
3,vs Brest,1,4.0,6,1,0,3,0,5.1,0.31,-0.9,-0.21,12,42,28.6,103,25,29.1,31.2,29,41.4,35.6,41,5,12.2,2,0.5,12.9
4,vs Clermont Foot,1,4.0,6,1,0,0,0,5.0,0.46,-1.0,-0.24,14,24,58.3,98,20,18.4,25.8,16,37.5,38.4,27,2,7.4,2,0.5,15.5
5,vs Lens,1,4.0,9,1,0,2,0,6.6,0.27,-2.4,-0.59,21,59,35.6,79,17,46.8,38.7,33,66.7,49.0,28,1,3.6,1,0.25,12.7
6,vs Lille,1,4.0,9,0,0,0,0,7.5,0.33,-1.5,-0.38,23,56,41.1,96,16,42.7,36.1,24,62.5,47.8,24,2,8.3,1,0.25,11.7
7,vs Lorient,1,3.0,5,2,1,0,1,5.7,0.26,0.7,0.24,6,9,66.7,57,22,12.3,26.4,14,14.3,25.1,11,1,9.1,0,0.0,11.2
8,vs Lyon,2,3.0,7,1,0,0,0,7.3,0.36,0.3,0.11,15,47,31.9,57,12,54.4,42.6,25,64.0,45.8,27,4,14.8,1,0.33,10.4
9,vs Marseille,2,4.0,10,0,0,3,2,6.2,0.37,-3.8,-0.96,28,71,39.4,89,12,60.7,47.1,25,68.0,50.2,26,3,11.5,1,0.25,12.6
10,vs Monaco,1,4.0,5,0,0,2,0,7.1,0.3,2.1,0.53,19,44,43.2,112,25,33.0,30.4,29,24.1,27.5,23,3,13.0,0,0.0,10.2
11,vs Montpellier,1,4.0,13,0,0,2,0,10.8,0.44,-2.2,-0.54,20,43,46.5,77,21,35.1,37.0,23,69.6,56.0,23,2,8.7,1,0.25,12.3
12,vs Nantes,1,4.0,5,1,0,1,0,5.3,0.32,0.3,0.09,22,64,34.4,108,20,41.7,38.2,27,70.4,50.8,42,1,2.4,2,0.5,15.9
13,vs Nice,2,4.0,2,1,0,0,0,3.2,0.19,1.2,0.29,29,53,54.7,119,21,32.8,32.7,27,51.9,42.0,32,2,6.3,4,1.0,15.0
14,vs Paris S-G,1,4.0,18,2,0,1,1,16.0,0.4,-2.0,-0.51,16,44,36.4,103,20,33.0,33.4,27,37.0,35.3,20,2,10.0,2,0.5,13.1
15,vs Reims,1,4.0,5,2,0,0,0,7.6,0.29,2.6,0.64,34,66,51.5,120,25,42.5,38.7,25,60.0,47.0,23,1,4.3,3,0.75,14.5
16,vs Rennes,2,4.0,4,0,0,1,0,6.8,0.26,2.8,0.7,17,73,23.3,89,4,57.3,44.4,28,78.6,55.9,33,1,3.0,1,0.25,13.0
17,vs Strasbourg,1,4.0,3,0,0,1,0,5.1,0.29,2.1,0.54,24,71,33.8,101,12,53.5,43.4,24,70.8,50.9,46,3,6.5,2,0.5,14.3
18,vs Toulouse,1,4.0,7,0,0,1,1,6.5,0.42,-0.5,-0.13,17,46,37.0,95,21,30.5,31.9,30,56.7,43.4,36,2,5.6,1,0.25,12.4
19,vs Troyes,1,4.0,6,2,0,0,0,5.8,0.2,-0.2,-0.04,14,32,43.8,119,27,21.0,28.1,28,25.0,29.7,41,6,14.6,2,0.5,13.3
