,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,vs Ajaccio,21,4.0,65,16.25,49,5,2,2,6,1,8,2.0,5,0,1,1,1,0
1,vs Angers,21,4.0,100,25.0,69,13,5,7,5,1,13,3.25,5,4,2,1,1,0
2,vs Auxerre,20,4.0,89,22.25,74,6,3,0,3,3,12,3.0,11,1,0,0,0,0
3,vs Brest,21,4.0,72,18.0,44,11,4,3,6,4,20,5.0,14,3,1,1,1,0
4,vs Clermont Foot,20,4.0,104,26.0,69,8,10,7,6,4,17,4.25,11,1,2,0,3,0
5,vs Lens,16,4.0,63,15.75,43,7,4,3,2,4,7,1.75,3,1,0,1,1,1
6,vs Lille,20,4.0,83,20.75,60,11,2,4,6,0,15,3.75,14,0,0,1,0,0
7,vs Lorient,17,3.0,69,23.0,47,6,2,11,1,2,2,0.67,1,0,0,1,0,0
8,vs Lyon,20,3.0,31,10.33,20,2,3,0,3,3,6,2.0,4,0,0,0,2,0
9,vs Marseille,22,4.0,93,23.25,72,12,0,4,4,1,2,0.5,1,0,0,0,1,0
10,vs Monaco,23,4.0,111,27.75,87,7,5,8,4,0,11,2.75,8,0,0,1,2,0
11,vs Montpellier,21,4.0,78,19.5,51,8,4,3,10,2,12,3.0,8,0,1,0,3,0
12,vs Nantes,17,4.0,88,22.0,71,6,5,4,1,1,5,1.25,4,0,0,1,0,0
13,vs Nice,21,4.0,55,13.75,46,4,3,2,0,0,10,2.5,7,1,0,2,0,0
14,vs Paris S-G,19,4.0,52,13.0,39,2,2,3,4,2,6,1.5,4,0,0,2,0,0
15,vs Reims,19,4.0,74,18.5,53,9,2,5,4,1,16,4.0,7,3,1,2,2,1
16,vs Rennes,21,4.0,75,18.75,54,7,3,3,5,3,7,1.75,5,0,1,0,0,1
17,vs Strasbourg,20,4.0,89,22.25,69,5,1,5,5,4,10,2.5,8,1,0,0,1,0
18,vs Toulouse,20,4.0,88,22.0,60,8,8,3,7,2,11,2.75,7,0,2,0,2,0
19,vs Troyes,19,4.0,76,19.0,56,1,7,5,1,6,13,3.25,10,0,0,3,0,0
