,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Ajaccio,1,4,4,360,4.0,7,1.75,19,13,68.4,0,1,3,1,25.0,2,1,0,1,0.0
1,Angers,1,4,4,360,4.0,8,2.0,25,18,68.0,0,2,2,1,25.0,0,0,0,0,
2,Auxerre,1,4,4,360,4.0,7,1.75,19,12,63.2,2,1,1,1,25.0,0,0,0,0,
3,Brest,1,4,4,360,4.0,12,3.0,21,9,42.9,1,1,2,0,0.0,1,0,1,0,100.0
4,Clermont Foot,1,4,4,360,4.0,9,2.25,27,21,77.8,2,0,2,1,25.0,3,3,0,0,0.0
5,Lens,1,4,4,360,4.0,4,1.0,16,13,81.3,3,1,0,1,25.0,1,1,0,0,0.0
6,Lille,1,4,4,360,4.0,10,2.5,14,4,28.6,2,1,1,0,0.0,0,0,0,0,
7,Lorient,1,3,3,270,3.0,3,1.0,15,12,80.0,2,1,0,1,33.3,0,0,0,0,
8,Lyon,2,3,3,267,3.0,3,1.01,8,7,87.5,2,1,0,0,0.0,2,2,0,0,0.0
9,Marseille,2,4,4,360,4.0,3,0.75,15,13,86.7,3,1,0,1,25.0,1,1,0,0,0.0
10,Monaco,1,4,4,360,4.0,7,1.75,24,19,79.2,1,2,1,0,0.0,2,2,0,0,0.0
11,Montpellier,1,4,4,360,4.0,9,2.25,18,13,66.7,2,0,2,1,25.0,4,3,1,0,25.0
12,Nantes,1,4,4,360,4.0,4,1.0,19,16,78.9,1,2,1,1,25.0,0,0,0,0,
13,Nice,2,4,4,360,4.0,6,1.5,13,7,53.8,0,2,2,0,0.0,0,0,0,0,
14,Paris S-G,1,4,4,360,4.0,4,1.0,16,12,75.0,3,1,0,1,25.0,0,0,0,0,
15,Reims,1,4,4,360,4.0,10,2.5,17,8,47.1,0,2,2,0,0.0,1,1,0,0,0.0
16,Rennes,2,4,4,360,4.0,5,1.25,11,7,54.5,1,1,2,0,0.0,2,0,2,0,100.0
17,Strasbourg,1,4,4,360,4.0,5,1.25,22,17,81.8,0,2,2,0,0.0,1,1,0,0,0.0
18,Toulouse,1,4,4,360,4.0,6,1.5,14,9,64.3,1,2,1,1,25.0,2,1,1,0,50.0
19,Troyes,1,4,4,360,4.0,11,2.75,20,10,45.0,1,0,3,0,0.0,0,0,0,0,
