,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Paris S-G,2,1,1,0,6,3,3,4,2.0,6.0,1.2,4.8,2.42,2,2,0,0,12,1,11,6,3.0,6.5,2.1,4.4,2.21
1,2,Marseille,2,2,0,0,6,2,4,6,3.0,3.3,2.9,0.3,0.17,2,1,1,0,4,1,3,4,2.0,1.6,2.9,-1.3,-0.64
2,3,Lens,2,2,0,0,5,3,2,6,3.0,4.4,2.2,2.1,1.06,2,1,1,0,4,1,3,4,2.0,3.7,1.9,1.7,0.85
3,4,Lyon,2,2,0,0,6,2,4,6,3.0,4.7,2.2,2.5,1.23,1,0,1,0,1,1,0,1,1.0,0.9,0.5,0.3,0.32
4,5,Lorient,1,1,0,0,2,1,1,3,3.0,3.2,0.8,2.4,2.4,2,1,1,0,3,2,1,4,2.0,3.0,3.5,-0.5,-0.23
5,6,Lille,2,1,0,1,5,8,-3,3,1.5,3.6,4.7,-1.2,-0.58,2,1,1,0,4,2,2,4,2.0,3.5,2.2,1.2,0.61
6,7,Auxerre,2,1,1,0,3,2,1,4,2.0,1.9,2.9,-1.0,-0.48,2,1,0,1,3,5,-2,3,1.5,2.1,2.9,-0.8,-0.41
7,8,Montpellier,2,1,0,1,4,4,0,3,1.5,2.2,3.1,-0.8,-0.42,2,1,0,1,9,5,4,3,1.5,3.3,3.7,-0.5,-0.23
8,9,Clermont Foot,2,1,0,1,1,5,-4,3,1.5,0.9,4.0,-3.1,-1.55,2,1,0,1,5,4,1,3,1.5,2.2,5.8,-3.6,-1.81
9,10,Toulouse,2,0,2,0,3,3,0,2,1.0,3.0,3.6,-0.6,-0.32,2,1,0,1,4,3,1,3,1.5,1.9,2.5,-0.6,-0.3
10,11,Nantes,2,1,1,0,4,2,2,4,2.0,2.7,2.7,0.1,0.04,2,0,1,1,1,2,-1,1,0.5,3.3,3.1,0.2,0.12
11,12,Monaco,2,0,1,1,2,5,-3,1,0.5,3.5,4.8,-1.3,-0.65,2,1,1,0,3,2,1,4,2.0,3.6,3.7,-0.1,-0.07
12,13,Rennes,2,1,0,1,2,2,0,3,1.5,2.9,1.7,1.1,0.56,2,0,1,1,2,3,-1,1,0.5,3.0,3.7,-0.7,-0.34
13,14,Brest,2,0,1,1,1,8,-7,1,0.5,2.3,3.1,-0.8,-0.4,2,1,0,1,5,4,1,3,1.5,3.0,3.7,-0.7,-0.35
14,15,Troyes,2,1,0,1,3,4,-1,3,1.5,2.5,2.1,0.4,0.18,2,0,0,2,3,7,-4,0,0.0,2.9,4.3,-1.4,-0.72
15,16,Strasbourg,2,0,1,1,2,3,-1,1,0.5,2.5,5.2,-2.7,-1.34,2,0,1,1,1,2,-1,1,0.5,2.6,2.6,-0.1,-0.04
16,17,Angers,2,0,1,1,1,3,-2,1,0.5,2.8,3.2,-0.5,-0.23,2,0,1,1,3,5,-2,1,0.5,2.2,2.3,0.0,-0.02
17,18,Nice,2,0,1,1,1,4,-3,1,0.5,2.4,2.3,0.1,0.03,2,0,1,1,1,2,-1,1,0.5,2.4,1.7,0.6,0.32
18,19,Reims,2,0,1,1,3,5,-2,1,0.5,3.2,2.3,0.9,0.45,2,0,1,1,2,5,-3,1,0.5,3.1,3.5,-0.4,-0.2
19,20,Ajaccio,2,0,1,1,1,3,-2,1,0.5,1.7,2.1,-0.4,-0.22,2,0,0,2,2,4,-2,0,0.0,2.6,2.7,-0.2,-0.08
