,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Paris S-G,4,3,1,0,18,4,14,10,2.5,12.5,3.2,9.3,2.32,W W W D,,Neymar - 6,Gianluigi Donnarumma,
1,2,Marseille,4,3,1,0,10,3,7,10,2.5,4.9,5.9,-0.9,-0.23,W D W W,31369.0,Nuno Tavares - 3,"Pau López, Rubén Blanco",
2,3,Lens,4,3,1,0,9,4,5,10,2.5,8.0,4.2,3.8,0.96,W D W W,18508.0,Florian Sotoca - 3,Brice Samba,
3,4,Lyon,3,2,1,0,7,3,4,7,2.33,5.5,2.7,2.8,0.93,W W D,24258.0,Tetê - 3,Rémy Riou,
4,5,Lorient,3,2,1,0,5,3,2,7,2.33,6.2,4.3,1.9,0.65,W D W,,Terem Moffi - 2,Yvon Mvogo,
5,6,Lille,4,2,1,1,9,10,-1,7,1.75,7.0,6.9,0.1,0.02,W D L W,16146.0,"Jonathan Bamba, Jonathan David - 2",Leonardo César Jardim,
6,7,Auxerre,4,2,1,1,6,7,-1,7,1.75,4.0,5.8,-1.8,-0.45,L D W W,,"Nuno da Costa, Gaëtan Perrin... - 1",Benoît Costil,
7,8,Montpellier,4,2,0,2,13,9,4,6,1.5,5.5,6.8,-1.3,-0.33,W L L W,6002.0,"Téji Savanier, Sepe Elye Wahi... - 2",Jonas Omlin,
8,9,Clermont Foot,4,2,0,2,6,9,-3,6,1.5,3.1,9.9,-6.7,-1.68,L W W L,6102.0,"Komnen Andrić, Muhammed Saracevic Cham - 2",Mory Diaw,
9,10,Toulouse,4,1,2,1,7,6,1,5,1.25,4.9,6.1,-1.2,-0.31,D W D L,10284.0,"Rafael Ratão, Thijs Dallinga - 2",Maxime Dupé,
10,11,Nantes,4,1,2,1,5,4,1,5,1.25,6.1,5.7,0.3,0.08,D D L W,,Moses Simon - 2,Alban Lafont,
11,12,Monaco,4,1,2,1,5,7,-2,5,1.25,7.1,8.6,-1.4,-0.36,W D L D,,"Benoît Badiashile, Krepin Diatta... - 1",Alexander Nübel,
12,13,Rennes,4,1,1,2,4,5,-1,4,1.0,5.9,5.5,0.4,0.11,L D W L,14089.0,Gaëtan Laborde - 2,Doğan Alemdar,
13,14,Brest,4,1,1,2,6,12,-6,4,1.0,5.4,6.9,-1.5,-0.38,L D W L,,Jérémy Le Douaron - 2,Marco Bizot,
14,15,Troyes,4,1,0,3,6,11,-5,3,0.75,5.3,6.4,-1.1,-0.27,L L L W,3000.0,"Florian Tardieu, Mama Samba Baldé - 2",Gauthier Gallon,
15,16,Strasbourg,4,0,2,2,3,5,-2,2,0.5,5.1,7.8,-2.8,-0.69,L D D L,12680.0,"Kévin Gameiro, Alexander Djiku... - 1",Matz Sels,
16,17,Angers,4,0,2,2,4,8,-4,2,0.5,5.0,5.5,-0.5,-0.12,D D L L,6000.0,Lois Diony - 2,Paul Bernardoni,
17,18,Nice,4,0,2,2,2,6,-4,2,0.5,4.7,4.0,0.7,0.17,D D L L,,"Andy Delort, Aaron Ramsey - 1",Kasper Schmeichel,
18,19,Reims,4,0,2,2,5,10,-5,2,0.5,6.3,5.8,0.5,0.12,L L D D,,Folarin Balogun - 3,Patrick Pentz,
19,20,Ajaccio,4,0,1,3,3,7,-4,1,0.25,4.3,4.9,-0.6,-0.15,L D L L,,"Mounaim El Idrissy, Cyrille Bayala... - 1",Benjamin Leroy,
