,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,vs Ajaccio,21,4.0,10,3,1,54,64,5,44,44,36,2,1,0,301,95,82,53.7
1,vs Angers,21,4.0,10,1,1,41,54,11,50,50,48,0,0,0,318,69,49,58.5
2,vs Auxerre,20,4.0,7,2,0,44,40,6,60,26,36,0,1,1,330,65,52,55.6
3,vs Brest,21,4.0,10,1,0,59,50,8,28,46,46,1,1,0,303,43,63,40.6
4,vs Clermont Foot,20,4.0,7,3,1,70,36,7,33,60,44,2,1,0,266,29,36,44.6
5,vs Lens,16,4.0,14,1,1,65,63,8,29,55,29,1,2,0,248,55,53,50.9
6,vs Lille,20,4.0,6,0,0,50,47,10,51,60,46,0,1,0,264,57,50,53.3
7,vs Lorient,17,3.0,8,1,1,35,31,3,52,36,36,0,3,1,256,52,25,67.5
8,vs Lyon,20,3.0,8,2,1,36,32,2,17,57,41,2,1,0,205,32,39,45.1
9,vs Marseille,22,4.0,3,0,0,45,62,4,57,74,44,1,0,2,332,74,61,54.8
10,vs Monaco,23,4.0,7,0,0,58,61,9,44,51,39,2,1,0,315,66,51,56.4
11,vs Montpellier,21,4.0,5,3,1,53,57,2,40,57,39,2,0,0,254,48,40,54.5
12,vs Nantes,17,4.0,15,1,1,52,46,7,49,42,49,0,0,0,355,73,73,50.0
13,vs Nice,21,4.0,7,0,0,55,51,5,42,67,39,0,1,0,270,46,59,43.8
14,vs Paris S-G,19,4.0,9,0,0,68,52,4,18,71,44,0,2,1,219,18,32,36.0
15,vs Reims,19,4.0,6,0,0,51,58,3,62,51,47,0,2,0,352,64,54,54.2
16,vs Rennes,21,4.0,3,1,0,45,49,4,41,58,42,2,0,0,317,63,90,41.2
17,vs Strasbourg,20,4.0,7,0,0,50,59,17,46,69,42,1,0,0,330,68,89,43.3
18,vs Toulouse,20,4.0,5,0,0,46,57,8,40,62,48,2,0,1,286,47,62,43.1
19,vs Troyes,19,4.0,5,1,1,55,40,7,35,40,55,0,2,0,302,41,45,47.7
