,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Ajaccio,21,4.0,16,1,1,65,54,5,38,61,44,2,2,0,307,82,95,46.3
1,Angers,21,4.0,11,2,1,53,41,6,43,39,32,0,0,1,329,49,69,41.5
2,Auxerre,20,4.0,9,3,2,40,46,10,37,53,28,1,0,0,262,52,65,44.4
3,Brest,21,4.0,5,1,0,51,59,8,55,64,46,1,1,0,285,63,43,59.4
4,Clermont Foot,20,4.0,9,1,1,38,67,5,36,70,38,0,3,0,257,36,29,55.4
5,Lens,16,4.0,4,0,0,64,64,5,46,53,21,2,1,0,262,53,55,49.1
6,Lille,20,4.0,10,0,0,49,46,7,41,42,38,1,0,0,297,50,57,46.7
7,Lorient,17,3.0,3,0,0,33,34,5,26,54,49,3,0,0,205,25,52,32.5
8,Lyon,20,3.0,2,1,0,32,38,0,37,41,41,1,1,0,255,39,32,54.9
9,Marseille,22,4.0,11,1,1,64,45,7,53,54,45,0,0,0,340,61,74,45.2
10,Monaco,23,4.0,10,2,1,62,57,6,30,58,43,1,2,0,275,51,66,43.6
11,Montpellier,21,4.0,5,2,0,58,53,8,31,40,55,0,3,1,258,40,48,45.5
12,Nantes,17,4.0,5,0,0,48,49,6,56,61,55,1,0,1,316,73,73,50.0
13,Nice,21,4.0,6,2,1,53,52,8,40,52,49,1,0,0,302,59,46,56.2
14,Paris S-G,19,4.0,8,0,0,54,66,12,35,43,42,1,0,0,271,32,18,64.0
15,Reims,19,4.0,8,2,0,58,48,6,31,72,42,1,1,1,291,54,64,45.8
16,Rennes,21,4.0,12,2,1,49,44,6,47,39,42,0,2,1,356,90,63,58.8
17,Strasbourg,20,4.0,6,0,0,60,47,5,57,45,46,0,1,0,372,89,68,56.7
18,Toulouse,20,4.0,7,0,0,59,44,8,52,54,58,0,2,0,300,62,47,56.9
19,Troyes,19,4.0,5,0,0,42,55,7,47,81,36,2,0,1,283,45,41,52.3
