,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,vs Ajaccio,21,4.0,2273,2082,191,58,5,264,44,44,11,5,3,0,1684,263,326,684,1339,75,85,24,1906,3,31,59,38
1,vs Angers,21,4.0,1881,1686,195,54,6,190,93,50,24,4,8,5,1277,179,425,529,1147,55,80,18,1511,9,33,38,49
2,vs Auxerre,20,4.0,2485,2310,175,44,5,214,64,60,24,9,8,1,1809,272,404,698,1543,91,76,33,2112,4,38,50,40
3,vs Brest,21,4.0,1958,1769,189,53,7,208,43,28,17,10,3,1,1455,191,312,451,1322,49,80,30,1620,6,32,62,35
4,vs Clermont Foot,20,4.0,2074,1924,150,34,7,135,45,33,16,4,9,0,1606,199,269,636,1282,49,64,24,1771,7,22,68,43
5,vs Lens,16,4.0,1625,1433,192,67,2,202,32,29,9,6,3,0,1113,181,331,477,955,63,70,23,1286,7,26,52,41
6,vs Lille,20,4.0,1766,1571,195,54,6,202,49,51,17,7,6,0,1178,200,388,516,1037,61,85,25,1408,8,38,36,45
7,vs Lorient,17,3.0,1820,1698,122,31,3,183,70,52,14,5,8,0,1411,157,252,463,1188,48,53,34,1544,1,27,53,42
8,vs Lyon,20,3.0,995,879,116,28,2,141,22,17,10,6,3,1,648,120,227,330,540,47,42,14,735,2,23,40,17
9,vs Marseille,22,4.0,1788,1562,226,64,3,214,64,57,25,9,12,1,1145,228,415,528,1014,73,97,22,1383,4,34,53,44
10,vs Monaco,23,4.0,2467,2294,173,55,6,272,68,44,18,5,6,1,1874,242,351,683,1547,82,59,40,2126,8,21,54,37
11,vs Montpellier,21,4.0,1796,1622,174,56,1,173,65,40,24,15,5,1,1295,198,303,457,1165,56,54,32,1509,2,22,36,37
12,vs Nantes,17,4.0,2069,1861,208,49,6,259,43,49,25,12,8,0,1411,261,397,486,1307,89,85,44,1666,5,34,56,52
13,vs Nice,21,4.0,2014,1849,165,50,6,153,73,42,17,4,9,0,1480,160,374,543,1287,66,61,29,1678,5,36,49,34
14,vs Paris S-G,19,4.0,1851,1707,144,57,4,221,46,18,5,2,3,0,1474,140,237,532,1204,36,32,31,1591,5,17,39,38
15,vs Reims,19,4.0,2343,2148,195,59,2,280,62,62,24,6,13,1,1695,248,400,662,1445,72,75,39,1936,1,31,70,41
16,vs Rennes,21,4.0,1740,1554,186,52,2,237,39,41,18,3,10,1,1143,191,406,484,1039,70,77,15,1357,4,28,38,36
17,vs Strasbourg,20,4.0,1874,1687,187,49,3,242,66,46,20,9,6,2,1198,237,439,522,1121,73,86,24,1484,14,24,43,37
18,vs Toulouse,20,4.0,1825,1635,190,55,0,209,40,40,19,11,7,0,1330,176,319,525,1121,46,75,28,1477,7,32,51,37
19,vs Troyes,19,4.0,2437,2269,168,45,11,259,42,35,17,7,4,3,1919,226,292,749,1496,54,64,38,2079,6,30,78,43
